gene
TCF3
EGR1
FOSB
GRB2
ELK1
PRPF3
VPS26A
E2F4
SMARCA4
COMMD5
MECOM
IMPDH2
MRPL55
RPL37
NFE2L2
RABIF
MRPL51
NFYA
DCTN2
GAB1
HNRNPL
PLCG1
TPMT
ARID2
FAF1
HDAC4
ATF5
MYC
BRCA1
PGP
E2F5
MAP3K1
ANXA3
ATF2
ACTL6B
GMPS
SMARCA2
HOMER1
SHC3
AP3B1
CTNNB1
E2F2
MZT1
ARID1B
MET
PIK3R1
FOS
PTGS2
TCP1
SMAD3
PIK3CA
UGGT1
TP53
