Node1,Node2,Weight
AATF,BAX,-0.385558068
AATF,LDOC1,-0.075005236
AATF,POLR2J,0.128498087
AATF,TSG101,0.151246023
ABL2,BTF3,0.500036125
ABL2,TCF3,0.607813315
ACAA1,PCCA,-0.007874116
ACAA2,PCCA,0.213590287
ACADS,ECHS1,0.716535409
ACAT1,AACS,-0.454767794
ACAT1,HMGCS2,0.476475443
ACTB,ACTR3C,0.227744914
ACTB,AHNAK,0.848384975
ACTB,ARHGAP10,0.613651044
ACTB,CTNNA1,0.444033792
ACTB,ITGA2,0.486666445
ACTB,ITGA6,0.502837622
ACTB,ITGA9,0.763174257
ACTB,MYO1B,-0.370112453
ACTB,MYO5A,0.865005934
ACTB,NFYC,0.901745591
ACTB,STK3,0.256328476
ACTB,WAS,0.019659417
ACTB,WASF1,0.868196549
ACTG1,CTNNA1,0.297130487
ACTG1,EGR1,0.415428491
ACTG1,NR3C2,-0.13284412
ACTG1,STK3,-0.450824541
ACTL6A,TRRAP,0.680468373
ACTL6B,EGR1,-0.158671521
ADH1A,CYP26A1,0.715127862
ADH1A,GSTA3,0.635599559
ADH1A,GSTA4,0.285743033
ADH1A,GSTM1,0.319351467
ADH1A,GSTM2,0.233505621
ADH1A,GSTM3,-0.05466399
ADH1A,GSTM4,-0.030964714
ADH1A,GSTM5,0.213091535
ADH1A,GSTO1,0.737510081
ADH1A,GSTO2,0.57825094
ADH1A,GSTP1,-0.455176206
ADH1A,GSTT1,-0.273527421
ADH1A,MGST1,0.606875028
ADH1A,MGST2,-0.146538419
ADH1A,MGST3,0.203659103
AGTR1,ETV4,-0.05050524
AGTR1,SERPINE1,0.282394448
AGTR1,SND1,-0.324254817
AGXT2,ABAT,0.566363337
AKT1,EZH2,0.233348666
AKT1,MDM4,0.309322553
AKT1,RPS6KB1,-0.157192917
AKT2,RPS6KB1,-0.119370823
AKT3,BAD,0.203257019
AKT3,C6,0.330964369
AKT3,C7,-0.112207175
AKT3,C8A,0.18109205
AKT3,C8B,-0.328927076
AKT3,C9,0.002137953
AKT3,CDKN1A,-0.03227292
AKT3,HSP90AA1,-0.159252694
AKT3,HSP90AB1,-0.218457515
AKT3,PPP2R5A,0.371454576
AKT3,PTK2,0.517861368
AKT3,RHOB,0.494477769
AKT3,RPS6KB1,0.480408233
AKT3,THEM4,0.166874784
AKT3,TSC2,0.058245988
ALDH1B1,ACYP1,0.384192114
ALDH1B1,ADH1A,0.885391112
ALDH1B1,AOC1,0.123181959
ALDH2,ACYP1,0.064268412
ALDH2,ADH1A,0.746526485
ALDH2,ADH1B,0.574984261
ALDH2,ADH1C,0.504222414
ALDH2,ADH4,0.729641636
ALDH2,AKR1B10,-0.521681408
ALDH2,AOC1,0.386891461
ALDH2,BBOX1,0.411665709
ALDH6A1,ABAT,0.679078731
ALDH6A1,ATF2,-0.289068153
ALDH6A1,NFYC,0.141088521
ALDOB,FBP1,0.398103123
AMDHD1,UROC1,0.37559155
ANAPC11,PTTG1,0.2956038
ANAPC5,PTTG1,0.018037466
ANAPC7,PTTG1,0.171485243
ANKZF1,AURKB,-0.316278258
ANKZF1,CA2,-0.498391841
AOC1,INMT,-0.030444051
APC2,AXIN2,0.427553161
ARAF,HRAS,-0.471388562
ARAF,KRAS,-0.335650014
ARAF,NRAS,0.105156113
ARAF,PRKCD,-0.281946507
ARAF,YWHAB,0.076572316
ARAF,YWHAG,-0.230211692
ARAF,YWHAZ,-0.072933878
ARF1,MDM4,0.553919229
ARF1,NPM1,0.272328611
ARF1,WBP11,0.44735557
ARID1A,SMARCA4,0.420328726
ARID1B,SMARCA2,-0.779518528
ARID4B,SAP130,-0.453325689
ASL,ADSL,-0.453471007
ASS1,ADSS1,0.329689051
ASS1,ASL,0.76567849
ATF2,ADK,-0.738565277
ATF2,AHCTF1,0.235155383
ATF2,ALDH18A1,-0.399407846
ATF2,AQP1,0.599151729
ATF2,ARF1,0.625505356
ATF2,ARID1B,0.39699042
ATF2,ARID2,0.63280554
ATF2,C1orf35,-0.815895563
ATF2,C1orf74,-0.023260532
ATF2,C6orf62,0.830984029
ATF2,CDHR2,-0.232772399
ATF2,CDKL5,0.614807275
ATF2,CH25H,0.599879287
ATF2,CIRBP-AS1,-0.265445767
ATF2,CREB3L2,0.931206764
ATF2,EGR1,0.477614147
ATF2,EIF3D,0.162265695
ATF2,FAM91A1,0.403790567
ATF2,FAS,-0.25230742
ATF2,FBXO4,-0.061540097
ATF2,FGF13,0.322722418
ATF2,GAS5,0.216528769
ATF2,HDAC4,0.376416902
ATF2,HMGA1,0.546429676
ATF2,JDP2,0.42983115
ATF2,KCNN3,-0.19827521
ATF2,KIF18A,-0.063325862
ATF2,KLHL12,0.556401573
ATF2,MAP3K1,0.728016575
ATF2,MAP7,-0.27088952
ATF2,MCM10,-0.300337392
ATF2,NEDD1,0.492130479
ATF2,NUP133,0.38254122
ATF2,PEX5,0.323855018
ATF2,PFDN6,-0.233766947
ATF2,PHACTR3,-0.374390999
ATF2,POGK,0.59809209
ATF2,PPM1D,0.411108776
ATF2,PWP1,0.571234121
ATF2,RAP2A,0.751612962
ATF2,RBM12,0.449215057
ATF2,RCC2,-0.301456633
ATF2,RINT1,0.311872193
ATF2,RNF44,0.763991587
ATF2,RUSC1,0.473774415
ATF2,RUVBL2,0.188135869
ATF2,SAFB2,0.107651865
ATF2,SART3,-0.036471696
ATF2,SEC24C,0.19186477
ATF2,SLC25A37,0.302681619
ATF2,SLC31A1,-0.574236505
ATF2,SLC38A6,0.553218044
ATF2,SMARCA2,-0.102071785
ATF2,SND1,0.492042886
ATF2,SNRNP40,-0.498720103
ATF2,STAMBP,0.643662899
ATF2,TAPT1,-0.064620612
ATF2,TNF,-0.380592009
ATF2,TSPYL1,0.155551333
ATF2,XPO1,0.6135524
ATF2,ZBTB37,0.240630943
ATF2,ZNF711,-0.215642692
ATF5,ACBD4,0.648612978
ATF5,ADK,-0.081055764
ATF5,ADRA1B,-0.58365744
ATF5,CDKL5,0.078054011
ATF5,CENPE,0.394588613
ATF5,CEP55,-0.030642917
ATF5,CIRBP-AS1,-0.650621676
ATF5,COPA,-0.16830667
ATF5,DNAJC7,-0.031055248
ATF5,DNAJC9,0.513166666
ATF5,ENOPH1,-0.102019034
ATF5,FBXO4,-0.36906437
ATF5,FGF13,0.323550829
ATF5,GGNBP2,0.372981841
ATF5,HHIP,-0.461649724
ATF5,HNRNPA2B1,0.653571121
ATF5,HNRNPU,-0.477963746
ATF5,IGF2BP2,-0.270741813
ATF5,JDP2,-0.448617537
ATF5,KAT7,0.402270526
ATF5,KCNN2,-0.571401119
ATF5,KLF13,0.127002607
ATF5,KLHL12,-0.122600005
ATF5,KRTCAP2,0.279863118
ATF5,LIG3,-0.417833099
ATF5,LOX,-0.133516747
ATF5,LPP,0.016474566
ATF5,MCAM,-0.504099807
ATF5,NEDD1,0.030566065
ATF5,NPM1,-0.672084546
ATF5,NUDT3,-0.270991305
ATF5,ONECUT2,-0.055382338
ATF5,PCDH9,-0.566457689
ATF5,PEX5,0.240506503
ATF5,PFDN6,-0.106259346
ATF5,PHACTR3,0.392087049
ATF5,RAD51C,0.527964491
ATF5,RNF44,-0.284915467
ATF5,RPS27,-0.130694327
ATF5,RUSC1,0.476218102
ATF5,SAFB2,-0.615868643
ATF5,SLC5A7,-0.185424433
ATF5,SND1,-0.185846701
ATF5,STAMBP,0.004700322
ATF5,TAF2,-0.447338592
ATF5,TAPT1,-0.257072169
ATF5,TSPYL1,0.274747012
ATF5,UCK2,-0.720568975
ATF5,ZNF711,0.398820119
ATF5,ZNF746,-0.550245679
ATF5,ZWILCH,0.847569974
ATP6V1F,EGR2,0.121609269
ATP6V1F,EGR3,-0.149752484
B4GALT3,ATF2,0.237106022
B4GALT3,EGR1,-0.037376728
B4GALT3,ST3GAL3,0.359913009
BCL2L1,BAX,-0.107449128
BDP1,POLR3F,0.658533244
BHMT,DMGDH,0.351424259
BMP5,BMPR1A,0.147311926
BMP8A,BMPR1A,-0.729154316
BRCA1,ASPM,-0.632363473
BRCA1,AURKA,0.251131968
BRCA1,DDB2,0.236822074
BRCA1,EGR1,-0.582090076
BRCA1,ETV4,-0.194640994
BRCA1,EZH2,0.334769523
BRCA1,HMGA1,-0.802709202
BRCA1,MNAT1,-0.153906002
BRCA1,RBBP7,-0.565030604
BRCA1,RFC1,-0.294075347
BRCA2,BUB1B,-0.456990212
BRCA2,CCNE1,0.298935074
BRCA2,FANCG,-0.517854965
BRCA2,PSMD3,0.498470728
BRCA2,RPA1,-0.508565731
BRCA2,SEM1,-0.250398075
BRD7,PAFAH1B3,0.47933039
BRD7,PTPN13,0.3403581
BRD7,RPLP1,-0.19374881
BRD8,TRRAP,0.824662118
CAMK1,EGR2,0.279336251
CAMK1,EGR3,0.536897644
CAMK2B,EGR1,-0.621076097
CAT,EGR1,-0.167961418
CAT,NFE2L2,-0.766657678
CCNA2,ATF2,0.574550773
CCNA2,BRCA1,-0.358410862
CCNA2,E2F3,0.343067659
CCNA2,UBTF,0.477094114
CCNB1,FOXM1,-0.058028591
CCNB1,PTMA,0.508798169
CCNB1,PTTG1,0.761637402
CCNB2,ANAPC11,-0.068695398
CCNB2,ANAPC7,0.07267552
CCND1,E2F8,0.605322274
CCND1,EZH2,-0.151646487
CCND1,NELFCD,-0.319030177
CCND1,NPM1,-0.427986165
CCNE1,EGR2,-0.269832564
CCNE1,EGR3,-0.214923476
CCNE1,EZH2,0.115616726
CCNE1,SMARCA4,-0.421872108
CCNE1,TCF19,-0.037106449
CD14,ATF2,-0.705249223
CD14,TLR4,0.121623012
CDC20,FBXO5,-0.306697168
CDC20,NFYC,0.057456438
CDC20,PTTG1,0.563778452
CDC23,NFYC,0.483253981
CDC23,PTTG1,0.556279087
CDC23,RAD54B,-0.473276558
CDC25B,FOXM1,-0.023687729
CDC25C,PPP1CC,-0.109271514
CDC6,FOXM1,0.49209503
CDK1,BRCA1,-0.266942604
CDK1,E2F3,-0.20470842
CDK1,E2F4,-0.057826771
CDK1,ETS2,-0.774005303
CDK1,FOXM1,-0.140640411
CDK1,HMGA1,0.187545758
CDK1,MDM4,0.25386362
CDK1,NPM1,-0.078290505
CDK1,TLE1,-0.036511182
CDK7,ERCC3,0.331499449
CDK7,PCGF6,0.304354565
CDKN1A,EZH2,0.616951078
CDKN1A,FUBP1,0.227525992
CDKN1A,NELFCD,-0.528062363
CDKN1A,NPM1,0.270187707
CDKN1A,PTMA,-0.071980603
CDKN1A,TAF5,-0.335582698
CDKN1A,TSG101,-0.330543314
CDKN1A,XRCC6,-0.453824702
CDKN2A,EZH2,-0.094954253
CDKN2A,FOXM1,-0.111811006
CDKN2A,MCM5,-0.060075534
CDKN2C,EGR2,0.018541608
CDKN2C,EGR3,-0.152564701
CDKN2C,RBBP5,0.399456914
CDKN2C,WDR5,0.503799783
CENPS,FANCI,-0.205782021
CENPX,FANCI,0.568580132
CFI,C3,0.401756275
CITED2,LHX2,0.067862233
CKS1B,NFYC,-0.35285589
CKS1B,SKP2,-0.506609194
CKS2,SKP2,0.352982598
CLEC4M,IL10,0.068546794
CLOCK,CSNK1D,0.534363896
CNOT3,CAND1,-0.008038284
CNOT3,CNOT1,-0.765275042
CNOT4,CNOT1,0.401092481
CNOT4,UBE2D2,-0.011066223
CREB3L2,EGR1,0.555055513
CREB3L4,EGR1,0.375576409
CSNK1A1,HMGB2,0.428758305
CSNK1A1,MDM4,0.135700181
CSNK2A1,BDP1,0.595412114
CSNK2A1,CUX2,-0.269813093
CSNK2A1,HMGA1,0.598028385
CSNK2A1,MAZ,-0.075476484
CSNK2A1,SSRP1,0.299917965
CTNNB1,ATF2,0.239923323
CTNNB1,CSNK1D,0.25776692
CTNNB1,CTNNA1,0.179840756
CTNNB1,EGR1,-0.401674849
CTNNB1,FYN,0.370205784
CTNNB1,NDRG1,0.095015411
CTNNB1,PTPN13,-0.102887062
CTNNB1,RUVBL2,0.016665272
CTNNB1,SMAD3,0.504793135
CTNNB1,STARD7,0.251531362
CTNNBL1,STAMBP,-0.284553215
CYP1A2,CYP26A1,0.295261834
CYP1A2,CYP2C19,0.226762391
CYP1A2,CYP2J2,-0.015056296
CYP1A2,GSTO2,0.749140991
CYP1A2,NAT2,0.563363427
CYP26A1,CYP2B6,0.318560593
CYP2A6,CYP2B6,0.568950441
CYP2A7,CYP26A1,0.790895766
CYP2C8,CYP26A1,0.567091628
CYP2C8,NR1I2,0.127495407
CYP2C9,CYP26A1,0.477437513
CYP2C9,NR1I2,-0.009698963
CYP8B1,AKR1D1,-0.73930545
DACH1,UBE2I,0.060068587
DCN,NR1H4,-0.816789947
DCTN2,EGR1,0.116808722
DCTN4,HSF2,0.869427261
DCTN4,TUBA1B,0.078271211
DDB2,CUL4A,-0.185745966
DDB2,CUL4B,-0.247876756
DDX20,DHX9,0.353682491
DDX20,GEMIN5,-0.529668728
DDX20,SNRPD2,0.684030189
DDX20,SNRPE,0.505813594
DDX20,SNRPF,-0.741411738
DGKQ,PLCD3,-0.516568578
DGKZ,EGR3,0.044167415
DGKZ,PLCD3,-0.537977529
DNAJC2,HSPA14,0.616539652
DNMT3A,CBX1,0.478058826
DNMT3A,EZH2,0.046554145
DNMT3A,SETDB1,0.472061492
DNMT3A,SUV39H1,0.130973619
DNMT3A,UBE2I,0.455447212
DR1,EGR1,-0.004313645
DR1,NR1I2,0.364069478
DR1,NR2C2,0.257246583
DR1,POLE3,0.382981088
DTYMK,TK1,0.706133036
DUSP1,ATF2,0.251574822
DUSP1,ATF5,0.477235762
DUSP1,NFE2L2,0.368859227
DUT,TK1,-0.391789486
DVL1,BRD7,-0.128963462
DVL1,CTNNB1,-0.239753063
DVL1,EGR1,0.093245047
DVL1,FRAT1,-0.253104051
DVL1,FRAT2,-0.231161646
DVL1,NKD2,0.419571462
DVL1,SMAD2,-0.587806228
DVL1,SMAD3,-0.444917496
DVL2,FRAT1,0.21982505
DVL2,NKD2,-0.00961122
DVL2,RNPS1,-0.252488996
DVL3,FRAT1,0.362554567
DVL3,KAT7,0.762426471
DVL3,NKD2,0.081986619
DYNC1H1,TUBA1B,0.176481095
DYNC1I2,FOS,0.74947674
DYNC1I2,TUBA1B,0.073796069
DYNLL1,EGR1,-0.31124468
DYNLL1,NRF1,-0.257403509
DYNLL1,ZHX1,0.085772866
DYNLL1,ZMYND11,-0.08996215
E2F2,ACSL1,0.897736274
E2F2,ACTR6,-0.097388739
E2F2,AGBL5,-0.569440322
E2F2,AP1S1,0.023608769
E2F2,APIP,-0.075084188
