"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","ANLN","ASPM","KCNN2","AFP","DKK1","ALDH3A1","ODAM","TTK","MEP1A","NEK2","EPCAM","TOP2A","POSTN","CCNB1","IGF2BP3","OIT3","LGR5","NUF2","GPC3","CNDP1","S100P","CLEC1B","COX7B2","REG3A","NQO1","FDCSP","CLEC4G","LIN28B","PEG10","LINC01093","LINC01419","MMP12","MYH4"
"TCGA-DD-A11A-00","3.7135721","3.4011974","5.5645204","3.8712010","1.0986123","4.3944492","0.0000000","2.5649494","2.4849066","2.0794415","5.3327188","4.6051702","7.3790081","4.2341065","1.0986123","8.8236479","5.1873858","2.7725887","4.7957905","7.3907985","3.0445224","6.7007311","0.0000000","0.0000000","2.7725887","0.0000000","0.6931472","0.0000000","4.6634391","7.6482630","0.0000000","0.6931472","1.3862944"
"TCGA-ES-A2HT-00"," 4.9052748"," 5.0172798"," 3.4339872"," 5.4971682"," 4.6249728"," 4.6443909"," 1.6094379"," 4.0604430"," 0.6931472"," 4.4067192"," 8.9366927"," 6.1882641"," 4.5951199"," 5.6869754"," 1.3862944"," 7.7471650"," 4.1271344"," 3.8501476"," 7.1693500"," 5.6937321"," 4.9904326"," 5.9480350"," 0.0000000"," 1.6094379"," 8.2369500"," 0.0000000"," 0.0000000"," 0.0000000"," 3.7612001"," 6.1654179"," 0.0000000"," 1.3862944","10.1113956"
"TCGA-DD-A116-00","4.2904594","4.7449321","6.1944054","5.5984220","1.6094379","4.6151205","0.0000000","3.4965076","0.0000000","3.3322045","6.2538288","5.3518581","5.7268477","4.6821312","2.1972246","8.0662076","4.9344739","2.7725887","5.4249500","8.0680896","3.1780538","6.1377271","0.0000000","0.6931472","4.8362819","1.0986123","1.0986123","0.0000000","4.9972123","7.6043963","0.0000000","0.6931472","2.9957323"
"TCGA-DD-A3A4-00","2.7080502","3.4657359","6.3733198","4.3040651","1.9459101","4.5217886","0.6931472","2.9957323","1.6094379","2.3978953","5.2094862","4.3567088","3.9120230","4.5538769","1.0986123","9.5421589","3.9120230","3.0445224","5.9295891","6.2344107","5.0689042","7.2717037","0.0000000","1.9459101","5.3423343","1.0986123","0.0000000","0.0000000","4.8121844","7.0817086","0.0000000","0.0000000","1.9459101"
"TCGA-EP-A26S-00","1.9459101","3.1354942","6.6592939","5.0106353","0.0000000","2.0794415","0.0000000","2.3025851","0.0000000","0.6931472","4.5643482","3.0445224","3.8918203","3.6109179","2.0794415","8.6538198","3.4339872","1.9459101","5.4971682","7.4283332","4.9767337","6.0185932","0.0000000","0.0000000","4.3438054","0.0000000","0.6931472","0.0000000","4.4067192","7.9131552","0.0000000","2.0794415","0.0000000"
"TCGA-DD-A3A5-00","1.3862944","2.9444390","6.6554404","5.5134287","0.0000000","3.5835189","1.3862944","1.7917595","0.0000000","1.7917595","4.2484952","3.4011974","4.9558271","3.7376696","0.6931472","6.8330317","4.5217886","1.7917595","3.8712010","8.3733228","2.0794415","4.8040210","0.6931472","0.0000000","3.7376696","0.0000000","0.0000000","0.0000000","4.4188406","8.3995351","0.0000000","0.0000000","0.0000000"
"TCGA-DD-A39V-00","3.1780538","2.7080502","6.3153580","3.7612001","1.0986123","5.2257467","0.0000000","2.0794415","0.0000000","1.7917595","5.1761497","3.8501476","5.0498560","3.9512437","0.0000000","8.3975083","3.3672958","1.9459101","6.1820849","8.0219128","4.1108739","6.0935698","0.6931472","0.0000000","4.4886364","0.0000000","0.0000000","0.0000000","4.7004804","8.0554751","0.0000000","0.0000000","3.2580965"
"TCGA-DD-A1EE-00","2.5649494","3.6375862","2.9444390","4.6151205","0.6931472","6.5117453","0.0000000","2.3978953","1.3862944","1.7917595","5.9348942","4.2626799","3.1780538","3.5263605","0.6931472","7.8071033","3.7612001","2.0794415","6.1654179","4.4543473","2.7080502","5.9188939","0.0000000","1.6094379","4.9487599","3.2188758","0.6931472","0.0000000","3.5263605","7.4336665","0.0000000","1.9459101","6.1441856"
"TCGA-BC-A216-00","5.3659760","4.8121844","6.5930445","5.3132060","1.6094379","2.9444390","0.0000000","4.3174881","1.6094379","4.2341065","7.2997974","6.4281053","4.9767337","5.5294291","2.3978953","8.4348979","6.0567840","3.9318256","5.0106353","8.3767810","4.6728288","5.8805330","1.0986123","0.0000000","5.1474945","1.6094379","0.6931472","1.0986123","4.4188406","8.1083223","0.0000000","3.5263605","2.1972246"
"TCGA-DD-A119-00","2.9444390","3.4339872","6.7719356","4.5217886","1.0986123","3.9889840","0.0000000","2.0794415","1.9459101","2.6390573","5.1179938","4.4067192","5.1761497","4.0943446","1.6094379","9.0744061","4.9487599","1.6094379","5.3278762","8.2718040","3.5835189","6.8254600","0.0000000","1.3862944","3.9512437","0.0000000","0.0000000","0.0000000","5.2882670","7.6338536","0.0000000","0.0000000","0.6931472"
"TCGA-DD-A3A8-00","1.3862944","1.7917595","6.4101749","4.1588831","1.3862944","3.3322045","0.0000000","1.6094379","0.0000000","0.0000000","4.9767337","2.3025851","4.3174881","3.7841896","0.6931472","8.0696553","3.2188758","0.6931472","7.3683397","7.9631121","2.7725887","5.9763509","0.0000000","0.0000000","4.7535902","0.0000000","0.6931472","0.0000000","4.1271344","7.0405364","0.0000000","0.0000000","0.0000000"
"TCGA-DD-A3A6-00","1.6094379","2.3025851","5.6489742","4.0943446","0.0000000","4.7184989","1.7917595","1.0986123","0.6931472","1.3862944","4.8040210","0.6931472","3.8712010","3.3672958","0.0000000","5.0238805","3.7376696","1.0986123","4.0943446","8.0143357","1.0986123","2.0794415","0.0000000","3.9318256","4.2341065","0.0000000","0.0000000","0.0000000","4.7957905","8.0166479","0.0000000","0.0000000","0.0000000"
"TCGA-DD-A1EC-00","3.0910425","3.2958369","6.2747620","5.0814044","1.9459101","3.6109179","0.0000000","2.3025851","0.6931472","2.1972246","5.0498560","4.2766661","6.0378709","3.9120230","1.3862944","8.5993260","4.5217886","2.0794415","4.3174881","7.8050670","2.8903718","6.1737861","0.0000000","0.0000000","3.7841896","0.6931472","0.0000000","0.0000000","5.3471075","8.1650793","0.0000000","0.6931472","0.6931472"
"TCGA-DD-A11C-00","2.8903718","3.4657359","5.9107966","4.4543473","0.6931472","2.4849066","0.0000000","1.7917595","0.0000000","1.7917595","3.6109179","3.4339872","5.0689042","3.3672958","1.3862944","7.7119965","3.8286414","1.7917595","3.5553481","7.4413204","2.3978953","5.5645204","0.0000000","1.0986123","2.7725887","0.0000000","1.0986123","0.0000000","4.4998097","7.9262415","0.0000000","0.0000000","0.0000000"
"TCGA-FV-A23B-00","3.9702919","4.2046926","5.3230100","4.9698133","1.9459101","6.1441856","0.6931472","2.7080502","3.4657359","3.3672958","6.4861608","5.0562458","5.9914645","4.7706846","1.9459101","8.0655794","5.8833224","3.0445224","6.9650803","7.7911095","5.4424177","5.8051350","2.5649494","3.7376696","5.7203118","1.6094379","0.0000000","0.0000000","5.8111410","7.1861443","1.6094379","1.7917595","0.0000000"
"TCGA-BC-A110-00","1.0986123","2.5649494","5.9558374","3.7376696","1.0986123","2.7080502","0.0000000","1.0986123","0.0000000","2.4849066","5.0039463","3.0445224","5.4380793","3.5553481","0.6931472","8.3270007","2.3025851","1.3862944","4.3567088","8.1128275","3.1780538","6.6093492","0.0000000","0.0000000","2.9957323","0.0000000","0.0000000","0.0000000","5.5214609","8.2707810","0.0000000","1.0986123","4.9344739"
