"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"gene","SEC61A2","SEL1L3","EIF3L","RPL3","KRT23","OAS2","SLC39A11","CFHR5","LRRC1","LOXL4","CREG1","JTB","FAM168B","PTPRD","STC1","SLC22A15","SENP2","HSPA4L","COL4A3","CTDSP2","NR2F1","DLEU1","NR2C2","GTPBP6","PRR14L","MAGEH1","TRIM31","NEURL1B","LINC01806","DENND11"
"TCGA-DD-A11A-00"," 5.749393"," 6.919684"," 8.111028","10.941553"," 5.529429"," 6.956545"," 7.756195","10.125831"," 4.369448"," 5.598422"," 9.570738"," 6.037871"," 7.728416"," 6.828712"," 5.966147"," 4.007333"," 7.239933"," 7.257003"," 4.510860"," 8.220403"," 7.074963"," 3.496508"," 6.206576"," 7.164720"," 6.940222"," 6.232448"," 3.912023"," 6.304449"," 4.094345"," 7.060476"
"TCGA-ES-A2HT-00"," 5.017280"," 7.865955"," 7.700748","10.856014"," 9.168163","10.354850"," 8.131531"," 8.333511"," 6.156979"," 8.321908"," 9.681905"," 5.874931"," 7.233455"," 5.164786"," 4.948760"," 5.549076"," 7.257003"," 6.912743"," 5.111988"," 8.111328"," 7.029973"," 3.583519"," 6.042633"," 7.547502"," 6.855409"," 5.476464"," 6.645091"," 6.753438"," 4.624973"," 7.554859"
"TCGA-DD-A116-00"," 5.159055"," 6.708084"," 7.970740","11.055878"," 3.806662"," 7.388946"," 7.872074"," 8.486322"," 3.951244"," 5.293305"," 9.331850"," 5.777652"," 7.917536"," 6.411818"," 4.406719"," 3.891820"," 7.160846"," 6.458338"," 3.258097"," 8.503500"," 6.656727"," 4.007333"," 6.318968"," 7.545390"," 6.520621"," 6.445720"," 4.369448"," 6.439350"," 4.700480"," 7.583248"
"TCGA-DD-A3A4-00"," 5.398163"," 7.177019"," 8.235891","11.542339"," 2.484907"," 7.855157"," 6.516193"," 8.281471"," 4.127134"," 5.973810"," 9.376024"," 5.955837"," 8.196988"," 5.616771"," 3.555348"," 3.663562"," 7.099202"," 5.303305"," 3.433987"," 8.725182"," 7.551712"," 4.219508"," 6.150603"," 8.302018"," 6.811244"," 6.610696"," 1.098612"," 7.008505"," 4.753590"," 7.175490"
"TCGA-EP-A26S-00"," 5.905362"," 6.263398"," 8.562549","11.529025"," 2.995732"," 5.958425"," 7.969704"," 8.738255"," 3.496508"," 4.110874"," 9.254836"," 5.755742"," 8.362876"," 6.190315"," 4.430817"," 2.772589"," 7.132498"," 6.469250"," 3.218876"," 9.004914"," 6.089045"," 4.262680"," 6.198479"," 7.811973"," 6.573680"," 6.642487"," 1.945910"," 6.437752"," 4.795791"," 7.822845"
"TCGA-DD-A3A5-00"," 6.142037"," 5.141664"," 7.395108","10.844920"," 0.000000"," 5.627621"," 7.272398"," 8.865453"," 2.302585"," 3.828641"," 8.875567"," 5.690359"," 7.491088"," 6.463029"," 4.060443"," 1.609438"," 6.934397"," 6.148468"," 2.302585"," 8.163086"," 5.768321"," 3.637586"," 5.192957"," 7.301148"," 6.293419"," 6.122493"," 2.079442"," 5.463832"," 4.663439"," 6.914731"
"TCGA-DD-A39V-00"," 5.840642"," 5.849325"," 7.561122","10.797553"," 2.833213"," 6.287859"," 7.485492"," 9.058936"," 3.218876"," 4.442651"," 9.111735"," 5.564520"," 7.181592"," 5.631212"," 5.068904"," 2.302585"," 6.669498"," 6.501290"," 3.828641"," 7.707962"," 6.336826"," 2.944439"," 5.147494"," 7.050123"," 5.918894"," 6.056784"," 3.433987"," 5.379897"," 3.806662"," 6.650279"
"TCGA-DD-A1EE-00"," 5.598422"," 7.024649"," 7.397562","10.332604"," 5.459586"," 8.424639"," 7.484930"," 8.532476"," 4.143135"," 5.645447"," 8.890135"," 5.497168"," 7.326466"," 5.590987"," 3.583519"," 4.248495"," 6.561031"," 6.429719"," 2.944439"," 8.188133"," 6.188264"," 3.583519"," 5.880533"," 6.962243"," 6.476972"," 4.812184"," 4.025352"," 6.274762"," 3.970292"," 7.062192"
"TCGA-BC-A216-00"," 6.434547"," 6.463029"," 7.370231","10.630021"," 4.077537"," 6.800170"," 7.664347"," 9.475623"," 4.304065"," 4.644391"," 9.407633"," 6.285998"," 7.520235"," 5.902633"," 5.552960"," 3.891820"," 6.813445"," 6.646391"," 3.332205"," 8.028455"," 6.931472"," 4.204693"," 5.739793"," 7.249926"," 6.398595"," 6.077642"," 3.806662"," 5.831882"," 4.663439"," 6.959399"
"TCGA-DD-A119-00"," 5.883322"," 6.892642"," 7.881560","10.436818"," 2.484907"," 7.719130"," 7.687080"," 9.661352"," 3.688879"," 5.099866"," 9.549808"," 5.598422"," 7.290975"," 6.575076"," 5.087596"," 2.995732"," 7.089243"," 7.282761"," 2.397895"," 7.985144"," 6.403574"," 3.610918"," 5.802118"," 6.813445"," 6.421622"," 5.963579"," 4.304065"," 5.746203"," 4.709530"," 6.760415"
"TCGA-DD-A3A8-00"," 5.293305"," 5.857933"," 7.793174","10.824029"," 3.044522"," 6.315358"," 7.779467"," 7.455298"," 2.944439"," 5.017280"," 8.540910"," 5.257495"," 7.400621"," 5.298317"," 3.931826"," 3.367296"," 6.569481"," 5.525453"," 1.791759"," 8.052296"," 5.902633"," 3.258097"," 5.147494"," 7.487174"," 5.880533"," 6.047372"," 1.386294"," 5.123964"," 3.737670"," 6.709304"
