"","gene1","gene2","weight"
"1","NFYA","NIPAL3","0.527849304280071"
"2","NFYA","ACSM3","0.210575548363186"
"3","NFYA","GGCT","0.565215910659725"
"4","NFYA","GTF2IRD1","0.514454666873529"
"5","NFYA","MED24","0.673983598845795"
"6","NFYA","BAZ1B","0.818586926073964"
"7","NFYA","METTL13","0.51726953891127"
"8","NFYA","PTBP1","0.823441471884431"
"9","NFYA","SYT13","0.553582968918572"
"10","NFYA","PHF20","0.826188423631922"
"11","NFYA","FAS","0.657224575293483"
"12","NFYA","DEPDC1B","0.616063552939581"
"13","NFYA","ARID4B","0.787630558423797"
"14","NFYA","CS","0.725325804173576"
"15","NFYA","RPL18","0.316731463107966"
"16","NFYA","RNF4","0.737651963821076"
"17","NFYA","RFXANK","0.441883929094875"
"18","NFYA","YBX1","0.707321792050331"
"19","NFYA","NFYC","0.686917890002662"
"20","NFYA","VPS35","0.81463765329789"
"21","NFYA","ZFYVE26","0.630581876582429"
"22","NFYA","NUP37","0.705194959061794"
"23","NFYA","UNG","0.396616446805468"
"24","NFYA","SNRPA","0.366303900113817"
"25","NFYA","KCNN2","0.0474059548724969"
"26","NFYA","C5orf22","0.799903536341165"
"27","NFYA","XPO1","0.780686852704741"
"28","NFYA","STARD7","0.665879730411258"
"29","NFYA","AGBL5","0.435114910561563"
"30","NFYA","AURKA","0.294679200603317"
"31","NFYA","CNOT3","0.70477450993749"
"32","NFYA","TPX2","0.358112669562609"
"33","NFYA","RPLP0","0.404053158199021"
"34","NFYA","TRMT6","0.847319391104461"
"35","NFYA","SLC7A8","0.325829903143014"
"36","NFYA","HNRNPC","0.843147707921865"
"37","NFYA","POLRMT","0.509879043180291"
"38","NFYA","CENPM","0.324799411957498"
"39","NFYA","SUN2","0.485267983681679"
"40","NFYA","MCM5","0.459087295096172"
"41","NFYA","CDKN3","0.5145670087819"
"42","NFYA","GSTZ1","-0.11504458144245"
"43","NFYA","VRK1","0.787108325974145"
"44","NFYA","PABPN1","0.654612555425954"
"45","NFYA","DCAF11","0.103245324396248"
"46","NFYA","FAM83D","0.187782189954673"
"47","NFYA","SUV39H1","0.335057388898401"
"48","NFYA","PQBP1","0.595053103690275"
"49","NFYA","CDK16","0.835279446199811"
"50","NFYA","CENPI","0.404612668867237"
"51","NFYA","NUP93","0.803978548167672"
"52","NFYA","ACD","0.635569878622646"
"53","NFYA","CEP152","0.712487991710564"
"54","NFYA","OIP5","0.358717786470153"
"55","NFYA","ARMC1","0.711287526626699"
"56","NFYA","UBR5","0.70663816311225"
"57","NFYA","HNRNPL","0.776813937641743"
