"","eHCC-1","eHCC-2","eHCC-3","eHCC-4","eHCC-5","eHCC-6","eHCC-7","eHCC-8","eHCC-9","eHCC-10","eHCC-11","eHCC-12","eHCC-13","eHCC-14"
"CENPE",6.450886156,5.660363096,6.451161934,5.264372423,5.310398824,5.747687064,5.957456203,6.124518986,5.926936758,6.245839324,5.692927558,5.766452589,5.351848113,5.569096606
"CENPF",5.077261103,5.787194565,6.863451055,4.898985171,5.419510335,5.932753543,5.90670668,5.461280035,5.574881276,5.691590909,5.878704538,5.543272109,4.754938697,5.418902747
"CENPH",4.706607887,4.895185366,5.208854904,4.818034936,4.950658423,4.67242258,4.935313704,4.798551335,4.495966334,4.975800575,4.931983039,5.050233089,5.193040759,4.746725695
"CENPI",4.865949594,4.687286994,4.649366999,4.628906864,4.594934954,4.650983285,4.728998396,4.732311347,4.716106522,5.036231438,4.656303907,4.61140919,4.574236658,4.762530157
"CENPJ",5.941425192,4.650560357,5.065108066,5.379034579,5.619540776,5.676689286,5.858830686,5.365668809,5.431553205,5.20363847,5.501101174,5.881232116,5.083221534,5.42499899
"CENPK",4.951950814,5.633568285,5.012124026,4.587415052,4.748525648,4.702095012,6.382576564,5.249380506,5.349063987,5.114673613,6.014168396,5.607560211,5.302745333,5.505097847
"CENPM",5.556663759,5.660583851,5.570943827,4.973866174,5.229450991,6.888300721,7.174891032,6.261548413,5.581983838,6.51754518,6.359607215,6.116067256,5.66573019,5.96958342
"CENPN",7.446368853,6.71041853,6.587537873,6.563640893,6.6293345,6.570428369,7.08570384,7.401264647,7.081745022,7.798877888,6.157973511,6.490149873,6.525929981,5.711266752
"CENPQ",5.953130285,5.193040759,5.430326653,4.911580653,5.421781133,4.730720942,5.579128153,5.627378561,5.588833798,5.27097644,4.964790891,5.284221256,5.385215007,4.529270438
"CENPS",7.848162969,7.327530002,7.468071401,7.686236572,7.626816363,7.553237048,8.489546328,7.620610941,7.701114575,8.026670207,7.151268899,7.13965643,7.991741546,6.971787083
"CENPT",6.945938751,7.101462556,6.746074419,6.895469456,7.837911889,8.012225794,7.445032534,6.789665696,6.681170847,7.143121966,7.092346842,7.229585776,7.594938685,7.753300879
"CENPV",8.361299048,9.712496308,10.18890494,10.05759998,9.441710581,10.35351551,10.71213449,10.09903487,9.150280997,10.66934189,10.19748869,9.832915513,10.06706489,9.619844067
"CENPW",8.299454989,6.590039767,7.025952536,6.438230764,6.392633644,6.5421498,7.351649583,7.019736587,6.632341975,7.035211321,6.59404393,6.901178685,6.646297113,6.389399539
"CENPX",11.17428829,9.791397157,9.239060262,9.29842198,10.47727467,9.887520808,10.1470745,10.38469437,10.13301648,10.2338495,9.321453402,9.664431673,10.56943334,9.686600683
"CEP135",5.885132464,5.818979027,6.36969592,5.741937638,6.19727107,5.802508674,6.040463244,5.853240382,6.471649954,5.996170517,6.402642951,6.61265524,5.869941309,6.676817254
