"","from","to"
"160","AKT3","PIK3R3"
"161","RAF1","PIK3R3"
"162","HRAS","PIK3R3"
"163","PCYT1A","MAPK10"
"164","BCL2L1","MAPK10"
"165","CYP8B1","TP53"
"166","PNP","TP53"
"167","TYMS","TP53"
"168","PIP4K2B","TP53"
"169","GSTM4","TP53"
"170","GSTP1","TP53"
"171","TGFA","TP53"
"172","SHC1","TP53"
"173","PRKCA","TP53"
"174","AKT1","TP53"
"175","HRAS","TP53"
"176","BCL2L1","TP53"
"177","EGFR","TP53"
"178","PIK3CA","TP53"
"179","MAPK10","TP53"
"180","TP53","CDKN2A"
"181","TP53","CDKN2C"
"182","AKT3","CDKN1A"
"183","AKT1","CDKN1A"
"184","AKT2","CDKN1A"
"185","TP53","CDKN1A"
"186","SOS1","CCND1"
"187","SOS2","CCND1"
"188","TP53","CCND1"
"189","CDKN2A","CCND1"
"190","CDKN2C","CCND1"
"191","CDKN1A","CCND1"
"192","TP53","CDK4"
"193","CDKN2A","CDK4"
"194","CDKN2C","CDK4"
"195","CDKN1A","CDK4"
"196","CCND1","CDK4"
"197","PRKCB","RB1"
"198","RAF1","RB1"
"199","IGF1","RB1"
"200","PIK3R1","RB1"
"201","PIK3R3","RB1"
"202","TP53","RB1"
"203","CDKN1A","RB1"
"204","CCND1","RB1"
"205","CDK4","RB1"
"206","GRB2","IGF1R"
"207","SHC2","IGF1R"
"208","MAP2K1","IGF1R"
"209","HRAS","IGF1R"
"210","IGF1","IGF1R"
"211","PIK3CA","IGF1R"
"212","TP53","IGF1R"
"213","AKT3","BAD"
"214","AKT1","BAD"
"215","AKT2","BAD"
"216","BCL2L1","BAD"
"217","AKT3","PDPK1"
"218","HRAS","PDPK1"
"219","KRAS","PDPK1"
"220","NRAS","PDPK1"
"221","PIK3CA","PDPK1"
"222","PIK3CB","PDPK1"
"223","PIK3CD","PDPK1"
"224","PIK3R1","PDPK1"
"225","PIK3R2","PDPK1"
"226","PIK3R3","PDPK1"
"227","PCYT1A","MAPK1"
"228","GRB2","MAPK1"
"229","PRKCA","MAPK1"
"230","PRKCB","MAPK1"
"231","PRKCG","MAPK1"
"232","MAP2K1","MAPK1"
"233","MAP2K2","MAPK1"
"234","HRAS","MAPK1"
"235","KRAS","MAPK1"
"236","NRAS","MAPK1"
"237","IGF1","MAPK1"
"238","EGFR","MAPK1"
"239","TP53","MAPK1"
"240","CCND1","MAPK1"
"241","CDK4","MAPK1"
"242","RB1","MAPK1"
"243","BAD","MAPK1"
"244","PCYT1A","MAPK3"
"245","PRKCA","MAPK3"
"246","IGF1","MAPK3"
"247","TP53","MAPK3"
"248","CCND1","MAPK3"
"249","CDK4","MAPK3"
"250","BAD","MAPK3"
"251","AKT3","PPP2CB"
"252","MAP2K1","PPP2CB"
"253","AKT3","PPP2R1A"
"254","MAP2K1","PPP2R1A"
"255","AKT3","PPP2R5A"
"256","TP53","BRCA2"
"257","BRCA2","FANCD2"
"258","BRCA2","FANCG"
"259","TP53","DUSP1"
"260","MAPK1","DUSP1"
"261","MAPK1","DUSP6"
"262","MAPK1","ELK4"
"263","MAPK3","ELK4"
"264","SMS","ELK1"
"265","GRB2","ELK1"
"266","SHC1","ELK1"
"267","PRKCA","ELK1"
"268","PRKCB","ELK1"
"269","PRKCG","ELK1"
"270","MAP2K1","ELK1"
"271","NRAS","ELK1"
"272","BCL2L1","ELK1"
"273","PIK3R1","ELK1"
"274","MAPK10","ELK1"
"275","CCND1","ELK1"
"276","MAPK1","ELK1"
"277","MAPK3","ELK1"
"278","ELK4","ELK1"
"279","TP53","GADD45G"
"280","TP53","GADD45A"
"281","TP53","GADD45B"
"282","TP53","TGFB1"
"283","TP53","MAPKAPK5"
"284","PIK3CA","RAC1"
"285","PIK3CB","RAC1"
"286","PIK3CD","RAC1"
"287","PIK3R1","RAC1"
"288","PIK3R2","RAC1"
"289","PIK3R3","RAC1"
"290","MAPK1","RAC1"
"291","ELK1","RAC1"
"292","IL1RAP","MYD88"
"293","GRB2","EPHA2"
"294","SHC2","EPHA2"
"295","TP53","EPHA2"
"296","ELK1","EPHA2"
"297","SOS1","FGFR4"
"298","GRB2","FGFR4"
"299","SHC2","FGFR4"
"300","HRAS","FGFR4"
"301","GAB1","MET"
"302","GRB2","MET"
"303","SHC2","MET"
"304","HRAS","MET"
"305","HGF","MET"
"306","PIK3CA","MET"
"307","TP53","MET"
"308","GRB2","NGFR"
"309","SHC2","NGFR"
"310","SOS1","PDGFRA"
"311","GRB2","PDGFRA"
"312","SHC2","PDGFRA"
"313","HRAS","PDGFRA"
"314","PDGFD","PDGFRA"
"315","PIK3CA","PDGFRA"
"316","PRKCA","PLCB1"
"317","PRKCB","PLCB1"
"318","EGFR","PLCB1"
"319","IGF1R","PLCB1"
"320","EPHA2","PLCB1"
"321","FGFR4","PLCB1"
"322","MET","PLCB1"
"323","NGFR","PLCB1"
"324","PDGFRA","PLCB1"
"325","GNA14","PLCB1"
"326","PRKCA","PLCB2"
"327","PRKCB","PLCB2"
"328","EGFR","PLCB2"
"329","PRKCA","PLCG1"
"330","PRKCB","PLCG1"
"331","EGFR","PLCG1"
"332","PIK3CA","PLCG1"
"333","PIK3CB","PLCG1"
"334","PIK3CD","PLCG1"
"335","PIK3R1","PLCG1"
"336","PIK3R2","PLCG1"
"337","PIK3R3","PLCG1"
"338","IGF1R","PLCG1"
"339","FGFR4","PLCG1"
"340","MET","PLCG1"
"341","PDGFRA","PLCG1"
"342","PRKCA","PLCG2"
"343","PRKCB","PLCG2"
"344","PIK3CA","HOMER2"
"345","PIK3CA","HOMER1"
"346","TGFB1","TGFBR1"
"347","TGFB2","TGFBR1"
"348","TGFB3","TGFBR1"
"349","TGFB1","TGFBR2"
"350","TGFB2","TGFBR2"
"351","TGFB3","TGFBR2"
"352","TGFBR1","TGFBR2"
"353","AKT1","SMAD4"
"354","NRAS","SMAD4"
"355","CDKN1A","SMAD4"
"356","MAPK1","SMAD4"
"357","MAPK3","SMAD4"
"358","GADD45B","SMAD4"
"359","TGFB1","SMAD4"
"360","TGFBR1","SMAD4"
"361","TGFBR2","SMAD4"
"362","RB1","DGKZ"
"363","ELK1","DGKZ"
"364","TGFB2","AGTR1"
"365","PLCB1","AGTR1"
"366","AKT3","TSC1"
"367","AKT1","TSC1"
"368","AKT2","TSC1"
"369","AKT3","TSC2"
"370","AKT1","TSC2"
"371","AKT2","TSC2"
"372","TP53","TSC2"
"373","MAPK1","TSC2"
"374","MAPK3","TSC2"
"375","ELK1","TSC2"
"376","MTOR","RHEB"
"377","TSC1","RHEB"
"378","TSC2","RHEB"
"379","TP53","CDK1"
"380","RB1","CDK1"
"381","BRCA2","CDK1"
"382","GADD45G","CDK1"
"383","GADD45A","CDK1"
"384","GADD45B","CDK1"
"385","TP53","PCNA"
"386","CDK4","PCNA"
"387","RB1","PCNA"
"388","GADD45G","PCNA"
"389","GADD45A","PCNA"
"390","GADD45B","PCNA"
"391","TP53","PLK1"
"392","BRCA2","PLK1"
"393","ARAF","YWHAB"
"394","ARAF","YWHAG"
"395","TP53","YWHAG"
"396","ARAF","YWHAZ"
"397","TP53","YWHAZ"
"398","TP53","PRKDC"
"399","CDK1","CDC25B"
"400","PLK1","CDC25B"
"401","YWHAB","CDC25B"
"402","YWHAG","CDC25B"
"403","YWHAZ","CDC25B"
"404","TP53","CDC25C"
"405","CDK1","CDC25C"
"406","YWHAB","CDC25C"
"407","YWHAG","CDC25C"
"408","YWHAZ","CDC25C"
"409","ELK1","CDC45"
"410","ORC6","CDC6"
"411","AKT3","GSK3B"
"412","AKT1","GSK3B"
"413","AKT2","GSK3B"
"414","IGF1","GSK3B"
"415","TP53","GSK3B"
"416","CCND1","GSK3B"
"417","TSC1","GSK3B"
"418","TP53","CCNB1"
"419","CDK1","CCNB1"
"420","PLK1","CCNB1"
"421","TP53","CCNB2"
"422","PLK1","CCNB2"
"423","TP53","CCNA2"
"424","CDKN1A","CCNA2"
"425","RB1","CCNA2"
"426","BRCA2","CCNA2"
"427","CDC6","CCNA2"
"428","CDK1","CDK7"
"429","TYMS","E2F4"
"430","DUT","E2F4"
"431","SMS","E2F4"
"432","UXS1","E2F4"
"433","PIP4K2B","E2F4"
"434","MTHFD1","E2F4"
"435","GCH1","E2F4"
"436","GGPS1","E2F4"
"437","TP53","E2F4"
"438","CCND1","E2F4"
"439","RB1","E2F4"
"440","IGF1R","E2F4"
"441","FANCC","E2F4"
"442","FANCF","E2F4"
"443","FANCG","E2F4"
"444","GADD45A","E2F4"
"445","PLCG1","E2F4"
"446","TGFBR1","E2F4"
"447","SMAD4","E2F4"
"448","ORC1","E2F4"
"449","CDK1","E2F4"
"450","PCNA","E2F4"
"451","PLK1","E2F4"
"452","DBF4","E2F4"
"453","PRKDC","E2F4"
"454","CDC45","E2F4"
"455","CDC6","E2F4"
"456","CCNB1","E2F4"
"457","CCNA2","E2F4"
"458","SMS","E2F5"
"459","UXS1","E2F5"
"460","PIP4K2B","E2F5"
"461","GCH1","E2F5"
"462","GGPS1","E2F5"
"463","TP53","E2F5"
"464","RB1","E2F5"
"465","IGF1R","E2F5"
"466","FANCF","E2F5"
"467","FANCG","E2F5"
"468","TGFBR1","E2F5"
"469","SMAD4","E2F5"
"470","PCNA","E2F5"
"471","CDC6","E2F5"
"472","TALDO1","E2F1"
"473","UGP2","E2F1"
"474","PDE7A","E2F1"
"475","CAD","E2F1"
"476","TYMS","E2F1"
"477","DUT","E2F1"
"478","AMDHD1","E2F1"
"479","SMS","E2F1"
"480","UXS1","E2F1"
"481","PIP4K2B","E2F1"
"482","MTHFD1","E2F1"
"483","MTHFD1L","E2F1"
"484","GCH1","E2F1"
"485","GGPS1","E2F1"
"486","GSTM2","E2F1"
"487","GSTT2","E2F1"
"488","MGST3","E2F1"
"489","GSTT2B","E2F1"
"490","GMPS","E2F1"
"491","AKT2","E2F1"
"492","BRAF","E2F1"
"493","EGFR","E2F1"
"494","TP53","E2F1"
"495","CDKN2A","E2F1"
"496","CDKN2C","E2F1"
"497","CDKN1A","E2F1"
"498","CCND1","E2F1"
"499","CDK4","E2F1"
"500","RB1","E2F1"
"501","IGF1R","E2F1"
"502","UPF3B","E2F1"
"503","PPP2R5A","E2F1"
"504","FANCC","E2F1"
"505","FANCF","E2F1"
"506","FANCG","E2F1"
"507","UBE2T","E2F1"
"508","DUSP1","E2F1"
"509","TGFB2","E2F1"
"510","RAC1","E2F1"
"511","RALGAPB","E2F1"
"512","ENAH","E2F1"
"513","TGFBR1","E2F1"
"514","TSC1","E2F1"
"515","CDK1","E2F1"
"516","PCNA","E2F1"
"517","PLK1","E2F1"
"518","DBF4","E2F1"
"519","PRKDC","E2F1"
"520","CDC45","E2F1"
"521","CDC6","E2F1"
"522","GSK3B","E2F1"
"523","CCNB1","E2F1"
"524","CCNA2","E2F1"
"525","CDK7","E2F1"
"526","E2F4","E2F1"
"527","E2F5","E2F1"
"528","AMDHD1","E2F2"
"529","SMS","E2F2"
"530","UXS1","E2F2"
"531","PIP4K2B","E2F2"
"532","GCH1","E2F2"
"533","GGPS1","E2F2"
"534","TP53","E2F2"
"535","CDKN2C","E2F2"
"536","RB1","E2F2"
"537","IGF1R","E2F2"
"538","FANCF","E2F2"
"539","FANCG","E2F2"
"540","TGFB2","E2F2"
"541","ENAH","E2F2"
"542","TGFBR1","E2F2"
"543","PCNA","E2F2"
"544","CDC45","E2F2"
"545","CDC6","E2F2"
"546","CCNA2","E2F2"
"547","E2F4","E2F2"
"548","E2F1","E2F2"
"549","SMS","E2F3"
"550","UXS1","E2F3"
"551","PIP4K2B","E2F3"
"552","GCH1","E2F3"
"553","GGPS1","E2F3"
"554","TP53","E2F3"
"555","CDKN1A","E2F3"
"556","RB1","E2F3"
"557","IGF1R","E2F3"
"558","FANCF","E2F3"
"559","FANCG","E2F3"
"560","TGFBR1","E2F3"
"561","CDK1","E2F3"
"562","PCNA","E2F3"
"563","PLK1","E2F3"
"564","CDC45","E2F3"
"565","CDC6","E2F3"
"566","CCNB1","E2F3"
"567","CCNA2","E2F3"
"568","E2F4","E2F3"
"569","E2F5","E2F3"
"570","E2F1","E2F3"
"571","E2F2","E2F3"
"572","EGFR","HDAC1"
"573","TP53","HDAC1"
"574","CDKN2A","HDAC1"
"575","CDKN1A","HDAC1"
"576","CCND1","HDAC1"
"577","RB1","HDAC1"
"578","BRCA2","HDAC1"
"579","PCNA","HDAC1"
"580","E2F1","HDAC1"
"581","CAD","HDAC2"
"582","IGF1","HDAC2"
"583","TP53","HDAC2"
"584","CDKN1A","HDAC2"
"585","RB1","HDAC2"
"586","TGFBR2","HDAC2"
"587","HDAC1","HDAC2"
"588","CCNB2","ANAPC5"
"589","CCNB2","ANAPC7"
"590","TP53","ANAPC11"
"591","CCNB2","ANAPC11"
"592","CCNB2","CDC23"
"593","CCNB2","CDC20"
"594","HDAC1","CDC20"
"595","HDAC2","CDC20"
"596","TP53","PPP1CC"
"597","RB1","PPP1CC"
"598","CDC25C","PPP1CC"
"599","IGF1","IGFBP3"
"600","TP53","IGFBP3"
"601","E2F4","IGFBP3"
"602","E2F5","IGFBP3"
"603","E2F1","IGFBP3"
"604","E2F2","IGFBP3"
"605","E2F3","IGFBP3"
"606","HDAC1","IGFBP3"
"607","EGFR","NEDD4L"
"608","EGFR","SH3GLB2"
"609","EHD3","RBSN"
"610","RBSN","VPS45"
"611","E2F1","DYNC1I2"
"612","MTOR","RRAGC"
"613","TSC1","RPS6KA3"
"614","MTOR","PRKAA2"
"615","TSC2","PRKAA2"
"616","E2F1","WNT1"
"617","TP53","WNT3"
"618","E2F4","WNT5A"
"619","E2F5","WNT5A"
"620","E2F1","WNT5A"
"621","E2F2","WNT5A"
"622","E2F3","WNT5A"
"623","E2F4","WNT9A"
"624","E2F5","WNT9A"
"625","E2F1","WNT9A"
"626","E2F2","WNT9A"
"627","E2F3","WNT9A"
"628","TP53","FZD10"
"629","E2F1","FZD10"
"630","WNT16","FZD10"
"631","WNT4","FZD10"
"632","WNT1","FZD10"
"633","WNT2","FZD10"
"634","WNT3","FZD10"
"635","WNT5A","FZD10"
"636","WNT6","FZD10"
"637","WNT7A","FZD10"
"638","WNT7B","FZD10"
"639","WNT8A","FZD10"
"640","WNT8B","FZD10"
"641","WNT10B","FZD10"
"642","WNT11","FZD10"
"643","WNT2B","FZD10"
"644","WNT9A","FZD10"
"645","WNT9B","FZD10"
"646","WNT10A","FZD10"
"647","WNT5B","FZD10"
"648","WNT3A","FZD10"
"649","PIK3CA","FZD3"
"650","WNT4","FZD3"
"651","WNT5A","FZD3"
"652","WNT5B","FZD3"
"653","E2F1","FZD1"
"654","ELK1","FZD4"
"655","E2F4","FZD9"
"656","E2F5","FZD9"
"657","E2F1","FZD9"
"658","E2F2","FZD9"
"659","E2F3","FZD9"
"660","WNT16","LRP6"
"661","WNT4","LRP6"
"662","WNT1","LRP6"
"663","WNT2","LRP6"
"664","WNT3","LRP6"
"665","WNT5A","LRP6"
"666","WNT6","LRP6"
"667","WNT7A","LRP6"
"668","WNT7B","LRP6"
"669","WNT8A","LRP6"
"670","WNT8B","LRP6"
"671","WNT10B","LRP6"
"672","WNT11","LRP6"
"673","WNT2B","LRP6"
"674","WNT9A","LRP6"
"675","WNT9B","LRP6"
"676","WNT10A","LRP6"
"677","WNT5B","LRP6"
"678","WNT3A","LRP6"
"679","FZD10","LRP6"
"680","FZD2","LRP6"
"681","FZD5","LRP6"
"682","FZD3","LRP6"
"683","FZD1","LRP6"
"684","FZD4","LRP6"
"685","FZD6","LRP6"
"686","FZD7","LRP6"
"687","FZD8","LRP6"
"688","FZD9","LRP6"
"689","FZD10","LRP5"
"690","RAC1","DVL1"
"691","SMAD4","DVL1"
"692","GSK3B","DVL1"
"693","FZD10","DVL1"
"694","FZD2","DVL1"
"695","FZD5","DVL1"
"696","FZD3","DVL1"
"697","FZD1","DVL1"
"698","FZD4","DVL1"
"699","FZD6","DVL1"
"700","FZD7","DVL1"
"701","FZD8","DVL1"
"702","FZD9","DVL1"
"703","LRP6","DVL1"
"704","LRP5","DVL1"
"705","TP53","DVL2"
"706","RAC1","DVL2"
"707","GSK3B","DVL2"
"708","RAC1","DVL3"
"709","GSK3B","DVL3"
"710","MTOR","RPS6KB1"
"711","AKT3","RPS6KB1"
"712","AKT1","RPS6KB1"
"713","AKT2","RPS6KB1"
"714","PDPK1","RPS6KB1"
"715","MAPK1","RPS6KB1"
"716","MAPK3","RPS6KB1"
"717","PPP2CB","RPS6KB1"
"718","PPP2R1A","RPS6KB1"
"719","E2F1","RPS6KB1"
"720","E2F2","RPS6KB1"
"721","AKT3","HSP90AA1"
"722","TP53","HSP90AA1"
"723","AKT3","HSP90AB1"
"724","TP53","HSP90AB1"
"725","PRKCA","PTK2"
"726","PRKCB","PTK2"
"727","PRKCG","PTK2"
"728","AKT3","PTK2"
"729","EGFR","PTK2"
"730","PIK3CA","PTK2"
"731","PIK3CB","PTK2"
"732","PIK3CD","PTK2"
"733","PIK3R1","PTK2"
"734","PIK3R2","PTK2"
"735","PIK3R3","PTK2"
"736","TP53","PTK2"
"737","IGF1R","PTK2"
"738","MET","PTK2"
"739","PDGFRA","PTK2"
"740","RAC1","TLR4"
"741","MYD88","TLR4"
"742","CD14","TLR4"
"743","MTOR","PRKAG2"
"744","MTOR","PRKAB1"
"745","TP53","PRKAB1"
"746","MTOR","PRKAB2"
"747","MTOR","PRKAG1"
"748","TP53","ELAVL1"
"749","CCND1","ELAVL1"
"750","ELK1","ELAVL1"
"751","PRKAA2","ELAVL1"
"752","PRKAG2","ELAVL1"
"753","PRKAB1","ELAVL1"
"754","PRKAB2","ELAVL1"
"755","PRKAG1","ELAVL1"
"756","PRKAG2","ADRA1A"
"757","CYP1A2","FOS"
"758","SIRT7","FOS"
"759","GSTM4","FOS"
"760","GSTP1","FOS"
"761","SOS2","FOS"
"762","SHC4","FOS"
"763","SHC3","FOS"
"764","SHC1","FOS"
"765","PRKCA","FOS"
"766","PRKCB","FOS"
"767","PRKCG","FOS"
"768","BRAF","FOS"
"769","HRAS","FOS"
"770","KRAS","FOS"
"771","NRAS","FOS"
"772","BCL2L1","FOS"
"773","MAPK10","FOS"
"774","TP53","FOS"
"775","CDKN1A","FOS"
"776","CCND1","FOS"
"777","CDK4","FOS"
"778","RB1","FOS"
"779","MAPK1","FOS"
"780","MAPK3","FOS"
"781","PPP2R5A","FOS"
"782","ELK4","FOS"
"783","ELK1","FOS"
"784","GADD45B","FOS"
"785","TGFB1","FOS"
"786","TGFBR2","FOS"
"787","SMAD4","FOS"
"788","ROCK2","FOS"
"789","YWHAG","FOS"
"790","HDAC1","FOS"
"791","HDAC2","FOS"
"792","ANAPC5","FOS"
"793","IGFBP3","FOS"
"794","NEDD4L","FOS"
"795","RILP","FOS"
"796","DYNC1I2","FOS"
"797","WNT1","FOS"
"798","WNT10B","FOS"
"799","WNT11","FOS"
"800","WNT2B","FOS"
"801","DVL2","FOS"
"802","HSP90AB1","FOS"
"803","TLR4","FOS"
"804","ADRA1A","FOS"
"805","SDHD","MYC"
"806","TKT","MYC"
"807","TALDO1","MYC"
"808","ACAT1","MYC"
"809","ASS1","MYC"
"810","PNP","MYC"
"811","PDE7A","MYC"
"812","CAD","MYC"
"813","DTYMK","MYC"
"814","TYMS","MYC"
"815","DUT","MYC"
"816","GLS2","MYC"
"817","SHMT1","MYC"
"818","MAT1A","MYC"
"819","PCCA","MYC"
"820","SRM","MYC"
"821","AMDHD1","MYC"
"822","ALDH6A1","MYC"
"823","MTR","MYC"
"824","B4GALT3","MYC"
"825","UGDH","MYC"
"826","AKR1B10","MYC"
"827","PIP4K2B","MYC"
"828","LPCAT1","MYC"
"829","LTA4H","MYC"
"830","MTHFD1","MYC"
"831","MTHFD1L","MYC"
"832","RETSAT","MYC"
"833","GSTA4","MYC"
"834","GSTP1","MYC"
"835","MGST1","MYC"
"836","MGST3","MYC"
"837","GSTO1","MYC"
"838","IMPDH2","MYC"
"839","MTOR","MYC"
"840","SOS1","MYC"
"841","SOS2","MYC"
"842","MAP2K1","MYC"
"843","RAF1","MYC"
"844","HRAS","MYC"
"845","KRAS","MYC"
"846","NRAS","MYC"
"847","BCL2L1","MYC"
"848","TP53","MYC"
"849","CDKN2A","MYC"
"850","CDKN2C","MYC"
"851","CDKN1A","MYC"
"852","CCND1","MYC"
"853","CDK4","MYC"
"854","RB1","MYC"
"855","IGF1R","MYC"
"856","MAPK1","MYC"
"857","MAPK3","MYC"
"858","UPF2","MYC"
"859","SMG7","MYC"
"860","HGS","MYC"
"861","RAN","MYC"
"862","BRCA2","MYC"
"863","FANCD2","MYC"
"864","FANCF","MYC"
"865","DUSP1","MYC"
"866","DUSP6","MYC"
"867","ELK1","MYC"
"868","GADD45B","MYC"
"869","TGFB1","MYC"
"870","TGFB2","MYC"
"871","TGFB3","MYC"
"872","FGFR4","MYC"
"873","MET","MYC"
"874","RALGAPB","MYC"
"875","HOMER2","MYC"
"876","HOMER1","MYC"
"877","TGFBR1","MYC"
"878","SMAD4","MYC"
"879","TSC2","MYC"
"880","RHEB","MYC"
"881","CDK1","MYC"
"882","PCNA","MYC"
"883","PLK1","MYC"
"884","PRKDC","MYC"
"885","CDC25B","MYC"
"886","CDC25C","MYC"
"887","CDC6","MYC"
"888","GSK3B","MYC"
"889","CCNB1","MYC"
"890","CCNA2","MYC"
"891","E2F4","MYC"
"892","E2F5","MYC"
"893","E2F1","MYC"
"894","E2F2","MYC"
"895","HDAC2","MYC"
"896","ANAPC5","MYC"
"897","ANAPC7","MYC"
"898","VPS45","MYC"
"899","WNT3","MYC"
"900","WNT10B","MYC"
"901","WNT2B","MYC"
"902","WNT10A","MYC"
"903","FZD7","MYC"
"904","FZD9","MYC"
"905","DVL1","MYC"
"906","DVL2","MYC"
"907","HSP90AA1","MYC"
"908","HSP90AB1","MYC"
"909","PRKAG2","MYC"
"910","FOS","MYC"
"911","CCND1","CDK6"
"912","RB1","CDK6"
"913","E2F1","CDK6"
"914","MYC","CDK6"
"915","TP53","CCNE1"
"916","CDKN1A","CCNE1"
"917","RB1","CCNE1"
"918","BRCA2","CCNE1"
"919","E2F1","CCNE1"
"920","E2F2","CCNE1"
"921","E2F3","CCNE1"
"922","HDAC2","CCNE1"
"923","MYC","CCNE1"
"924","MYC","RAD1"
"925","MAP2K1","PRKCD"
"926","ARAF","PRKCD"
"927","PIK3CA","PRKCD"
"928","PIK3CB","PRKCD"
"929","PIK3CD","PRKCD"
"930","PIK3R1","PRKCD"
"931","PIK3R2","PRKCD"
"932","PIK3R3","PRKCD"
"933","MAPK1","PRKCD"
"934","PLCG1","PRKCD"
"935","PLCG2","PRKCD"
"936","GSTM4","TLE1"
"937","CDKN2C","TLE1"
"938","CDK1","TLE1"
"939","CCND1","LEF1"
"940","SMAD4","LEF1"
"941","WNT1","LEF1"
"942","MYC","LEF1"
