"","gene1","gene2","weight"
"1","AATF","BAX","0.0466850816879737"
"2","AATF","LDOC1","0.0641424402548454"
"3","AATF","POLR2J","0.451784951411664"
"4","AATF","TSG101","-0.493401919338238"
"5","ABL2","BTF3","0.330173860973717"
"7","AOC1","INMT","0.071557747945948"
"8","ACAA1","PCCA","-0.246509145395652"
"9","ACAA2","PCCA","0.110822069718213"
"10","ACAT1","AACS","-0.613124634349825"
"11","ACAT1","HMGCS2","0.357520028472751"
"12","ACTB","AHNAK","0.249557615894105"
"13","ACTB","ARHGAP10","0.122783961400808"
"14","ACTB","CTNNA1","-0.131489328144295"
"15","ACTB","ACTR3C","-0.270670172449905"
"16","ACTB","ITGA2","0.116657271051903"
"17","ACTB","ITGA6","-0.449362653117831"
"18","ACTB","ITGA9","0.326637127802139"
"19","ACTB","MYO1B","0.370061426715108"
"20","ACTB","MYO5A","0.194276454231554"
"21","ACTB","NFYC","-0.124060853354941"
"22","ACTB","STK3","0.278338064856712"
"23","ACTB","WAS","-0.021725199904939"
"24","ACTB","WASF1","0.154201900233334"
"25","ACTG1","CTNNA1","0.623906158354487"
"26","ACTG1","EGR3","-0.302517492339406"
"27","ACTG1","NR3C2","-0.227321843459935"
"28","ACTG1","STK3","-0.181592184521525"
"29","ACTL6A","TRRAP","-0.168631941028687"
"30","ACTL6B","EGR1","0.452708043105455"
"31","ADH1A","CYP26A1","-0.175823505986006"
"32","ADH1A","GSTA1","0.734490524448428"
"33","ADH1A","GSTA2","0.201474037856525"
"34","ADH1A","GSTA3","0.0478301103990544"
"35","ADH1A","GSTA4","0.232590245537128"
"36","ADH1A","GSTA5","0.561311105388867"
"37","ADH1A","GSTM1","0.266864534680237"
"38","ADH1A","GSTM2","0.395080694730603"
"39","ADH1A","GSTM3","0.189841893031327"
"40","ADH1A","GSTM4","0.435768439029234"
"41","ADH1A","GSTM5","0.602626357191296"
"42","ADH1A","GSTO1","-0.0512441648246474"
"43","ADH1A","GSTO2","-0.494443963442828"
"44","ADH1A","GSTP1","-0.152407135593263"
"45","ADH1A","GSTT2","-0.245313089915895"
"46","ADH1A","GSTT2B","-0.245313089915895"
