"","LDN-1","LDN-2","LDN-3","LDN-4","LDN-5","LDN-6","LDN-7","LDN-8","LDN-9","LDN-10","LDN-11"
"ACD",6.28413202,5.876035706,6.027338539,5.960832147,6.128638904,5.791676632,6.163156431,6.053148258,6.406939308,6.001943081,4.982846948
"ACLY",9.847324246,9.611670457,9.356779126,8.938298442,9.196295866,9.898029152,9.546253824,9.528522322,8.900028993,9.539363933,9.5037398
"ACOT4",8.880429657,9.232769952,9.093471978,9.030142327,9.108497485,8.93636238,9.046653179,9.353290035,8.957117918,9.29842198,9.029096259
"ACSL1",11.56604701,11.08112973,11.00154071,11.50819626,11.08788917,11.46085948,11.48850755,11.29113806,11.32922524,11.03725602,11.3883764
"ACSM3",9.155178454,10.03303239,10.18152056,10.72950544,9.970962555,9.571491758,10.47426031,10.38469437,10.79999163,9.67331702,9.747247336
"ACTB",13.75506424,13.18040021,13.0844763,13.33950589,13.01898566,13.60708686,13.58368027,13.42633885,13.24108346,13.2540394,13.03918142
"ACTG1",14.03843718,13.57823608,13.55543357,13.55543357,13.46716033,14.10485116,13.67221901,13.71007567,13.61407801,14.14098906,14.04640459
"ACTG2",6.953440211,5.264071972,5.90916122,4.684281264,4.960076106,6.216663202,4.648363336,4.866439981,7.535460029,4.682218247,5.475531618
"ACTL6A",8.809870556,8.64834507,8.718908612,8.543347244,8.626327409,9.010800771,8.578694819,8.829786097,8.511713724,8.560016608,8.629666183
"ACTL6B",4.639935606,4.818806553,4.699163701,4.563990894,4.552110598,4.868116797,4.92696737,4.603379359,4.635033511,4.854984964,4.54678156
"ACTR3C",4.821823755,4.938707544,5.061500927,4.965233513,4.96732875,4.906970834,4.80339095,5.027042106,4.94027198,4.956672992,5.105778395
"ACTR6",7.798489748,7.792854832,7.632947027,7.951113539,7.71277636,7.847348006,7.599662952,8.089997259,7.926927583,7.769019922,7.801988527
"ACYP1",7.525761252,7.224691967,7.014546092,6.873592792,7.069562491,7.349954466,7.556719118,6.804386797,7.226785228,7.220325003,6.947143197
"ACYP2",8.170822166,8.949393757,8.727695031,8.789300289,8.573824482,8.265245296,8.699638877,8.899499927,8.683939853,8.868787864,9.067593834
"ADAM9",6.105401118,6.120557747,6.145049451,6.050292106,6.030166076,6.897601412,5.89281671,5.687305181,5.880641306,5.867597438,5.959537953
"ADAMTS1",8.076268272,8.406695106,5.93173833,7.328185626,6.630972556,8.34145044,7.624768742,6.775113149,6.59710901,5.720198076,10.31503301
"ADAMTS13",4.754027551,5.142951206,5.329795398,5.338369308,5.505097847,5.429299324,5.825828499,5.30784283,5.489142474,5.627197731,5.037302764
"ADAMTS5",4.637794218,4.831533565,4.812850025,5.063960064,4.619238248,4.759722814,5.013683388,5.43573568,4.941576065,4.813091477,4.490185063
"ADAMTSL2",10.77968468,11.268875,10.43643651,9.857186517,10.64506245,10.7378302,10.64941068,9.44484982,11.00014725,10.24923615,9.504335461
"ADAMTSL3",6.590039767,6.143117983,6.35313873,6.051611313,6.572521499,6.179103963,6.5205051,5.889844054,6.461592565,5.528035722,5.049733627
"ADAR",11.09748121,10.903895,11.01487006,10.6873314,10.824755,10.6968123,11.37981809,10.73058639,10.77086209,11.15756897,10.6968123
"ADH1A",14.62897555,14.73166834,14.92968736,14.66853289,14.74381914,14.67969991,14.7939493,14.90643066,15.09185498,14.74381914,14.07918801
"ADH1B",10.3261583,10.74133466,11.50088269,10.9108849,11.3433554,10.87428423,12.05877756,11.56424984,11.74171511,11.16808999,9.038896888
"ADH1C",12.97612793,13.54918483,13.84738641,13.45127798,13.52226347,13.65716013,13.62633342,13.91809264,13.69099711,13.54406014,12.77302399
"ADH4",12.70743158,13.16789006,13.8922497,13.24965285,13.50696633,13.07163284,13.95496394,14.06347665,13.8922497,13.52226347,12.33064957
"ADIPOR1",9.368217678,9.538827634,9.581777871,9.816138756,9.998110025,9.770747233,9.845951639,10.16135047,9.919716098,9.857186517,10.03303239
"ADK",10.1470745,10.18659748,10.25515928,10.47325875,10.25026158,10.26884841,10.06221896,10.397322,10.23858008,10.41652376,10.17473458
"ADNP",6.652343754,6.68592452,6.945938751,7.046631303,6.73824319,6.135057966,6.629879342,7.016825916,6.585518401,6.5958831,6.505514542
"ADRA1A",6.18109569,6.491422809,6.388577616,6.86662513,6.826084058,5.755773722,5.667500519,7.174891032,6.685316009,7.052270507,5.908247798
