"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"gene","SEMA3F","SEC62","RBM7","SEH1L","RNMT","SARS2","RNASEH2A","SERINC1","RBP2","RND3","SCAMP3","RGS4","SEM1","RAN","SEC61G","SEMA6D","SCYL1","RASA1","SANBR","RFT1","SAP30","RNF180","SAC3D1","SCARA3","RNF187","SAMD12","RIC8A","SERHL2","RELN","SDHD","RBMXL1","SEC22B"
"TCGA-DD-A1EE-00","5.252273","8.411610","5.958425","6.202536","6.240276","3.526361","0.000000","8.815518","1.098612","7.901377","6.860664","5.075174","7.338888","7.548029","6.381816","4.983607","7.828835","5.910797","3.931826","5.587249","4.219508","5.159055","4.905275","4.510860","7.530480","5.620401","7.282074","3.828641","7.407924","7.840706","6.331502","6.953684"
"TCGA-BC-A216-00","5.5254529","9.0647364","6.4952656","6.7499312","6.4488894","2.4849066","1.0986123","9.3315841","0.6931472","9.0474684","7.1155821","5.1704840","8.0614869","8.1350539","7.2093403","4.4543473","7.8296304","5.8749307","3.8918203","5.8377304","5.1179938","5.5451774","5.1873858","4.9199809","7.9398716","6.2005092","7.2916562","3.6635616","7.9568271","8.7206237","6.5027900","7.5453897"
"TCGA-DD-A119-00","5.6454469","9.1651338","6.5971457","6.7934661","6.5680779","3.0910425","0.6931472","9.3962389","0.6931472","9.6486598","7.3018223","5.3082677","7.5538109","7.9658927","6.6720329","4.9487599","8.0459087","6.2499752","3.9318256","5.7589018","4.5849675","5.4293456","5.2882670","4.4659081","8.0407690","6.0822189","7.2936977","1.7917595","8.3086919","8.3375879","7.0975489","7.4838067"
"TCGA-DD-A3A8-00","5.6383547","7.4512417","5.8664681","6.3952616","5.8833224","3.8286414","0.6931472","8.9419379","0.0000000","8.1920169","7.3575562","4.2484952","7.9665867","7.8663389","6.7105231","3.6109179","8.2915465","5.4380793","1.9459101","6.0088132","3.8712010","4.2341065","5.6058021","5.9322452","8.3466421","4.6249728","7.3072023","2.3978953","7.0842264","8.2503590","5.4161004","7.2492151"
"TCGA-DD-A3A6-00","4.7621739","8.4774123","5.8318825","6.1268692","5.3844951","2.3025851","0.0000000","8.4719866","1.0986123","8.0870255","7.0587582","1.0986123","8.1953337","7.3963353","7.3024964","3.2188758","7.5786569","4.2626799","3.0445224","5.3082677","4.2195077","5.0106353","5.7333413","5.4337220","8.1113280","5.2257467","6.7178047","0.6931472","5.7462032","8.1037967","5.9738096","6.7889717"
"TCGA-DD-A1EC-00","5.855072","9.073604","6.700731","6.709304","6.766192","2.890372","0.000000","9.348536","0.000000","8.877661","7.182352","5.117994","7.652546","7.921898","6.946014","6.079933","8.042056","6.333280","4.077537","5.983936","4.532599","5.638355","5.198497","5.420535","7.878155","6.306275","7.525640","1.386294","8.593599","8.124447","7.280008","7.239215"
"TCGA-DD-A11C-00","4.9698133","8.0737146","5.5909870","5.7235851","5.7557422","3.3672958","0.0000000","8.2872768","0.6931472","7.7186855","6.4199949","3.5553481","7.0859015","7.0707241","6.1506028","4.7273878","7.4389716","5.4116461","3.0910425","5.2257467","3.7612001","5.0039463","4.9344739","4.6913479","7.3727464","5.0689042","6.6618547","1.6094379","7.6843241","7.3683397","5.5529596","6.6515719"
"TCGA-FV-A23B-00","6.2747620","9.1645058","6.8167359","6.8793558","6.9353704","3.8501476","0.6931472","9.3900753","1.7917595","9.4011260","7.5786569","6.6541525","8.2776662","8.3387840","7.3251490","6.3935908","8.1878554","6.5638555","4.5432948","6.1923625","5.0689042","5.8377304","5.5053315","5.9188939","8.2005628","5.7960578","7.8450244","2.9957323","8.4926956","8.4663209","7.1553963","7.5973963"
"TCGA-BC-A110-00","5.730100","9.009936","7.177019","7.371489","6.597146","3.295837","0.000000","9.134215","0.000000","8.722743","7.317212","3.931826","7.838738","8.344505","7.256297","4.564348","8.151045","5.627621","3.931826","5.910797","4.663439","5.283204","4.262680","4.615121","8.055158","5.638355","7.141245","3.044522","7.800982","8.390949","6.889591","7.571988"
"TCGA-FV-A3I1-00","5.676754","9.070043","6.463029","6.466145","6.510258","3.044522","0.000000","9.200189","1.098612","7.134094","7.117206","3.583519","7.771067","7.613325","6.622736","5.902633","8.132413","6.148468","3.988984","5.958425","4.595120","5.231109","5.117994","6.102559","7.802209","5.209486","7.354362","2.772589","8.050065","8.252185","6.501290","7.109879"
