"","from","to"
"1","TKT","TALDO1"
"2","ACADS","ECHS1"
"3","EHHADH","ACAT1"
"4","ALDH2","ADH1A"
"5","ALDH1B1","ADH1A"
"6","UGT2B15","ADH1A"
"7","ATIC","ATIC"
"8","PAPSS2","PAPSS2"
"9","CYP1A2","NAT2"
"10","NAT2","CYP2A6"
"11","NAT2","CYP2A7"
"12","CAD","CAD"
"13","DTYMK","TYMS"
"14","ASS1","ASL"
"15","PSPH","SHMT1"
"16","SHMT1","AGXT2"
"17","ACAA2","PCCA"
"18","ACAA1","PCCA"
"19","ALDH2","AOC1"
"20","ALDH1B1","AOC1"
"21","FTCD","AMDHD1"
"22","CNDP1","CNDP1"
"23","SRM","SMS"
"24","UGP2","UGDH"
"25","UGT2B15","UGDH"
"26","UGDH","UXS1"
"27","PEMT","PEMT"
"28","CYP1A2","CYP2C19"
"29","HAO2","CAT"
"30","SHMT1","MTHFD1"
"31","FTCD","MTHFD1"
"32","PTS","PTS"
"33","GPHN","GPHN"
"34","ADH1A","CYP26A1"
"35","CYP1A2","CYP26A1"
"36","CYP2A7","CYP26A1"
"37","CYP2C8","CYP26A1"
"38","CYP2C9","CYP26A1"
"39","RETSAT","CYP26A1"
"40","FDPS","FDPS"
"41","ADH1A","GSTA1"
"42","ADH1A","GSTA4"
"43","ADH1A","GSTP1"
"44","ADH1A","MGST1"
"45","ADH1A","GSTO1"
"46","GAB1","SHC3"
"47","SOS1","SHC3"
"48","GRB2","SHC3"
"49","GAB1","SHC1"
"50","MTOR","PRKCA"
"51","MTOR","PRKCB"
"52","MTOR","PRKCG"
"53","ARAF","HRAS"
"54","ARAF","KRAS"
"55","ARAF","NRAS"
"56","MTOR","IGF1"
"57","SHC2","EGFR"
"58","HGF","EGFR"
"59","PDGFD","EGFR"
"60","MTOR","PIK3CA"
"61","RAF1","PIK3CA"
"62","MTOR","PIK3CB"
"63","RAF1","PIK3CB"
"64","MTOR","PIK3CD"
"65","RAF1","PIK3CD"
"66","HRAS","PIK3CD"
"67","MTOR","PIK3R1"
"68","MTOR","PIK3R2"
"69","RAF1","PIK3R2"
"70","MTOR","PIK3R3"
"71","PCYT1A","MAPK10"
"72","PNP","TP53"
"73","PIP4K2B","TP53"
"74","AKT1","TP53"
"75","HRAS","TP53"
"76","TP53","TP53"
"77","TP53","CDKN2A"
"78","AKT3","CDKN1A"
