"","from","to"
"1","TKT","TALDO1"
"2","ACADS","ECHS1"
"3","EHHADH","ACAT1"
"4","ALDH2","ADH1A"
"5","ALDH1B1","ADH1A"
"6","UGT2B15","ADH1A"
"7","ATIC","ATIC"
"8","PAPSS2","PAPSS2"
"9","CYP1A2","NAT2"
"10","NAT2","CYP2A6"
"11","NAT2","CYP2A7"
"12","CAD","CAD"
"13","DTYMK","TYMS"
"14","ASS1","ASL"
"15","PSPH","SHMT1"
"16","SHMT1","AGXT2"
"17","ACAA2","PCCA"
"18","ACAA1","PCCA"
"19","ALDH2","AOC1"
"20","ALDH1B1","AOC1"
"21","ATIC","FTCD"
"22","SHMT1","FTCD"
"23","FTCD","AMDHD1"
"24","CNDP1","CNDP1"
"25","SRM","SMS"
"26","UGP2","UGDH"
"27","UGT2B15","UGDH"
"28","UGDH","UXS1"
"29","PEMT","PEMT"
"30","CYP1A2","CYP2C8"
"31","CYP1A2","CYP2C9"
"32","CYP2A6","CYP2C9"
"33","HAO2","CAT"
"34","SHMT1","MTHFD1"
"35","FTCD","MTHFD1"
"36","FTCD","MTHFD1L"
"37","PTS","PTS"
"38","GPHN","GPHN"
"39","ADH1A","CYP26A1"
"40","CYP1A2","CYP26A1"
"41","CYP2A6","CYP26A1"
"42","CYP2A7","CYP26A1"
"43","CYP2C8","CYP26A1"
"44","CYP2C9","CYP26A1"
"45","RETSAT","CYP26A1"
"46","CYP2A6","CYP2B6"
"47","EPHX2","CYP2B6"
"48","CYP26A1","CYP2B6"
"49","FDPS","FDPS"
"50","ADH1A","GSTA1"
"51","ADH1A","GSTA4"
"52","ADH1A","GSTM2"
"53","ADH1A","GSTP1"
"54","ADH1A","GSTT2"
"55","ADH1A","MGST1"
"56","ADH1A","MGST3"
"57","ADH1A","GSTT2B"
"58","ADH1A","GSTO1"
"59","GAB1","SOS1"
"60","GAB1","SHC4"
"61","SOS1","SHC4"
"62","GRB2","SHC4"
"63","GAB1","SHC3"
"64","SOS1","SHC3"
"65","GRB2","SHC3"
"66","GAB1","SHC1"
"67","MTOR","PRKCA"
"68","MTOR","PRKCB"
"69","MTOR","PRKCG"
"70","PRKCA","ARAF"
"71","PRKCG","ARAF"
"72","MAP2K1","ARAF"
"73","PRKCA","RAF1"
"74","PRKCG","RAF1"
"75","SOS1","HRAS"
"76","PRKCA","HRAS"
