"","gene1","gene2","weight"
"1","AATF","BAX","-0.291104368310692"
"2","AATF","LDOC1","-0.0374285178029566"
"3","AATF","POLR2J","0.478522593994903"
"4","AATF","TSG101","-0.4511798586575"
"5","ABL2","BTF3","-0.542973929415018"
"6","AOC1","INMT","0.217563556332313"
"7","ACAA1","PCCA","0.270871054136115"
"8","ACAA2","PCCA","0.702876480885185"
"9","ACAT1","AACS","-0.212243885308663"
"10","ACAT1","CTCF","0.233391485014419"
"11","ACAT1","HMGCS2","0.375254071028427"
"12","ACAT1","MYC","0.472655442839486"
"13","ACTB","AHNAK","0.172309219433794"
"14","ACTB","ARHGAP10","-0.504005391741431"
"15","ACTB","ARPC1A","-0.35533699848249"
"16","ACTB","CTNNA1","0.230532506207587"
"17","ACTB","EGR3","0.268130978495772"
"18","ACTB","ACTR3C","0.105330182739433"
"19","ACTB","ITGA2","0.32495384659462"
"20","ACTB","ITGA6","0.00730154994161618"
"21","ACTB","ITGA9","0.279038746924522"
"22","ACTB","ITGB8","-0.474471743114953"
"23","ACTB","MYO1B","-0.591357472242846"
"24","ACTB","MYO5A","0.334351245796929"
"25","ACTB","SMARCA4","0.0243150161741424"
"26","ACTB","STK3","-0.148493041851341"
"27","ACTB","WAS","0.589369161999662"
"28","ACTB","WASF1","0.564876622036394"
"29","ACTB","WASF2","-0.121524463910804"
"30","ACTG1","CTNNA1","-0.3005012932707"
"31","ACTG1","EGR3","0.0670801479289158"
"32","ACTG1","NR3C2","-0.0787037380848314"
"33","ACTG1","STK3","0.083038922937589"
"34","ACTL6A","TRRAP","0.155299080880038"
"35","ACTL6B","EGR3","-0.0684610135962215"
"36","ACTL6B","NFYC","-0.126220968029766"
"37","ADH1A","CYP26A1","0.155722859694972"
"38","ADH1A","GSTA1","0.420102932923474"
"39","ADH1A","GSTA2","0.0665505380496138"
"40","ADH1A","GSTA3","-0.0302418988477639"
"41","ADH1A","GSTA4","0.0639307148726147"
"42","ADH1A","GSTA5","0.227492092179936"
"43","ADH1A","GSTM1","0.059303080188287"
"44","ADH1A","GSTM2","0.102468170828515"
"45","ADH1A","GSTM3","0.440395567410961"
"46","ADH1A","GSTM4","0.294662467099234"
"47","ADH1A","GSTM5","0.116210621066815"
"48","ADH1A","GSTO1","0.654585520709346"
"49","ADH1A","GSTO2","0.490988706571736"
"50","ADH1A","GSTP1","-0.0456266702744101"
"51","ADH1A","GSTT2","-0.399767055230571"
"52","ADH1A","GSTT2B","-0.399767055230571"
"53","ADH1A","MGST1","0.061357372978182"
"54","ADH1A","MGST2","0.450742849385888"
"55","ADH1A","MGST3","-0.512711411696607"
"57","AGTR1","SND1","-0.0925380304800477"
"58","AGTR1","ETV4","0.119161998924647"
"59","AGTR1","SERPINE1","0.00658355414064161"
"60","AGXT2","ABAT","0.104884077246679"
"61","AIRE","AIRE","1"
"62","AKT1","BAD","-0.0666043806606314"
"63","AKT1","BCL2L1","0.199617206263115"
"64","AKT1","BRCA1","0.190553015607652"
"65","AKT1","CDKN1A","-0.0120594114078042"
"66","AKT1","EGR1","-0.322608022927209"
"67","AKT1","ESR1","0.301635412086333"
"68","AKT1","EZH2","0.00211870826226382"
"69","AKT1","GSK3B","0.694686955959464"
