"","gene1","gene2","weight"
"1","AATF","BAX","0.0697394195951711"
"2","AATF","LDOC1","-0.542670936941703"
"3","AATF","POLR2J","0.427596808452724"
"4","AATF","TSG101","0.154494736583987"
"5","ABL2","BTF3","-0.329228711954847"
"6","AOC1","INMT","-0.282665472652683"
"7","ACAA1","PCCA","0.506713055833979"
"8","ACAA2","PCCA","0.679072043169893"
"9","ACAT1","AACS","-0.770875575952158"
"10","ACAT1","HMGCS2","0.562272843050825"
"11","ACTB","AHNAK","0.276218559712539"
"12","ACTB","ARHGAP10","-0.160827539692023"
"13","ACTB","CTNNA1","0.512353734859764"
"14","ACTB","EGR3","0.0672920549693655"
"15","ACTB","ACTR3C","-0.255637701414235"
"16","ACTB","ITGA2","0.431552203966185"
"17","ACTB","ITGA6","0.182619497869991"
"18","ACTB","ITGA9","0.186569109764934"
"19","ACTB","ITGB8","0.319469209356669"
"20","ACTB","MYO1B","-0.318093969590729"
"21","ACTB","MYO5A","0.558337661980004"
"22","ACTB","SMARCA4","0.56825054501803"
"23","ACTB","STK3","0.218349902623195"
"24","ACTB","WAS","0.142921311899679"
"25","ACTB","WASF1","-0.331530870358067"
"26","ACTG1","CTNNA1","0.461046537073333"
"27","ACTG1","EGR3","-0.117142603132279"
"28","ACTG1","NR3C2","-0.372449248221331"
"29","ACTG1","STK3","0.233034151922057"
"30","ACTL6A","TRRAP","0.360359786827455"
"31","ACTL6B","NFYC","0.010033718693029"
"32","ADH1A","CYP26A1","0.50484477308096"
"33","ADH1A","GSTA1","0.868704862492474"
"34","ADH1A","GSTA2","0.738048301198643"
"35","ADH1A","GSTA3","-0.11175778974646"
"36","ADH1A","GSTA4","-0.107617089503134"
"37","ADH1A","GSTA5","0.842044283519953"
"38","ADH1A","GSTM1","0.445118274539211"
"39","ADH1A","GSTM2","0.508682332999845"
"40","ADH1A","GSTM3","0.000949451628071348"
"41","ADH1A","GSTM4","0.493240170648458"
"42","ADH1A","GSTM5","0.332296338647871"
"43","ADH1A","GSTO1","0.23767516710678"
"44","ADH1A","GSTO2","0.325056066590376"
"45","ADH1A","GSTP1","-0.632926946905219"
"46","ADH1A","GSTT2","0.0599884803838721"
"47","ADH1A","GSTT2B","0.0599884803838721"
"48","ADH1A","MGST1","-0.482593653914647"
"49","ADH1A","MGST2","0.295704021797088"
"50","ADH1A","MGST3","-0.473179784522268"
"52","AGTR1","SND1","0.193038240623456"
"53","AGTR1","ETV4","-0.17002066129561"
"54","AGTR1","SERPINE1","-0.0370944660092692"
"55","AGXT2","ABAT","0.635271394688741"
"56","AIRE","AIRE","1"
"57","AKT1","BAD","0.140059837411796"
"58","AKT1","ESR1","0.494354084268678"
"59","AKT1","GSK3B","0.2183882598854"
"60","AKT1","RPS6KB1","-0.0609458171096175"
"61","AKT1","SMAD2","0.148829323393958"
"62","AKT1","TP53","-0.162600233271337"
"63","AKT2","RPS6KB1","0.490732078153496"
"64","AKT3","BAD","-0.539255878315819"
"65","AKT3","C6","0.552783262800597"
"66","AKT3","C7","-0.264195191671371"
"67","AKT3","C8A","0.363364652607314"
"68","AKT3","C8B","0.332139902550058"
"69","AKT3","C9","0.3516209127624"
"70","AKT3","CDKN1A","0.128353219781628"
"71","AKT3","GSK3B","-0.0238599438961511"
"72","AKT3","PPP2R5A","0.313133695263502"
"73","AKT3","HSP90AA1","-0.175753729539352"
"74","AKT3","HSP90AB1","-0.312527566852461"
"75","AKT3","PPP2CB","-0.372832717446098"
"76","AKT3","PTK2","-0.0939040360014933"
"77","AKT3","RHOB","0.567136845142678"
"78","AKT3","THEM4","-0.0260973301169031"
"79","AKT3","TSC2","0.636048685360043"
"80","ALDH1B1","AOC1","0.222462456979795"
"81","ALDH1B1","ACYP1","-0.356255732221887"
"82","ALDH1B1","ADH1A","0.79090298089598"
"83","ALDH2","AOC1","0.0670311028658463"
"84","ALDH2","ACYP1","-0.411106352140746"
"85","ALDH2","ADH1A","0.698813021856235"
"86","ALDH2","ADH1B","0.807855644983551"
"87","ALDH2","ADH1C","0.765095536980639"
"88","ALDH2","ADH4","0.824643821538771"
"89","ALDH2","AKR1B10","-0.905994547279699"
"90","ALDH2","BBOX1","0.733117350467706"
"91","ALDH6A1","ABAT","0.740303072091952"
"92","ALDH6A1","NFYC","0.535557366279952"
"93","ALDOB","FBP1","0.193544472462516"
"95","AMDHD1","E2F2","0.0883722282060263"
"96","AMDHD1","UROC1","0.159986916544186"
"97","ANAPC11","PTTG1","0.291018990756801"
"98","ANAPC5","FOSB","0.29457247388355"
"99","ANAPC5","PTTG1","0.10756663945279"
"100","ANAPC7","PTTG1","0.405009266446448"
"101","ANKZF1","AURKB","-0.0771787118301125"
"102","ANKZF1","CA2","0.483035741636596"
"103","APC","APC","1"
"104","APC2","AXIN2","0.12885802983318"
"105","CENPS","FANCI","-0.131567060487118"
"106","ARF1","NPM1","-0.050854922630779"
"107","ARF1","MDM4","-0.359148946688555"
"108","ARF1","WBP11","-0.0476493360982332"
"109","ARID1A","SMARCA4","-0.798752098056264"
"110","ARID1B","ARID1B","1"
"111","ARID4B","SAP130","0.0645156225773374"
"112","ASL","ADSL","-0.302789032788174"
"113","ASS1","ADSS1","0.624683709693253"
"114","ASS1","ASL","0.086082114563647"
"115","ATF2","ATF2","1"
"116","ATF5","ADK","0.00256160244100912"
"117","ATF5","ADRA1B","-0.266414587716178"
"118","ATF5","CIRBP-AS1","0.061630773192121"
"119","ATF5","SND1","0.12305547311068"
"120","ATF5","CDKL5","-0.46903180855717"
"121","ATF5","CENPE","-0.181807922205228"
"122","ATF5","CEP55","-0.1749721361248"
"123","ATF5","NPM1","-0.514716319124766"
"124","ATF5","COPA","0.156783481592304"
"125","ATF5","DNAJC7","0.178781319137959"
"126","ATF5","DNAJC9","-0.682990272468299"
"127","ATF5","ENOPH1","-0.232949954971062"
"128","ATF5","FBXO4","0.064449748348031"
"129","ATF5","FGF13","0.0614657501619985"
"130","ATF5","GGNBP2","-0.111611849082445"
"131","ATF5","HHIP","0.142138760251643"
"132","ATF5","HNRNPU","0.0199146591119286"
"133","ATF5","HNRNPA2B1","0.100831985739003"
"134","ATF5","NUDT3","0.00156892869040502"
"135","ATF5","IGF2BP2","0.0531746762794986"
"136","ATF5","JDP2","-0.270335794008656"
"137","ATF5","KCNN2","0.0296718129444886"
"138","ATF5","KLF13","-0.229559540327276"
"139","ATF5","KLHL12","-0.20058632545743"
"140","ATF5","KRTCAP2","-0.443593110519046"
"141","ATF5","LIG3","-0.15798518108319"
"142","ATF5","LOX","0.236578100872284"
"143","ATF5","LPP","0.319530805520874"
"144","ATF5","MCAM","-0.218910436473278"
"145","ATF5","KAT7","-0.259550249015152"
"146","ATF5","NEDD1","0.372993790352234"
"147","ATF5","ONECUT2","0.178314401843935"
"148","ATF5","PCDH9","-0.397536055102546"
"149","ATF5","PEX5","0.737809261722305"
"150","ATF5","PFDN6","-0.0356232227518132"
"151","ATF5","PHACTR3","0.397755255243598"
"152","ATF5","RAD51C","-0.494353183296578"
"153","ATF5","RNF44","-0.228384001551158"
"154","ATF5","RPS27","-0.296469413817545"
"155","ATF5","SAFB2","0.203146431255471"
"156","ATF5","SLC5A7","-0.123810643737964"
"157","ATF5","STAMBP","-0.315464619143888"
"158","ATF5","TAF2","-0.186368029840317"
"159","ATF5","TAPT1","0.0333540273684417"
"160","ATF5","TSPYL1","0.0663592819751468"
"161","ATF5","UCK2","-0.23540848856911"
"162","ATF5","ZNF711","0.769028874852112"
"163","ATF5","ZNF746","0.460877831719179"
"164","ATF5","ZWILCH","-0.551697671674001"
"167","ATIC","ATIC","1"
"168","ATP6V1F","EGR3","-0.17539639775234"
"170","B4GALT3","ATF5","-0.306537046116111"
"171","B4GALT3","MYC","0.229027685811168"
"172","B4GALT3","ST3GAL3","-0.25049915554854"
"173","TGFB1","ASH1L","0.00724561612170814"
"174","TGFB1","DCN","0.349319522004197"
"175","TGFB1","FOSB","-0.377065167015738"
"176","BAD","MAPK3","0.0698653387321042"
"178","BARD1","BARD1","1"
"179","BARD1","MSH2","0.05212806975126"
"180","BARD1","XRCC6","0.415083520553447"
"181","BCL2L1","BAX","-0.0668042873438213"
"182","BDP1","POLR3F","-0.594548620290456"
"183","BHLHE40","BAX","-0.347317752155185"
"184","BHLHE40","BHLHE40","1"
"185","BHLHE40","STMN1","0.0979654991115513"
"186","BHLHE40","CUTA","0.431448972450844"
"187","BHLHE40","FAM168B","-0.192998117351406"
"188","BHLHE40","MEPCE","0.0632241888221221"
"189","BHMT","DMGDH","0.649965426593328"
"190","BMP5","BMPR1A","0.449607665353637"
"191","BMP8A","BMPR1A","0.418884262669119"
"192","BRCA1","BRCA1","1"
"193","BRCA2","BUB1B","-0.130288079432343"
"194","BRCA2","CCNE1","-0.0913385070801807"
"195","BRCA2","FANCG","0.0114608165245458"
"196","BRCA2","SEM1","-0.0662546702633276"
"197","BRCA2","PSMD3","-0.281842334049029"
"198","BRCA2","RPA1","-0.524600261221017"
"199","BRD7","PAFAH1B3","-0.582593872856467"
"200","BRD7","PTPN13","0.0338432703801809"
"201","BRD7","RPLP1","-0.509494322311293"
"202","BRD8","TRRAP","0.766582578955808"
"203","URI1","URI1","1"
"204","CAD","CAD","1"
"205","CAMK1","EGR3","0.230785603527332"
"207","CAMK2B","EGR3","-0.504161082397268"
"209","CAT","NFE2L2","-0.325544237575142"
"210","CAT","NFYC","0.465235172404451"
"211","CBX3","CBX3","1"
"212","CCNA2","E2F3","0.738361509689737"
"213","CCNA2","ETS2","-0.159946608988252"
"214","CCNA2","PTMA","-0.0998949190750219"
"215","CCNB1","FOXM1","0.746946033284387"
"216","CCNB1","PTMA","-0.196754888638185"
"217","CCNB1","PTTG1","0.643618143937783"
"218","CCNB2","ANAPC11","0.0651908133449651"
"219","CCNB2","ANAPC7","0.578144343598818"
"220","CCND1","NPM1","0.125454322505978"
"221","CCND1","E2F8","0.301795258063175"
"222","CCND1","EZH2","0.818636702977381"
"223","CCND1","NELFCD","0.540725020907129"
"224","CCNE1","EGR3","0.160174942321315"
"225","CCNE1","EZH2","0.054869981764041"
"226","CCNE1","SMARCA4","-0.169125680569014"
"227","CCNE1","TCF19","-0.449912103962504"
"229","CD14","TLR4","-0.187246882472783"
"230","CDK1","NPM1","0.328041939899065"
"231","CDK1","FOXM1","0.752404974147095"
"232","CDK1","HMGA1","-0.178213616477517"
"233","CDK1","MDM4","-0.466052640971181"
"234","CDK1","PTMA","-0.164153695331854"
"235","CDK1","PTTG1","0.818084715612072"
"236","CDC20","FBXO5","0.561924293162567"
"237","CDC20","NFYC","-0.470412113142652"
"238","CDC20","PTTG1","0.771348574443052"
"239","CDC23","NFYC","-0.278381223083759"
"240","CDC23","PTTG1","0.242938536788903"
"241","CDC25B","FOXM1","0.439902996006919"
"242","CDC25C","PPP1CC","-0.41605981164852"
