"","from","to"
"1","TKT","TALDO1"
"2","ACADS","ECHS1"
"3","EHHADH","ECHS1"
"4","EHHADH","ACAT1"
"5","ALDH2","ADH1A"
"6","ALDH1B1","ADH1A"
"7","UGT2B15","ADH1A"
"8","ATIC","ATIC"
"9","PAPSS2","PAPSS2"
"10","CYP1A2","NAT2"
"11","NAT2","CYP2A6"
"12","NAT2","CYP2A7"
"13","CAD","CAD"
"14","DTYMK","TYMS"
"15","ASS1","ASL"
"16","PSPH","SHMT1"
"17","SHMT1","AGXT2"
"18","ACAA2","PCCA"
"19","ACAA1","PCCA"
"20","ALDH2","AOC1"
"21","ALDH1B1","AOC1"
"22","ATIC","FTCD"
"23","SHMT1","FTCD"
"24","FTCD","AMDHD1"
"25","CNDP1","CNDP1"
"26","SRM","SMS"
"27","UGP2","UGDH"
"28","UGT2B15","UGDH"
"29","UGDH","UXS1"
"30","PEMT","PEMT"
"31","CYP1A2","CYP2C19"
"32","CYP1A2","CYP2C8"
"33","CYP1A2","CYP2C9"
"34","CYP2A6","CYP2C9"
"35","HAO2","CAT"
"36","SHMT1","MTHFD1"
"37","FTCD","MTHFD1"
"38","FTCD","MTHFD1L"
"39","PTS","PTS"
"40","GPHN","GPHN"
"41","ADH1A","CYP26A1"
"42","CYP1A2","CYP26A1"
"43","CYP2A6","CYP26A1"
"44","CYP2A7","CYP26A1"
"45","CYP2C8","CYP26A1"
"46","CYP2C9","CYP26A1"
"47","RETSAT","CYP26A1"
"48","CYP2A6","CYP2B6"
"49","EPHX2","CYP2B6"
"50","CYP26A1","CYP2B6"
"51","FDPS","FDPS"
"52","ADH1A","GSTA1"
"53","ADH1A","GSTA4"
"54","ADH1A","GSTP1"
"55","ADH1A","MGST1"
"56","ADH1A","MGST3"
"57","ADH1A","GSTO1"
"58","GAB1","SOS1"
"59","GAB1","SHC4"
"60","SOS1","SHC4"
"61","GRB2","SHC4"
"62","GAB1","SHC3"
"63","SOS1","SHC3"
"64","GRB2","SHC3"
"65","MTOR","PRKCA"
"66","MTOR","PRKCB"
"67","MTOR","PRKCG"
"68","MTOR","AKT3"
"69","MTOR","AKT1"
"70","PRKCA","ARAF"
"71","PRKCG","ARAF"
"72","MAP2K1","ARAF"
"73","PRKCA","RAF1"
"74","PRKCG","RAF1"
"75","PRKCA","HRAS"
"76","PRKCG","HRAS"
