ATF5,SAFB2
ATF5,SLC5A7
ATF5,SND1
ATF5,TAF2
ATF5,TAPT1
ATF5,TSPYL1
ATF5,UCK2
ATF5,ZBTB33
ATF5,ZNF711
ATF5,ZNF746
ATF5,ZWILCH
ATIC,ADSS1
ATP6V1F,EGR1
ATP6V1F,EGR3
B4GALT3,ATF2
B4GALT3,ATF5
B4GALT3,EGR1
B4GALT3,MYC
BARD1,BRCA1
BARD1,BRD7
BARD1,FEZ1
BARD1,KAT7
BARD1,MDC1
BARD1,MSH2
BARD1,POU2F1
BARD1,TCERG1
BARD1,ZHX1
BCL2L1,FOS
BCL2L1,MAPK10
BCL2L1,MYC
BCL2L1,NR1I2
BCL2L1,POU2F1
BCL2L1,SMAD3
BCL2L1,TP53
BDP1,POLR3F
BHLHE40,ABCF1
BHLHE40,KDM6B
BHLHE40,MIEN1
BHLHE40,S100PBP
BHLHE40,SAE1
BHLHE40,U2SURP
BHMT,DMGDH
BMP5,BMPR1A
BMP5,POU2F1
BMP8A,BMPR1A
BRAF,E2F1
BRAF,EGR1
BRAF,FOS
BRAF,FOSB
BRAF,KRAS
BRAF,NRAS
BRCA1,ACACA
BRCA1,AURKA
BRCA1,BAP1
BRCA1,DDB2
BRCA1,EGR1
BRCA1,ETV4
BRCA1,EZH2
BRCA1,HMGA1
BRCA1,KPNA2
BRCA1,MNAT1
BRCA1,NFYA
BRCA1,POU2F1
BRCA1,RBBP7
BRCA1,RFC1
BRCA1,SMC1A
BRCA1,TOP2A
BRCA1,TRRAP
BRCA1,TUBG1
BRCA2,BRCA1
BRCA2,BUB1B
BRCA2,CCNA2
BRCA2,CCNE1
BRCA2,CDK1
BRCA2,ESR1
BRCA2,FANCD2
BRCA2,FANCG
BRCA2,MYC
BRCA2,PLK1
BRCA2,PSMD3
BRCA2,RPA1
BRCA2,SEM1
BRCA2,SMAD3
BRD7,BHLHE40
BRD7,PAFAH1B3
BRD7,PTPN13
BRD7,RPLP1
BRD8,TRRAP
BTF3,POU2F1
C8A,POU2F1
CAD,HDAC2
CAMK1,EGR2
CAMK1,EGR3
CAMK2B,EGR1
CAMK2B,EGR3
CAT,EGR1
CAT,EGR3
CAT,NFE2L2
CAT,NFYA
CAT,NFYC
CBX3,LBR
CBX3,MKI67
CBX3,TRIM24
CCNA2,BRCA1
CCNA2,E2F1
CCNA2,ESR1
CCNA2,ETS2
CCNA2,MYC
CCNB1,BRCA1
CCNB1,E2F1
CCNB1,E2F4
CCNB1,FOXM1
CCNB1,MYC
CCNB1,NFYA
CCNB1,PTMA
CCNB1,YBX1
CCNB2,ANAPC11
CCNB2,ANAPC7
CCNB2,CDC20
CCNB2,CDC23
CCNB2,MCM2
CCNB2,NFYA
CCND1,ATF2
CCND1,BRCA1
CCND1,CDK4
CCND1,CDK6
