"","gene1","gene2","weight"
"140","ARF1","MDM4","-0.0925857665248444"
"141","ARF1","WBP11","-0.327365025011278"
"142","ARID1A","SMARCA4","0.485937735207292"
"143","ARID1B","ARID1B","1"
"144","ARID4B","SAP130","0.258796478144559"
"145","ASL","ADSL","-0.664130838138184"
"146","ASS1","ADSS1","-0.532482429014552"
"147","ASS1","ASL","0.470226596959291"
"148","ASS1","MYC","0.347417252972421"
"149","ATF2","ADK","0.153320015273292"
"150","ATF2","ADRA1B","-0.539165404952084"
"151","ATF2","APOC3","-0.112161670441429"
"152","ATF2","AQP1","-0.201766572431552"
"153","ATF2","ARID2","0.403119147821773"
"154","ATF2","ATF2","1"
"155","ATF2","BAZ1B","-0.138157069700228"
"156","ATF2","C1orf74","0.405053683582583"
"157","ATF2","STRBP","0.152904316758947"
"158","ATF2","CDKL5","-0.114411286810584"
"159","ATF2","CENPE","0.781024236952988"
"160","ATF2","CEP55","0.55883046284605"
"161","ATF2","CH25H","-0.468657205623094"
"162","ATF2","NPM1","0.0304063652101472"
"163","ATF2","COPA","0.67787224899577"
"164","ATF2","RBM12","0.224808676703619"
"165","ATF2","CPNE1","-0.0941334451660077"
"166","ATF2","DPF3","-0.402447854445025"
"167","ATF2","DSE","0.157593384079123"
"168","ATF2","DTL","0.69991292990696"
"169","ATF2","EGR1","0.255376902807236"
"170","ATF2","ENSA","0.26584149268367"
"171","ATF2","FAM50A","0.145922296005419"
"172","ATF2","FBXO4","-0.115428998381465"
"173","ATF2","FGF13","-0.39309675387959"
"174","ATF2","FOSB","0.109024632103195"
"175","ATF2","HDAC4","-0.0860721569844494"
"176","ATF2","HHIP","-0.620866947976038"
"177","ATF2","HMGA1","-0.219703651313961"
"178","ATF2","HNRNPU","-0.0384454020060154"
"179","ATF2","SLC16A2","-0.175896370016323"
"180","ATF2","IRAK1","-0.0288045654015751"
"181","ATF2","ITGB8","-0.404288801122568"
"182","ATF2","JDP2","-0.604331391441718"
"183","ATF2","KLF13","0.423595139225556"
"184","ATF2","KRTCAP2","0.577065766532559"
"185","ATF2","LIG3","0.438736115462543"
"186","ATF2","SLC25A37","-0.397784724892727"
"187","ATF2","LOX","0.0226494815171348"
"188","ATF2","LPP","0.151454349875753"
"189","ATF2","MAP3K1","-0.510696738942338"
"190","ATF2","MAP7","-0.426882439602196"
"191","ATF2","MCM10","0.509121017571276"
"192","ATF2","NUP133","0.532648276139086"
"193","ATF2","ONECUT2","0.207257907431356"
"194","ATF2","PCDH9","-0.28905208759933"
"195","ATF2","PCK1","-0.253628151328625"
"196","ATF2","PCK2","-0.0041529064420509"
"197","ATF2","PFAS","-0.199314591845394"
"198","ATF2","PLCD3","0.073009456313285"
"199","ATF2","RCC2","0.0813683423577223"
"200","ATF2","RUVBL2","0.541495242043435"
"201","ATF2","SAFB2","-0.251005661852762"
"202","ATF2","SART3","0.103187963675511"
"203","ATF2","SCAMP3","0.459537167447841"
"204","ATF2","SEC24C","-0.043365556652265"
"205","ATF2","SLC31A1","0.415683283544243"
"206","ATF2","SLC38A6","-0.520253075507426"
"207","ATF2","SMARCA2","-0.11343266263358"
"208","ATF2","STAMBP","0.593202545721002"
"209","ATF2","TBCC","0.296488920293524"
"210","ATF2","TNF","-0.270049424154656"
"211","ATF2","TSPAN7","-0.462710851467703"
"212","ATF2","TSPYL1","-0.447309379604443"
"213","ATF2","UBR5","-0.0343296091837864"
"214","ATF2","WDHD1","0.164672225014804"
"215","ATF2","SNRNP40","0.346331636895135"
"216","ATF2","XPO1","0.0481214388164101"
"217","ATF2","ZBTB33","-0.583454554999767"
"218","ATF2","ZCCHC17","0.366493668682683"
"222","ATF5","ADK","0.271978977632491"
"223","ATF5","ADRA1B","0.535574449910193"
"224","ATF5","CIRBP-AS1","0.366929232558645"
"225","ATF5","SND1","0.224233728084144"
"226","ATF5","CDKL5","-0.53829126925966"
"227","ATF5","CENPE","-0.0931761557883199"
"228","ATF5","CEP55","-0.548849282742292"
"229","ATF5","NPM1","-0.311371050828317"
"230","ATF5","COPA","-0.348833976579528"
"231","ATF5","DNAJC9","-0.607432659251315"
"232","ATF5","EGR1","-0.45880000140449"
"233","ATF5","EGR3","-0.233778382593667"
"234","ATF5","FBXO4","-0.423212930742019"
"235","ATF5","FGF13","-0.162859514885051"
"236","ATF5","FOSB","-0.150058021188393"
"237","ATF5","GGNBP2","-0.281611733153286"
"238","ATF5","HHIP","0.317037466675883"
"239","ATF5","NUDT3","0.174583665210675"
"240","ATF5","IGF2BP2","-0.384563296952571"
"241","ATF5","JDP2","0.211560077805152"
"242","ATF5","KLF13","-0.00268734016615848"
"243","ATF5","KLHL12","-0.266498479315445"
"244","ATF5","KRTCAP2","-0.47807187347374"
"245","ATF5","LIG3","-0.16578775991698"
"246","ATF5","LOX","-0.788801663053981"
"247","ATF5","LPP","-0.0970758414786096"
"248","ATF5","MCAM","-0.453799371045305"
"249","ATF5","NEDD1","0.312592381307193"
"250","ATF5","ONECUT2","-0.310330647423495"
"251","ATF5","PCDH9","0.307101636193597"
"252","ATF5","PEX5","0.148353556199651"
"253","ATF5","PFDN6","0.164179838133373"
"254","ATF5","PHACTR3","0.272948901815329"
"255","ATF5","RAD51C","-0.34582086770368"
"256","ATF5","RNF44","0.0764287584534335"
"257","ATF5","RPS27","-0.613732555590354"
"258","ATF5","SAFB2","-0.184442260440836"
"259","ATF5","SLC5A7","0.0773392849729143"
"260","ATF5","STAMBP","-0.0663364828172823"
"261","ATF5","TAF2","-0.616397505652405"
"262","ATF5","TAPT1","0.172924549022832"
"263","ATF5","TSPYL1","0.248290023724696"
"264","ATF5","UCK2","-0.567132424539199"
"265","ATF5","ZNF711","-0.152495041134557"
"266","ATF5","ZNF746","-0.237341573515835"
"267","ATF5","ZWILCH","-0.512606210613956"
"270","ATIC","ADSS1","0.0402425260386591"
"271","ATIC","ATIC","1"
"272","ATIC","FTCD","-0.329720732368689"
"273","ATP6V1F","EGR3","0.12466994657595"
"275","AXIN1","PIAS1","0.402496562654826"
"276","B4GALT3","ATF2","0.59467727042113"
"277","B4GALT3","ATF5","-0.630574913593086"
"278","B4GALT3","EGR1","0.161958209337142"
"279","B4GALT3","MYC","-0.0413324900849866"
"280","TGFB1","ASH1L","-0.157175677294109"
"281","TGFB1","DCN","0.405500635091395"
"282","TGFB1","FOSB","-0.0461830813034018"
"283","BAD","EGR1","-0.145331516767682"
"284","BAD","MAPK3","-0.242662208200219"
"286","BARD1","BARD1","1"
"287","BARD1","BRCA1","0.322141998200029"
"288","BARD1","FEZ1","-0.48247298192355"
"289","BARD1","POU2F1","0.0998432195796661"
"290","BARD1","MSH2","0.397833209501557"
"291","BARD1","KAT7","-0.481292513323486"
"292","BARD1","ZHX1","0.011216047098587"
"293","BCL2L1","BAX","0.312787054718075"
"294","BDP1","POLR3F","-0.19906216565174"
"295","BHLHE40","ABCF1","-0.316487935754837"
"296","BHLHE40","BAX","-0.491401629103093"
"297","BHLHE40","BHLHE40","1"
"298","BHLHE40","MIEN1","-0.541428294927177"
"299","BHLHE40","STMN1","-0.739165366656738"
"300","BHLHE40","CUTA","-0.180271000428664"
"301","BHLHE40","FAM168B","-0.482261383708615"
"302","BHLHE40","SAE1","-0.588799000170521"
"303","BHLHE40","U2SURP","-0.654816200096143"
"304","BHLHE40","ZHX1","-0.208985231505681"
"305","BHMT","DMGDH","0.869393991806111"
"306","BMP5","BMPR1A","0.244546344247322"
"307","BMP5","POU2F1","-0.345452906811577"
"308","BMP8A","BMPR1A","0.607741810929629"
"309","BRCA1","ACACA","0.170046068379448"
"310","BRCA1","AURKA","0.566454947567417"
"311","BRCA1","BRCA1","1"
"312","BRCA1","EGR1","-0.279978714394374"
"313","BRCA1","ETV4","0.105884713911754"
"314","BRCA1","EZH2","0.726815435925597"
"315","BRCA1","HMGA1","-0.221277222188939"
"316","BRCA1","POU2F1","0.261432108666829"
"317","BRCA1","KPNA2","0.582237397712271"
"318","BRCA1","MNAT1","-0.0612134152803581"
"319","BRCA1","RAD51","-0.434353339478546"
"320","BRCA1","RBBP7","0.319796132423552"
"321","BRCA1","RFC1","0.518947740920372"
"322","BRCA1","SMC1A","0.224982078509209"
"323","BRCA1","TOP2A","0.657077858334033"
"324","BRCA1","TUBG1","0.330577329472217"
"325","BRCA2","BRCA1","0.547249476036611"
"326","BRCA2","BUB1B","0.725321197438711"
"327","BRCA2","CCNE1","0.279715094107903"
"328","BRCA2","CDK1","0.640683242499093"
"329","BRCA2","ESR1","-0.519109286652478"
"330","BRCA2","FANCD2","0.433472747253164"
"331","BRCA2","FANCG","0.457507939393627"
"332","BRCA2","SEM1","-0.0156405083692224"
"333","BRCA2","HDAC1","-0.0566342636527991"
