"","C-1","C-2","C-3","C-4","C-5","C-6","C-7","C-8","C-9","C-10","C-11","C-12","C-13"
"POLG2",4.662583663,4.874169972,4.592940014,4.506203015,4.518982877,4.75786846,4.368793135,4.54954048,4.453052749,4.47932071,4.720249593,4.729329606,5.24237587
"POLR1D",11.11817424,11.04843435,11.14859249,11.9220994,11.41120645,11.04719063,11.25715471,11.25410576,10.89123746,11.46264286,11.24328344,11.15917915,11.19998228
"POLR2G",9.330137275,9.261718682,9.449948385,9.357308313,9.479579067,8.798335684,9.768001031,9.120374823,8.986715836,8.965480414,9.395821757,9.467751532,9.400059546
"POLR2H",9.192975376,9.623712744,9.548733425,9.30600966,9.131581969,9.357308313,9.491734552,9.5629169,9.619258644,9.567505037,9.451738646,9.432772191,9.473412804
"POLR2J",5.146941318,5.722883819,5.859082253,5.507438296,6.192785597,5.700055635,5.309120255,5.228671931,5.816598753,5.806164342,6.53751678,5.699606334,6.687818322
"POLR3F",5.985794378,5.551014908,5.027755595,5.805221717,5.281904871,5.608182646,5.583551702,4.976139327,5.486125545,4.908862211,4.937573921,5.245087649,5.590653895
"POLRMT",8.702133253,8.729049083,8.374733328,7.946196263,8.810365686,8.30837422,8.732427745,9.62744805,9.097247248,8.922878323,8.607037044,9.569465301,9.035922276
"POP5",8.057526556,7.881343477,8.208804824,7.046949073,7.437712025,7.052910668,8.048991743,8.102707524,7.650506564,7.453141672,8.126563104,7.670866388,8.083607764
"POU2F1",6.337767604,5.999083776,6.237449031,6.360407775,6.132503873,6.026597041,5.79558979,6.300813647,5.95670125,6.145049451,6.777640231,5.946385871,6.025159464
"PPFIBP1",7.579855791,7.614886657,7.784372411,8.452738291,7.607918593,8.122323285,8.057109236,8.407615793,8.34145044,8.384826485,8.199851392,7.804507054,8.219026582
"PPFIBP2",10.39632296,10.71767364,10.26356698,9.758456089,9.923598403,10.53664973,10.2542251,10.84661071,10.61041214,10.36253698,10.48810068,10.71882651,10.26448811
"PPIA",5.445773344,5.921325336,5.428956723,5.604341938,5.208385322,5.207263515,4.58457358,4.809705451,5.20604631,4.752983689,5.608370253,5.595696718,5.491303589
"PPIH",7.808976348,7.681738593,7.516845279,8.24203868,7.965779275,7.881343477,8.201899365,8.058383721,7.788375441,7.703590158,7.326827819,8.211260328,7.682460215
"PPM1D",6.861470955,6.953726411,6.976603917,6.831232035,6.662789714,6.791841378,4.87862737,7.053607981,6.059557894,6.727435162,6.528194302,7.08339441,6.840801944
"PPM1G",10.32137183,10.58501343,10.44768535,10.75485955,10.5062857,10.65148744,10.55675486,10.90277178,10.97725935,10.60006031,9.951869939,10.78655422,10.17226721
"PPOX",6.799749556,7.250003915,6.79482394,6.612921151,7.288609858,6.852276521,7.287387567,7.346489594,7.130239046,6.955008596,7.184859456,7.217668838,7.446774488
"PPP1CC",10.70265806,10.20427565,10.41265736,10.70871386,10.60310008,10.44067709,10.61923232,10.35351551,10.06140059,10.31323864,10.51876191,10.58603176,10.25604284
"PPP1R3B",6.478186977,7.209408195,6.958473632,5.891376436,6.007483024,6.059821799,5.390346127,6.896998387,5.873977577,7.113208841,7.609360151,5.524840335,6.834459535
"PPP2CB",9.881011473,9.899637984,10.08873408,10.61684904,9.921271089,10.09193899,9.77206793,9.401251402,9.470312144,9.976400601,9.753053063,9.392621207,9.553772938
"PPP2R1A",10.17573093,10.05912234,9.983959385,10.57054051,10.16380693,10.2262993,10.0558418,10.74359336,10.5389765,10.25676206,9.978661238,10.63399995,10.35542051
"PPP2R5A",9.7326062,9.04720488,9.328319153,9.009299498,9.687918386,9.671254717,9.702570318,9.686600683,9.204338267,9.560247726,9.20548056,9.665100075,9.403648616
"PPWD1",7.365254233,7.271589741,7.580538761,7.651247051,7.404630378,7.43255475,7.372803659,6.939351653,7.464858595,7.215358204,7.439126885,7.474311998,7.29041572
"PQBP1",8.099136666,8.444491603,8.158383833,8.166144504,8.187197634,8.171654401,8.562216407,8.330789984,8.349231258,8.111667222,7.913610952,8.115619517,8.416850076
"PRC1",5.56990666,6.595213407,5.639803256,6.502146223,6.83345653,5.954361975,5.894957105,6.226781422,6.075809989,5.780867485,5.581567655,7.112564428,5.623570698
"PRCP",12.40610841,12.21728884,12.02806884,12.20467566,12.11241606,12.51828912,11.89370772,12.30905425,12.00859706,12.46720994,12.10989396,12.81748548,12.34660898
"PRDM10",6.806522823,5.935264865,6.783781205,6.305238652,6.458950076,6.891478907,6.14926916,6.795773296,5.916860319,6.552939109,6.567741336,6.666091072,5.852708721
"PRDM15",4.570273574,4.516715586,4.615609682,4.557356395,4.687815939,4.526370071,4.72402006,4.572406459,4.717124059,4.718478342,4.628032916,4.523109633,4.612573603
"PRIM1",7.204559852,7.194841317,7.080508186,6.533171708,7.114827867,6.54348464,7.377177017,6.628740945,6.358467516,6.151109875,7.363874046,7.016825916,6.967691615
"PRIM2",5.793416635,5.631483942,5.740839665,5.771322213,5.653474204,5.596762825,5.897308277,5.538946662,5.655724727,5.963392356,5.875752089,5.550228779,4.986161484
"PRKAA2",4.461649174,4.82377519,4.538911057,4.705795961,4.556537733,4.591887347,4.478101134,4.60695245,4.534944342,4.527446071,4.603005692,4.514874762,4.592046497
"PRKAB1",6.851127128,7.009409156,7.088289705,7.478675913,7.26104447,7.270438547,7.138338378,7.181858174,7.610884194,7.174891032,6.882156881,7.274396882,7.377462205
"PRKAB2",8.126563104,8.184055114,8.061582156,6.421149297,8.287080623,7.458435485,8.335792607,7.41812691,6.454790322,6.524777125,7.887353967,7.837181146,8.284480001
"PRKAG1",7.472938396,7.507192193,7.431518908,7.452842092,7.284681687,7.637053435,7.704647778,7.383544828,7.478340269,7.270806919,7.33892735,7.297285552,7.585019714
"PRKAG2",8.99027569,8.98364763,9.441710581,8.411573464,8.313387518,9.20548056,8.722613455,9.311927734,8.519520661,8.913687611,9.671254717,8.611927852,8.760681141
"PRKAR2A",6.290313285,6.216663202,5.868583669,6.419957936,6.519629341,6.343341797,5.398428362,4.707754791,5.450150429,5.300269391,5.572127188,5.070188782,6.093491868
"PRKAR2B",4.567110652,4.713842648,4.582569238,4.49431706,4.536155096,4.467165972,4.453987433,4.529515285,4.718999887,4.471695645,4.521372539,4.547503832,4.63273669
"PRKCA",8.782173594,7.779796383,8.09039246,8.014518956,8.503638808,8.173664498,8.282328481,8.182076941,8.430500624,7.851892794,8.30533291,8.518254509,8.274325443
"PRKCB",8.239617506,7.819241991,8.006293001,7.681410995,7.959983728,8.876318412,7.860756029,8.122323285,7.409235425,8.3711168,7.660550633,9.225569974,7.962351926
"PRKCD",7.905491102,7.764654524,7.491626383,8.399179204,8.066188385,7.571801374,7.859548336,8.045766345,7.588161681,8.14613237,7.556364686,9.032794783,7.951113539
"PRKCG",4.489583542,4.528991074,4.813355476,4.778760361,4.755049843,4.848386899,4.546424283,4.835996941,4.7110935,4.611915074,4.628787327,4.74617439,4.626944142
"PRKD2",6.689055548,6.740879553,5.869941309,6.474200364,6.232945121,6.292328108,6.558426783,6.235255461,6.08399892,6.413303845,5.901530271,6.736127068,5.738506184
"PRKDC",8.527255352,8.430067441,8.552261175,8.525025527,8.694485589,8.664167485,9.053581398,8.890614981,8.550257867,8.603784191,8.808900062,8.745509896,8.790267667
"PRMT3",8.337581057,8.530836199,8.020705415,7.902093499,8.163532752,8.125011135,7.99440343,7.879808428,8.022620045,8.043509589,7.60429994,8.395146602,7.647196838
"PRODH2",9.888226224,10.41369053,10.23222608,8.382116268,10.61684904,9.930386833,9.812030521,10.11284531,10.60006031,9.982531038,10.87853859,9.495470916,10.86322254
"PROM1",6.763082381,6.610193789,6.699078486,9.983959385,9.379217586,6.295135401,7.914012989,6.977675848,7.317712558,6.44661199,6.817676752,6.870904372,6.592126733
"PRPF19",8.302904925,8.515640769,8.432519628,8.252105654,8.487758429,8.382116268,8.534746552,8.694060161,8.865385,8.591115536,8.435071501,8.546019767,8.653761856
"PRPF3",8.876831736,8.303725197,8.392392006,8.756297641,8.897546069,8.655519406,8.524295216,8.052924302,8.909580954,8.978979469,8.577305269,8.759712787,8.798335684
"PRPF31",8.883628879,8.952884749,8.92079056,9.004630959,9.202659423,8.768301183,9.037462732,9.077324274,9.22936951,8.812376975,9.173557468,9.015930885,9.096211535
"PRPF6",5.301417499,5.619765589,5.169382544,5.649770806,6.0805569,5.604341938,4.691649154,4.606785512,4.853752769,4.834081266,5.055436767,5.074442355,5.213735105
"PRR14L",4.467197619,4.493495614,4.735489986,4.659011053,4.495641541,4.634208363,4.554027427,4.520652731,4.664023303,4.616260245,4.621411288,4.543671646,4.726453608
"PRRC1",8.140159076,7.929906485,7.963473747,8.034212529,7.816580819,7.744279833,7.394659839,7.968806947,7.456988986,7.905491102,7.799278738,8.163532752,7.817714514
"PRRC2C",8.541889001,8.679584724,8.964485841,9.477209553,8.72163982,8.834575473,8.525540355,8.604632439,8.902797675,8.722613455,8.551522216,8.934975404,8.71804698
