"","from","to"
"209","WNT1","FZD10"
"210","WNT3","FZD10"
"211","WNT5A","FZD10"
"212","WNT7B","FZD10"
"213","WNT9A","FZD10"
"214","WNT9B","FZD10"
"215","WNT10A","FZD10"
"216","WNT3A","FZD10"
"217","WNT5A","FZD3"
"218","E2F5","FZD9"
"219","WNT4","LRP6"
"220","WNT6","LRP6"
"221","WNT7A","LRP6"
"222","WNT8A","LRP6"
"223","WNT8B","LRP6"
"224","WNT10B","LRP6"
"225","WNT5B","LRP6"
"226","FZD10","LRP5"
"227","RAC1","DVL1"
"228","LRP6","DVL1"
"229","LRP5","DVL1"
"230","RAC1","DVL2"
"231","RAC1","DVL3"
"232","MTOR","RPS6KB1"
"233","AKT3","RPS6KB1"
"234","AKT1","RPS6KB1"
"235","AKT2","RPS6KB1"
"236","PDPK1","RPS6KB1"
"237","MAPK1","RPS6KB1"
"238","MAPK3","RPS6KB1"
"239","PPP2CB","RPS6KB1"
"240","PPP2R1A","RPS6KB1"
"241","E2F2","RPS6KB1"
"242","AKT3","HSP90AA1"
"243","AKT3","HSP90AB1"
"244","PRKCA","PTK2"
"245","PRKCG","PTK2"
"246","AKT3","PTK2"
"247","EGFR","PTK2"
"248","PIK3CB","PTK2"
"249","PIK3CD","PTK2"
"250","PIK3R1","PTK2"
"251","PIK3R2","PTK2"
"252","PIK3R3","PTK2"
"253","IGF1R","PTK2"
"254","MET","PTK2"
"255","PDGFRA","PTK2"
"256","RAC1","TLR4"
"257","MYD88","TLR4"
"258","CD14","TLR4"
"259","MTOR","PRKAB1"
"260","MTOR","PRKAB2"
"261","MTOR","PRKAG1"
"262","PRKAA2","ELAVL1"
"263","PRKAG2","ELAVL1"
"264","PRKAB1","ELAVL1"
"265","PRKAB2","ELAVL1"
"266","PRKAG1","ELAVL1"
"267","FOS","FOS"
"268","SDHD","MYC"
"269","TKT","MYC"
"270","TALDO1","MYC"
"271","PNP","MYC"
"272","PDE7A","MYC"
"273","TYMS","MYC"
"274","SHMT1","MYC"
"275","PCCA","MYC"
"276","MTR","MYC"
"277","B4GALT3","MYC"
"278","UGDH","MYC"
"279","PIP4K2B","MYC"
"280","LPCAT1","MYC"
"281","MTHFD1L","MYC"
"282","RETSAT","MYC"
"283","GSTP1","MYC"
"284","MGST1","MYC"
"285","GSTO1","MYC"
"286","MAP2K1","MYC"
"287","HRAS","MYC"
"288","NRAS","MYC"
"289","BCL2L1","MYC"
"290","CDKN2A","MYC"
"291","CDKN1A","MYC"
"292","RB1","MYC"
"293","IGF1R","MYC"
"294","MAPK3","MYC"
"295","UPF2","MYC"
"296","HGS","MYC"
"297","RAN","MYC"
"298","BRCA2","MYC"
"299","FANCD2","MYC"
"300","DUSP6","MYC"
"301","GADD45B","MYC"
"302","HOMER2","MYC"
"303","RHEB","MYC"
"304","PCNA","MYC"
"305","CDC6","MYC"
"306","CCNB1","MYC"
"307","CCNA2","MYC"
"308","E2F4","MYC"
"309","E2F5","MYC"
"310","E2F2","MYC"
"311","ANAPC5","MYC"
"312","VPS45","MYC"
"313","WNT3","MYC"
"314","WNT10A","MYC"
"315","FZD9","MYC"
"316","PRKAG2","MYC"
"317","MYC","MYC"
"318","MYC","CDK6"
"319","HDAC2","CCNE1"
"320","MYC","RAD1"
"321","RAD1","RAD1"
"322","ARAF","PRKCD"
"323","PIK3CA","PRKCD"
"324","PIK3R2","PRKCD"
"325","MAPK1","PRKCD"
"326","PLCG1","PRKCD"
"327","PLCG2","PRKCD"
"328","TLE1","TLE1"
"329","WNT1","LEF1"
"330","MYC","LEF1"
"331","LEF1","LEF1"
"332","CSNK1A1L","APC2"
"333","APC","APC"
"334","CTNNB1","CTNNB1"
"335","WNT16","SFRP1"
"336","MYC","SFRP1"
"337","WNT16","SFRP5"
"338","CDKN1A","SMAD2"
"339","MAPK3","SMAD2"
