"","from","to"
"1","ACADS","ECHS1"
"2","EHHADH","ACAT1"
"3","ALDH2","ADH1A"
"4","ALDH1B1","ADH1A"
"5","UGT2B15","ADH1A"
"6","ATIC","ATIC"
"7","PAPSS2","PAPSS2"
"8","CYP1A2","NAT2"
"9","NAT2","CYP2A6"
"10","NAT2","CYP2A7"
"11","CAD","CAD"
"12","DTYMK","TYMS"
"13","ASS1","ASL"
"14","PSPH","SHMT1"
"15","SHMT1","AGXT2"
"16","ACAA2","PCCA"
"17","ACAA1","PCCA"
"18","ALDH2","AOC1"
"19","ALDH1B1","AOC1"
"20","SHMT1","FTCD"
"21","FTCD","AMDHD1"
"22","CNDP1","CNDP1"
"23","SRM","SMS"
"24","UGP2","UGDH"
"25","UGT2B15","UGDH"
"26","PEMT","PEMT"
"27","CYP1A2","CYP2C8"
"28","CYP1A2","CYP2C9"
"29","HAO2","CAT"
"30","PTS","PTS"
"31","GPHN","GPHN"
"32","ADH1A","CYP26A1"
"33","CYP1A2","CYP26A1"
"34","CYP2A7","CYP26A1"
"35","CYP2C8","CYP26A1"
"36","RETSAT","CYP26A1"
"37","FDPS","FDPS"
"38","ADH1A","GSTA1"
"39","ADH1A","GSTP1"
"40","ADH1A","GSTO1"
"41","GAB1","SOS1"
"42","GAB1","SHC3"
"43","SOS1","SHC3"
"44","GRB2","SHC3"
"45","MTOR","PRKCA"
"46","MTOR","PRKCB"
"47","MTOR","PRKCG"
"48","PRKCA","ARAF"
"49","PRKCG","ARAF"
"50","ARAF","HRAS"
"51","ARAF","KRAS"
"52","ARAF","NRAS"
"53","MTOR","IGF1"
"54","SHC2","EGFR"
"55","MAP2K1","EGFR"
"56","HGF","EGFR"
"57","PDGFD","EGFR"
"58","MTOR","PIK3CA"
"59","RAF1","PIK3CA"
"60","MTOR","PIK3CB"
"61","RAF1","PIK3CB"
"62","HRAS","PIK3CB"
"63","MTOR","PIK3CD"
"64","RAF1","PIK3CD"
"65","HRAS","PIK3CD"
"66","MTOR","PIK3R1"
"67","MTOR","PIK3R2"
"68","RAF1","PIK3R2"
"69","MTOR","PIK3R3"
"70","PCYT1A","MAPK10"
"71","TP53","TP53"
"72","AKT3","CDKN1A"
"73","CDK4","CDK4"
"74","PIK3R1","RB1"
"75","RB1","RB1"
"76","SHC2","IGF1R"
"77","IGF1","IGF1R"
"78","AKT3","BAD"
"79","AKT1","BAD"
"80","NRAS","PDPK1"
"81","PIK3CA","PDPK1"
