"","aHCC-1","aHCC-2","aHCC-3","aHCC-4","aHCC-5","aHCC-6","aHCC-7","aHCC-8","aHCC-9","aHCC-10","aHCC-11","aHCC-12"
"AXIN2",5.204387642,9.889760787,5.264372423,6.790564613,7.972322267,6.939679943,4.87928552,6.448515541,6.456829705,8.054477443,5.087350125,5.561299636
"AXL",7.369740625,7.657333108,9.746573342,7.306150863,9.703912349,7.690262203,8.500992671,9.025284452,9.127089237,9.456704279,7.004759005,8.018148706
"B3GALNT2",6.389992836,5.551812999,5.391220381,5.980993756,5.205130788,5.723134399,5.808548283,5.181277117,5.734997849,6.269702546,6.325864718,5.450150429
"B4GALT3",8.885160061,8.460318107,8.363096005,9.38569762,8.557745536,9.177991248,8.674920317,8.372896167,8.621745924,9.036458016,9.096694782,8.244016749
"BACE2",5.851770678,5.741522931,7.001852276,5.051094823,6.995183332,5.233217971,5.026267646,4.936101087,5.178959955,6.803788787,4.64356496,4.849701303
"BAD",8.275714204,8.099136666,7.452218121,7.863862748,8.538939386,8.510833024,8.830715912,7.812808138,7.964206911,8.17446766,8.757236675,8.323841937
"BAK1",5.988816789,5.385895063,5.485042681,5.641289786,5.410394303,5.81268316,6.178287913,4.996961689,5.078314857,5.844025151,4.637688223,5.882417063
"BANF1",10.87428423,11.15473132,10.21267557,11.50282981,11.12655465,12.57449507,11.25282947,10.75354074,11.14579387,11.75123487,11.20279794,11.19084662
"BAP1",7.324854771,7.723679517,7.205163709,7.742091649,6.896330792,6.829045458,6.898611304,7.098338377,7.077564342,7.202488012,7.829197506,8.102707524
"BARD1",7.700053682,6.561774058,6.710728887,7.579084476,7.459789968,8.010605769,7.726892422,6.401745563,6.326873014,8.38348234,7.825127512,7.71277636
"BAX",6.884343668,6.806522823,6.912658675,8.358351012,7.279924509,8.101904622,7.727590035,6.278245077,7.072469707,8.482669867,6.652725349,8.188830028
"BAZ1B",8.615322794,8.499966609,8.132426218,8.994945045,8.176925957,8.747872166,9.010373998,8.267305798,8.438171988,8.671594225,8.644253756,8.858877892
"BBOX1",6.785385602,5.313385351,5.103719243,5.282190557,6.319904389,5.14780117,6.625019619,9.868558966,9.151896825,6.556981651,7.964573689,4.609192544
"BCAP31",11.19411152,12.60695312,11.37636647,12.23575128,11.34674671,11.9220994,11.30264592,11.03148316,11.27967263,11.16190252,11.20416843,11.268875
"BCHE",7.473616429,9.113962906,10.40970013,8.919189155,7.44255804,8.25665755,4.812486682,9.965098474,10.52185796,6.99024072,10.76140523,9.930386833
"BCL2L1",10.61250729,11.12956435,10.35818286,10.62064315,11.16060921,10.15275626,10.52792343,10.88871118,10.71341186,12.17796084,10.06384159,10.94105256
"BCO2",4.503432683,4.921293701,5.008888621,4.43110425,4.58531333,4.409155011,4.567527536,5.121039547,5.464577809,4.913390017,4.671457834,4.450750943
"BDH2",4.625019102,4.841700068,4.605402762,4.711282765,4.888403489,5.065481895,4.640821866,4.559601713,4.821555336,4.733907922,4.751834952,4.764614973
"BDP1",4.888173036,5.018658667,5.627197731,5.931980222,4.817356897,5.153625047,5.863014109,4.92911752,5.884384916,6.350272961,5.722883819,6.426922267
"BEST1",5.499976616,5.507026303,6.141882797,5.534421965,6.2019998,4.763891093,4.795412743,5.539997104,5.116435164,5.202609389,4.831920302,5.632941066
"BHLHE40",10.98357613,10.76857448,10.79635458,9.855107554,11.08112973,11.4864658,9.495470916,12.23575128,11.19824188,11.10622404,11.23829138,10.56107612
"BHMT",12.11977528,12.75233178,12.5274452,9.750886253,11.38474166,11.63460924,12.88289199,13.05527583,12.73832134,9.241931621,12.14745612,10.86687548
"BIRC5",7.123610297,6.151373048,5.423799553,8.189726362,5.105494306,7.686966918,7.239626568,4.718154769,4.749757308,6.991194613,8.230981337,7.412125856
"BLM",5.57870888,6.008284814,5.490207742,7.207030095,4.573834356,6.287489931,7.242530186,4.850032526,4.952531475,5.667703621,7.036277044,6.412661031
"BMP5",4.486658578,4.480967618,5.259482221,5.369594824,6.626604264,4.913280219,4.747871986,4.670567675,5.654156251,4.922755268,4.505914668,4.525047575
"BMP8A",4.503064379,4.630093565,4.584284974,4.566260374,4.57343927,4.926393202,4.616285194,4.520999136,4.614777078,4.745400352,4.812148822,4.630687892
"BMPR1A",7.2648484,6.776346726,6.422597122,7.227391002,7.378211168,7.030463003,6.210351638,6.772960901,6.850518657,7.764654524,6.869710335,6.991775751
"BMPR1B",4.723158842,4.754699125,4.844335496,5.10247932,5.169499364,4.808973752,4.579458504,4.813728071,4.714143633,5.250069061,4.595212476,4.559013022
"BMX",4.777900988,4.682054593,4.871738057,4.800227065,4.958173902,4.826632043,4.804391393,4.899709957,4.847109166,4.670597857,4.754442554,4.683706721
"BOLA1",10.19512483,8.5860001,9.953214499,8.754272209,9.392621207,10.95934411,10.50829219,8.610555631,7.791406419,9.608440992,9.651106922,8.564910363
"BOP1",5.207746507,4.736566599,4.478301051,7.245523579,4.77999391,5.235184899,4.654105261,4.730781613,4.905705801,4.987585907,4.624899123,4.622920703
"BORA",6.136978896,5.742142432,5.573666671,7.141908359,5.218458009,6.165989981,5.167883546,4.619890635,5.07028096,5.334372555,5.766641732,5.393183149
"BRAF",6.999007246,7.221683039,6.953091777,6.733622139,6.39736971,6.576680999,6.864991782,6.82966633,6.535161401,7.691821616,6.470078076,6.997687587
"BRCA1",6.142613618,5.527511588,4.918578964,6.430298791,5.006652455,5.61997882,5.918829903,5.986070123,4.754201206,5.303327158,6.408036465,5.76897188
"BRCA2",4.830368285,4.51920999,4.643481599,4.613104376,4.580880833,4.582862882,4.539008705,4.475694761,4.48588814,4.577139239,4.737457682,4.57794804
"BRD7",7.912837827,7.564844714,7.690640251,8.183689479,8.181717665,7.873528784,7.73542851,7.652408244,8.330789984,7.916072952,8.393576457,7.435661111
