"","aHCC-1","aHCC-2","aHCC-3","aHCC-4","aHCC-5","aHCC-6","aHCC-7","aHCC-8","aHCC-9","aHCC-10","aHCC-11","aHCC-12"
"AHNAK",10.57176027,10.28814477,10.68475181,9.799536809,10.90277178,9.691610377,9.441069561,10.02508049,10.38987329,11.69019112,10.43854738,10.53664973
"AIDA",6.293711104,5.145360064,5.230675409,5.511255427,5.587975941,6.258126598,5.773545865,5.683704434,5.697473221,6.039926456,6.494346321,4.921854964
"AIFM2",5.958227957,6.699725837,5.891836692,6.516603703,5.732588307,5.62777753,5.91566969,5.583057507,5.371286055,6.154634716,6.121611004,6.301675216
"AIG1",8.695476142,10.27482704,8.970059376,8.144098489,9.245888862,9.559493536,9.127089237,10.04627349,10.08487693,8.223859547,9.950398724,9.605944444
"AIRE",13.00657426,13.43605545,13.43605545,12.01304545,12.21002259,11.36860454,12.3277595,12.00370031,12.57761588,13.10268542,12.22895343,12.93923195
"AKR1B10",12.40903926,8.584184763,12.3678835,9.838455007,13.33950589,11.49745602,13.17192734,10.46305779,12.39171862,9.336792925,13.56622596,11.99014642
"AKR1C3",13.39444557,13.10668896,12.7415826,13.64526552,13.18503779,13.30631135,14.5929164,12.53014771,12.8569246,12.12181271,13.60178782,13.17576502
"AKR1D1",13.94794803,14.41687396,14.38078954,13.26337964,13.36472813,12.96320433,13.65716013,13.73034972,14.02127598,13.79780687,13.81116187,14.1501375
"AKT1",10.83904859,10.70761426,10.7354771,10.40866707,10.48810068,10.69071512,11.52195652,10.7575491,10.903895,10.38765228,10.79271529,10.824755
"AKT2",4.934068892,5.291397403,4.586826543,5.676689286,5.083693961,5.026352328,5.79749091,5.553971052,5.24729638,5.10659854,5.045628739,4.697955419
"AKT3",4.787126384,4.657321959,4.934722885,4.756564469,4.713222093,5.383010349,5.112196811,4.985340428,4.921854964,4.91474585,4.734045175,4.859582638
"ALB",15.19076697,15.23776273,15.30532618,14.90643066,15.0607914,15.03238135,15.19076697,15.15586653,15.12138914,15.10558798,15.14108917,15.15586653
