"","gene1","gene2","weight"
"1","AATF","BAX","0.296685695558082"
"2","AATF","LDOC1","0.0565611679930265"
"3","AATF","POLR2J","-0.128103466575208"
"4","AATF","TSG101","-0.458149875302729"
"5","ABL2","BTF3","0.366637389929324"
"7","AOC1","INMT","0.252748447296045"
"8","ACAA1","PCCA","0.567564100803774"
"9","ACAA2","PCCA","0.738817748732723"
"10","ACAT1","AACS","-0.0409624519968845"
"11","ACAT1","HMGCS2","0.706765719143193"
"12","ACTB","AHNAK","0.560201728378871"
"13","ACTB","ARHGAP10","0.124115407084178"
"14","ACTB","CTNNA1","0.825393855083632"
"15","ACTB","ACTR3C","-0.138356486575872"
"16","ACTB","ITGA2","0.455463913916178"
"17","ACTB","ITGA6","0.456105998817456"
"18","ACTB","ITGA9","0.796344187043285"
"19","ACTB","MYO1B","-0.386757318166149"
"20","ACTB","MYO5A","0.89313939219676"
"21","ACTB","NFYC","0.0468485504045742"
"22","ACTB","STK3","0.256326054215359"
"23","ACTB","WAS","0.846895543766106"
"24","ACTB","WASF1","-0.0361944839223915"
"25","ACTG1","CTNNA1","0.703672891810393"
"26","ACTG1","EGR3","0.265196509534976"
"27","ACTG1","NR3C2","-0.216530073612587"
"28","ACTG1","STK3","0.267366158306501"
"29","ACTL6A","TRRAP","-0.0178634614165152"
"30","ACTL6B","EGR3","-0.564535042142841"
"31","ADH1A","CYP26A1","0.244245013278032"
"32","ADH1A","GSTA1","0.938059188309342"
"33","ADH1A","GSTA2","0.784252416931231"
"34","ADH1A","GSTA3","-0.361614569762357"
"35","ADH1A","GSTA4","0.293959568341241"
"36","ADH1A","GSTA5","0.897065491551208"
"37","ADH1A","GSTM1","0.0612646538113276"
"38","ADH1A","GSTM2","0.0332165593801479"
"39","ADH1A","GSTM3","-0.627768258298933"
"40","ADH1A","GSTM4","0.426801615480474"
"41","ADH1A","GSTM5","-0.748317509423006"
"42","ADH1A","GSTO1","0.378727580520661"
"43","ADH1A","GSTO2","0.0550329282132469"
"44","ADH1A","GSTP1","-0.61759775545717"
"45","ADH1A","GSTT2","0.0130869447431421"
"46","ADH1A","GSTT2B","0.0130869447431421"
"47","ADH1A","MGST1","0.251716812474299"
"48","ADH1A","MGST2","0.639148781107365"
"49","ADH1A","MGST3","-0.312520146498751"
"51","AGTR1","SND1","-0.226175929587871"
"52","AGTR1","ETV4","0.337827586056392"
"53","AGTR1","SERPINE1","0.641072151690393"
"54","AGXT2","ABAT","0.584707158152152"
"55","AIRE","AIRE","1"
"56","AKT1","BAD","-0.310738404032628"
"57","AKT1","BCL2L1","-0.0619325085891514"
"58","AKT1","ESR1","0.187766763911472"
"59","AKT1","EZH2","0.754848484086456"
"60","AKT1","RPS6KB1","0.646715984053107"
"61","AKT1","TP53","0.195873584491257"
"62","AKT2","BAD","0.347847635577495"
"63","AKT2","BCL2L1","0.056400650307709"
"64","AKT2","ESR1","0.264054113875534"
"65","AKT2","RPS6KB1","0.113278644831272"
"66","AKT3","BAD","0.316315174606375"
"67","AKT3","BCL2L1","-0.373499617832002"
"68","AKT3","C6","0.177446200257516"
"69","AKT3","C7","-0.526211884207685"
"70","AKT3","C8A","0.0296384865486175"
"71","AKT3","C8B","-0.186787693406374"
"72","AKT3","C9","0.247448910377712"
"73","AKT3","CDKN1A","-0.225757736408207"
"74","AKT3","GSK3B","0.548249033903557"
