"","HDN-1","HDN-2","HDN-3","HDN-4","HDN-5","HDN-6","HDN-7","HDN-8","HDN-9","HDN-10","HDN-11"
"ACTL6B",4.642161046,4.60615231,4.638060277,4.514856493,4.736083107,4.680308526,4.592602987,4.62799103,4.531257944,4.665657946,4.504681051
"ACTR3C",5.119926601,4.915003624,5.077621097,5.227115455,4.754201206,5.178187203,5.129200602,5.061997601,5.150598238,5.159169281,5.110588673
"ACTR6",7.76095362,8.572942167,8.196755068,7.945737456,7.392505627,7.814740765,7.779796383,7.559168959,7.475677879,7.807277268,7.546546302
"ACYP1",7.152531801,7.237968577,7.1446468,8.040290451,6.766896516,6.946525361,7.236020854,7.326506756,7.153925801,7.821101395,7.312682505
"ACYP2",8.485167206,8.136417459,8.742332917,8.22804859,8.90231401,9.222399264,8.289490236,9.030669985,8.740493669,8.364747876,8.649764719
"ADAM9",5.675175393,6.032133277,5.496568275,5.774231595,5.726400872,6.089407723,6.015028344,5.565380287,5.728325085,6.039434308,5.704712225
"ADAMTS1",7.438766937,7.466740313,6.35507013,6.224237946,5.893013869,4.898656692,5.565380287,5.781641756,9.923598403,8.60417778,6.326647751
"ADAMTS13",5.431745645,5.003288927,5.268886499,4.985947279,5.247580178,5.316057401,5.286633048,5.331950217,5.014225415,4.876629061,5.230924178
"ADAMTS5",4.695856864,5.117846409,4.9515409,4.387653951,4.807796982,4.62534633,4.625566063,4.692806912,4.480006638,4.775987577,4.728815562
"ADAMTSL2",9.907671691,7.740267098,9.680688236,8.716584401,9.299616169,9.522477305,9.897295253,9.586091321,10.20926933,8.579145445,9.352191691
"ADAMTSL3",5.348534622,5.335267861,5.575431469,4.525957366,6.049268583,6.386621463,6.127317066,5.42709027,5.415668911,5.969319246,6.1606565
"ADAR",10.87591402,10.98228931,11.1004964,11.71975143,10.87970951,10.74133466,11.05245077,10.66593065,10.45347166,10.87312872,10.69071512
"ADH1A",14.66853289,14.25111105,14.98014,13.79780687,14.90643066,14.69145717,14.62897555,14.78202348,13.79780687,13.91809264,14.82126215
"ADH1B",11.14859249,9.600065777,11.59414803,9.359073578,11.94185107,11.24160756,11.15473132,11.89601043,8.792132629,10.113602,11.50282981
"ADH1C",13.25882784,12.83862959,13.43605545,13.46716033,13.74239459,13.37896158,13.74865959,14.14098906,12.75516335,10.97011948,13.55543357
"ADH4",13.00657426,11.846383,14.09725874,8.729049083,13.45568976,13.1636676,12.94305378,13.86142442,11.36860454,11.45897433,13.48980568
"ADIPOR1",9.961129021,9.58814049,9.99444327,10.21959287,10.02908094,10.08487693,9.802859905,9.997311034,9.909226538,10.0487109,10.10552914
"ADK",10.20999619,10.30233788,10.74597314,9.303595472,10.27482704,10.43151787,10.19675378,10.22701602,9.611048679,10.02657224,10.57965443
"ADNP",6.358761722,6.969611093,6.714873743,6.835080631,6.539363651,6.73759205,6.388007993,6.622009269,5.987100486,6.430059133,6.536289754
