"","HDN-1","HDN-2","HDN-3","HDN-4","HDN-5","HDN-6","HDN-7","HDN-8","HDN-9","HDN-10","HDN-11"
"DDX20",4.880657228,5.338524526,4.608316098,4.725423195,4.737842298,4.51902976,4.618869224,4.703925657,4.682480905,4.55202417,4.652124754
"DDX39A",9.460368855,8.953916029,8.773879033,10.0558418,9.331296102,9.353290035,9.192975376,9.340413862,9.702570318,9.649814903,9.480166604
"DDX46",6.972994079,7.447844756,6.711326988,8.189281391,7.100527589,6.938754714,7.312359087,7.235716743,6.673971637,7.317138838,7.337185436
"DDX50",7.733006807,7.929127083,7.772573128,7.31877038,7.812808138,7.617716143,7.762823567,7.693163003,7.222030782,7.955386208,7.521678535
"DDX55",8.027806487,8.360919135,7.161661934,9.062963212,7.937901732,8.331250182,8.220678203,8.34145044,8.144098489,8.369961203,8.404910884
"DDX56",9.364920492,9.507408663,9.121521285,9.238644586,9.614612929,9.467132238,9.722844717,9.400059546,9.498721607,9.804974495,9.679317979
"DEFB1",13.92528273,13.57823608,13.12750112,13.42633885,9.560247726,12.28540314,12.31689058,13.13625446,14.67969991,13.01089375,11.88963386
"DEK",7.939825696,8.495854176,8.896048469,9.495470916,8.227139761,8.137271999,7.846261958,8.257918471,7.782442191,7.83451913,8.075514452
"DENND5A",9.255026619,9.352191691,8.98565994,9.519430433,8.958489001,8.828269865,9.104259352,9.167668807,9.323733715,9.734663745,9.280773223
"DENR",9.395821757,9.170854123,9.44484982,9.492382143,9.201140445,9.226656508,9.445506498,9.419104784,9.520723888,9.412453877,9.371122922
"DEPDC1B",4.895427192,5.084970146,4.73865956,5.811143234,4.85389744,4.871052313,4.506118004,4.569676349,4.797998977,4.783125716,4.628853477
"DEPDC7",8.456455436,8.568900821,8.587690628,7.147914607,8.492670318,8.527255352,8.175317266,8.923379767,7.723285976,7.674022991,8.098367265
"DESI2",8.427107436,8.354977123,7.766887677,8.470760829,8.886623735,7.696267425,7.636693998,8.142806345,7.663863917,8.111305853,8.789741288
"DFFA",7.403913256,7.972737376,7.558058124,7.893461653,7.718113076,7.798489748,7.536102755,7.406400166,7.995195382,7.272352727,7.70676679
"DGKQ",7.127282462,7.056554019,6.839235714,7.35976835,7.135293612,7.2341939,7.296287508,6.865325131,7.067377547,7.027957492,7.501369744
"DGKZ",6.72194798,9.557499591,6.876424651,9.681987794,7.840313617,6.650438045,7.201360672,8.128106464,8.18846478,6.360932185,7.235421351
"DHODH",7.743965841,7.123610297,8.221055479,6.643578147,7.364897987,8.029862171,7.911614364,8.570614294,8.770193333,8.557745536,8.589536723
"DHX16",8.467811124,8.786808154,8.39672656,8.583180719,8.897546069,8.636483313,8.697809402,8.609594649,8.610555631,9.296242261,8.788827753
"DHX30",8.648783555,8.452738291,8.505859414,8.795443478,8.941972885,8.83264127,8.726222475,8.690387781,8.76729546,8.762151183,8.379592543
"DHX35",7.253376151,7.039994121,7.056861281,7.29512676,7.302790721,7.047546218,7.001482397,6.967398321,6.759698969,7.329982898,7.296287508
"DHX57",5.036955196,5.222345506,4.820763637,5.480415597,5.198352669,4.927030504,5.489690609,4.781475806,5.115582329,5.338842164,5.019242166
"DHX9",6.35224152,6.426364832,6.60963582,6.329068521,6.43497097,6.535680798,6.519353102,7.097636879,7.087307211,6.263202865,6.525929981
"DIMT1",9.067593834,9.023846171,8.931064293,9.293492507,8.747451729,8.759712787,8.994945045,8.772515355,9.178473401,9.267595654,9.059320721
"DIRAS3",4.853317315,5.152976948,6.400252646,4.918420444,6.351947815,6.658012612,5.410720298,5.258039897,5.241208529,5.10048002,5.304049279
"DISP1",7.427262442,7.295483219,6.787758473,7.45458515,7.851892794,7.307125257,7.776405658,7.419134607,6.502716909,6.781909737,7.634831602
"DKC1",8.579145445,8.541889001,8.793050134,9.701057085,8.409784981,8.639272713,8.935406641,8.864807662,8.471196205,9.181159017,9.339799198
"DLEU2",4.939706438,5.135430091,4.752815771,5.127576381,4.674079839,4.940841017,4.595713996,5.136254572,4.926903772,4.821458956,5.047152279
"DLG5",4.580767661,4.619276472,4.894688334,4.641435831,4.492637441,4.501048836,4.460775368,4.628667066,4.680291752,4.467229207,4.537966
"DLGAP5",4.610153948,5.212040569,5.21916792,6.141638418,4.877397361,4.746218183,4.642762377,5.44513201,5.025589914,4.708239127,4.906482619
"DMGDH",10.37984224,10.35242889,10.60202294,10.24306867,10.2068253,10.26995757,9.722119763,10.22790057,7.901283944,9.067593834,10.71767364
"DNA2",6.339160569,6.476937243,5.887567995,5.932753543,6.262938028,6.404681127,6.19482625,6.206808299,6.150331055,6.54348464,6.132503873
"DNAH14",4.999114225,4.869668669,4.720682121,4.953489624,4.928374083,5.023502332,4.80339095,5.053153405,4.781580543,4.850189274,5.352604112
"DNAJC14",6.476322686,6.796647296,6.557541371,7.106273276,6.398852542,6.513633943,6.415271901,6.573898911,6.435507937,6.479025173,6.522820792
"DNAJC2",4.649005399,4.841735493,4.762505267,4.479876913,4.515857435,4.496110738,4.490627132,4.397886004,4.626679266,4.536797862,4.366985634
"DNAJC25",8.987691888,7.982404774,8.99697156,8.337581057,9.38348564,9.832915513,8.30332619,9.282981153,7.714257886,8.123856707,8.769204437
"DNAJC5",6.416170895,6.232088352,6.208426992,6.535161401,6.283055332,6.586400972,6.36686884,6.744564243,6.62690558,6.901469677,6.6293345
"DNAJC6",4.613475923,4.639809557,4.588907958,4.726968344,4.579303614,4.660091848,4.81316138,4.544660847,4.756317436,4.966636734,4.636175376
"DNAJC7",7.811646215,8.074664675,8.020705415,7.600768949,7.450336905,7.496493016,7.917149858,7.461288097,7.562729218,7.552797555,7.639618104
"DNAJC9",7.992468327,8.554948235,8.489186848,8.854061438,8.592060956,8.469466617,8.165722293,8.775325482,8.692251602,8.52295248,8.310025053
"DNALI1",7.813565957,8.397094149,8.369098448,7.418775589,9.373595719,8.986220432,8.774339069,7.812808138,8.287945242,9.677346677,8.364747876
"DNASE1L3",11.72586247,8.662810669,11.98626396,7.891393318,11.32608155,10.97011948,12.06116798,11.28136424,9.755690972,9.978661238,10.90827391
"DNM1L",7.531661353,6.51754518,7.383544828,7.543998092,7.515381243,7.306150863,7.167307706,7.890288217,7.80974325,7.33577264,7.889941795
"DNMT1",9.531473231,8.827807445,9.234303603,10.5176527,9.489209471,9.52127027,9.869263508,9.730279925,9.942680123,9.766044334,9.484668673
"DNMT3A",4.777657962,4.863937188,4.857705719,5.036644133,4.811375536,4.688677346,4.71295605,4.85888624,4.822328609,4.776916646,4.764691101
"DOCK5",6.602676275,6.235842529,5.900458362,6.007255956,6.107050952,6.022415531,6.257546184,6.501556764,6.566488954,6.699368986,6.279948695
"DONSON",6.684299928,5.957456203,7.117135385,7.889588612,6.635483029,6.797316804,6.682137879,7.229585776,6.94969694,6.621731233,6.981853423
"DPCD",6.525929981,6.379039269,6.881233321,5.661015437,6.557248274,5.948432821,6.513907895,5.952644488,7.201763759,6.789326622,6.246945783
"DPF1",4.614716445,5.42709027,4.581826581,4.866041271,4.621884741,4.622304519,4.749895119,4.6472245,4.726484332,4.882940371,4.622480273
"DPF2",8.27866989,8.743208221,8.121969519,8.393977465,8.506747847,8.332910669,8.282744395,8.261951652,8.355404174,8.282744395,8.391121737
"DPF3",4.619722256,4.839345168,4.542363013,4.973801079,4.713565619,4.75103512,4.569485209,5.310128657,4.754773097,4.675870883,4.98070657
"DPM2",7.229585776,6.682137879,7.362783825,7.72797315,7.69219489,7.889255992,7.071487828,7.401566772,7.632568089,6.752808006,7.11355209
"DPM3",9.535232876,9.857956042,9.024786484,10.49322243,9.957750866,9.872165462,10.03068256,9.350296116,9.842932921,9.836346148,10.03548531
"DPP8",7.357952513,7.146997269,7.425538144,7.236319989,7.064918854,7.01123357,6.977675848,7.32253435,7.114487209,7.422658691,7.308811212
"DPY30",9.711009443,10.2017349,9.950398724,10.24494237,9.733311964,10.01503095,9.564801289,10.13876515,9.655214089,9.676696569,9.838455007
"DR1",6.27553123,6.123365806,6.370618457,6.052317615,5.538002949,6.295695811,4.948136025,5.659750373,5.229051848,5.901530271,5.736937242
"DRG1",9.314787436,9.400059546,9.564801289,9.174553818,9.413597733,9.385150471,9.309540335,9.268142356,9.402401639,8.973187031,9.545583506
"DROSHA",7.211431791,7.511073351,7.188990864,7.890288217,7.255076394,6.822160069,7.475350703,7.209718773,7.025952536,7.470469527,7.108862536
"DSE",8.00108129,7.484997945,7.902504569,6.448515541,7.694924542,8.033463657,7.80123734,7.635153158,8.57429563,7.272648331,7.839874929
"DSN1",6.145595825,6.008063093,6.852276521,7.281633266,6.471649954,6.255285923,5.367702995,6.473384129,6.164813521,6.458342639,6.007760969
"DSTYK",7.320180289,7.026977796,6.732018712,7.673338022,6.902093778,6.810439963,7.258448102,7.01387149,6.809466752,7.577002528,6.370911342
"DTL",4.668840642,4.815507117,4.996260761,5.952398906,4.927891275,4.722155376,4.995319379,5.57588115,4.645219009,4.91152836,4.5981393
"DTX1",5.894452049,4.872721768,7.424433465,5.139377165,6.529692322,6.117809165,7.819624592,6.597766959,6.400579484,7.526481489,6.393182385
"DTYMK",7.29146335,7.773573232,7.511073351,8.594185053,7.822401313,7.995195382,7.33859382,7.766887677,7.665353976,6.343341797,7.471137525
"DUS4L",7.071487828,7.30940801,6.693663818,7.50671359,7.143121966,7.018045032,7.02624012,7.146997269,6.448841853,6.793000066,7.173592977
"DUSP1",12.50293865,13.34910697,11.71369663,12.24092068,13.53843449,13.08872561,13.34408219,12.63221037,11.29272582,12.08258272,12.62545475
"DUSP12",8.037011359,8.591115536,7.87458906,8.834141767,8.229344713,8.283139329,8.34545371,8.555840692,8.606545644,8.194707953,8.408940718
"DUSP6",8.586442905,7.659121531,8.239130141,7.455971792,7.324536799,7.351003138,7.61808066,8.704954568,7.968806947,8.972708226,8.917059517
"DUSP9",4.708484894,4.636498811,4.523651056,4.484442571,4.596429763,4.548367936,4.876337349,4.689814479,4.492384778,4.610594187,4.590690971
"DUT",6.498487675,7.653116662,6.718223022,7.605699186,6.849609055,6.462163309,6.432204211,6.907712919,6.915341159,6.123643828,6.371205099
"DVL1",5.876721133,5.804475402,5.872979176,5.519778922,5.97991088,6.001189112,6.360666592,6.206266711,5.091218154,5.209605602,5.793873295
"DVL2",6.686658435,5.886663945,6.46751249,7.288907614,6.518459633,6.307268092,6.229952592,6.123124011,6.824510149,6.414709815,6.535680798
"DVL3",7.649073327,7.828076135,7.302108319,8.001835654,7.352316652,7.36420052,7.353686563,7.615893254,7.535143725,7.728783927,7.498226679
"DYM",8.955528522,8.666982086,8.92600854,7.899431908,8.893110031,9.194047074,8.425454683,8.784169595,9.50058366,8.591115536,8.955528522
"DYNC1H1",8.750488605,8.999281827,8.932500085,9.17749263,9.013367819,8.638815216,8.546019767,8.52383474,8.949912237,9.212415612,8.742332917
"DYNC1I2",8.92600854,9.009873345,8.891572951,9.085402662,8.60417778,8.676406787,8.751937279,8.763994007,9.136162559,8.686907701,8.978979469
"DYNLL1",11.05889394,11.0136339,10.91503943,10.98636934,10.65037581,10.89369289,10.66107672,10.80884226,11.07986385,10.53112689,10.97568012
"DYRK2",7.277954009,7.751896157,6.944614841,9.343920681,8.012637419,7.225712512,8.117933437,7.748997912,7.955011259,8.447676441,7.466740313
"E2F1",4.589506848,4.880613835,4.980578682,4.834869567,4.804098611,4.747738854,4.601803779,4.666701948,4.647914548,4.627263999,4.752341594
"E2F2",4.5516517,5.232358944,5.379694444,7.139957605,5.551014908,4.646127704,4.709475904,6.046436035,5.43535463,4.538965024,5.166989969
"E2F3",7.886105531,6.87959571,7.67267453,8.369961203,7.529964625,7.731486705,7.934017933,7.311009502,7.965011467,8.534746552,7.750403747
"E2F4",8.46322566,8.319197561,8.569788724,7.469728278,8.376964266,8.670136556,8.343766405,8.150549339,8.382116268,8.539309098,8.409396079
"E2F5",6.6293345,7.232712374,6.352545648,6.47876455,6.31248282,6.763082381,5.614157537,6.635791957,6.176376731,5.941936156,6.786876538
"E2F8",4.471293419,4.583741476,4.467502196,4.728599642,4.435635859,4.514933683,4.542417325,4.521693779,4.435468109,4.393424086,4.565258621
"EARS2",7.409952056,7.112233464,7.15030342,7.11355209,6.988670017,7.74834726,7.234019601,6.779660997,6.917860521,7.170993952,7.429385845
"EBF1",4.832281856,5.93173833,4.618521557,6.120040487,5.272546878,4.816679777,5.068521222,4.777249131,5.645838507,6.960082032,4.993964725
"ECHDC2",13.76277255,13.63920062,13.3352877,13.63280846,13.34910697,14.03843718,13.56622596,13.39444557,13.18913472,14.20890499,13.86864527
"ECHS1",12.70743158,12.88289199,13.33950589,12.70743158,12.47852729,13.05527583,12.8072477,13.36472813,12.51508502,12.40903926,12.8072477
"ECT2",6.065965199,6.217222484,6.810439963,7.524738827,5.62195928,5.224989249,5.608926255,6.324113681,6.695913462,6.141882797,5.500533645
"EDIL3",4.573865269,4.417309566,4.447672075,4.507771607,4.610360115,4.380740138,4.522424192,4.564583019,4.650248427,4.486408474,4.65510642
"EDNRB",8.875884252,7.712391906,8.606050819,7.446368853,8.232955198,8.414857866,8.283139329,8.579145445,8.536458829,8.32567683,7.91564361
"EEF1D",11.21524785,11.19555984,10.94500039,11.37981809,11.37480853,11.46897802,11.41448547,10.87970951,11.56604701,10.96198171,11.80746945
"EEF1G",11.83139903,12.39439381,12.31689058,12.39439381,12.37042036,12.59979509,12.49717345,12.30905425,12.95562115,12.08745604,12.34435531
"EFCAB11",5.568267746,5.65285451,6.096256515,6.553837376,5.78839307,6.44634253,5.508199807,6.268519138,7.247285941,5.8451634,5.677540309
"EFCAB7",4.727362776,5.825576618,5.276494866,5.277476752,4.723797296,5.027369001,4.68368949,5.414841345,5.243014681,4.774581243,4.778068169
"EFNA4",7.51826403,7.746423474,7.092693846,7.477300882,7.757548381,7.787006265,7.438403674,7.742837586,7.862296081,7.91124622,8.042242294
"EFTUD2",8.91209007,9.207103683,8.872830715,9.632656366,9.036458016,8.74275648,9.501840412,9.136162559,9.366621174,10.01272095,9.650456756
"EGFR",9.19680835,9.491019983,8.429241681,8.982109911,9.527364905,9.796723562,8.701692422,9.485308604,9.013900629,9.754377825,9.779922575
"EGR1",10.25326393,9.165555841,9.90176954,8.718908612,10.29318684,8.51304993,8.27866989,11.65073589,10.29227634,9.86648342,10.88990602
"EGR3",5.685531514,5.992155618,5.52729538,5.821535542,5.990104149,5.886885254,5.633568285,5.779488462,5.316365066,5.512355743,6.116869617
"EHD3",5.079651484,4.402102247,5.469234219,4.579759976,4.643920415,4.697458338,4.496551867,5.100096942,4.648046315,4.514219574,4.669249545
"EHHADH",9.42487665,9.953955606,10.26884841,9.535871706,8.934080672,9.857956042,10.05912234,10.62490192,9.516869736,8.108792024,10.69435545
"EIF2AK1",11.48850755,11.86935139,11.30416877,11.78861852,11.55090289,11.4569285,11.22684502,11.02579147,11.65430895,11.98141798,11.69807379
"EIF2B1",8.669694652,9.125436062,9.185023337,9.859397972,8.990781685,8.64017614,8.913687611,8.889131768,9.012825621,8.723019208,9.066047628
"EIF2B4",10.11761171,9.891343784,9.937959313,10.25604284,10.12646108,9.842082944,10.16641352,9.913721616,10.18481868,10.60518366,10.50829219
"EIF2S3",10.22048375,10.27571578,9.941144564,11.29113806,10.16220967,10.48100234,10.35242889,10.23148286,10.97990096,10.29144602,10.35721809
"EIF3B",11.60354342,10.68475181,11.5177944,11.59041404,11.51209793,11.63633231,11.91100666,11.59771827,11.63633231,12.26093921,11.73174027
"EIF3D",10.38569095,10.82116823,10.46803941,10.64506245,10.61250729,10.59891882,10.9108849,10.40866707,10.88627473,10.8046883,10.75222735
"EIF3F",10.44966816,10.8046883,10.31019862,10.17822917,10.56529639,10.51337088,10.29711945,10.13059807,10.31680803,9.516869736,10.37492578
"EIF3G",10.32710956,9.766645099,10.33329351,10.02738098,10.68340747,10.86567015,11.02431169,10.31407536,10.73665252,10.25326393,10.57863256
"EIF3H",10.10552914,10.28186205,10.35151726,10.2153195,10.23961758,10.19748869,10.2338495,10.02113475,10.15614762,9.275751182,10.4157311
"EIF4A3",9.417853509,10.02028431,9.217701103,10.37224749,9.63125716,9.628712542,9.414119523,9.634658768,9.65733731,9.362875254,10.00054237
"EIF4B",11.62246764,11.45897433,11.29634348,11.97275519,11.44745934,11.55501213,11.47569489,11.05391681,10.91357855,11.43745566,11.61658006
"EIF4EBP1",4.988524395,5.842650143,5.613552116,5.619765589,5.331796412,5.412501981,4.938596731,5.336094704,5.651533076,4.765393362,4.661884826
"EIF4ENIF1",7.415569936,7.351304292,6.893331497,7.480709079,6.923152,7.417027365,7.140973005,7.258795968,7.461288097,7.481060727,7.234368199
"EIF4H",11.15018465,11.06038599,10.98909987,10.79882655,11.2703651,11.21040909,10.99054973,11.00014725,10.86188262,10.95811895,11.26603144
"EIF5B",8.268956428,8.355404174,8.545603188,8.761747341,8.252555312,8.396322154,8.366437466,8.423607157,8.3711168,8.499491709,8.511713724
"ELAVL1",5.879675242,5.299791921,5.955933546,6.689055548,6.23865048,5.851539913,6.055394468,6.444034022,5.952159874,6.64514173,6.096000842
"ELK1",8.316821847,8.065086498,8.222685346,8.61986812,8.479135132,8.493514692,8.872224985,8.702133253,8.615801116,9.191728446,8.595471987
"ELK4",5.49357244,5.793873295,5.319359276,5.060829281,5.188362518,5.575656915,5.142839434,5.770845119,5.534619856,4.848990073,5.307097928
"EMG1",8.546415293,8.304984056,8.962991628,8.030317511,9.129778905,8.659705058,8.636962682,8.362656119,8.733862379,8.405392214,8.845838979
"ENAH",5.97630285,6.489787491,5.488789833,6.748225303,5.556265604,5.638706591,5.326801154,5.311767457,5.843518949,6.292031845,5.580143042
"ENG",9.53228149,8.024243363,9.40067766,8.113609443,9.626860344,8.914168083,10.07132433,9.326535049,9.65984773,10.03798115,9.362875254
"ENO3",12.17047897,11.54388908,12.46720994,10.07788138,11.63806602,12.41886722,10.9173013,11.43745566,10.2828424,10.71341186,11.32079149
"ENOPH1",8.426262036,8.53856692,8.691255219,8.915157148,8.35954971,8.575955646,8.608303488,8.656856352,8.50453482,8.299068,8.525978378
"ENPP2",9.103142548,9.573364142,9.953955606,9.43981511,8.350877551,8.765310767,7.816201745,8.824451163,9.636780044,8.831217974,8.497264898
"ENSA",6.313885986,6.337224479,6.87959571,7.35761318,6.468401969,6.966544097,7.159861556,7.389413287,7.557388268,6.585816713,7.333065166
"EP400",7.50474179,7.940280139,7.489976673,8.372482934,7.587173607,7.687692943,7.771502525,7.627876136,7.480352755,8.461661117,7.752541317
"EPB41L4A",5.389134257,4.941684586,5.259064418,4.988058908,5.483588264,5.115582329,5.219568901,4.892542666,5.208972736,4.819971426,4.790454346
"EPCAM",7.446774488,7.726212839,8.200583357,10.16220967,5.856355872,6.633995124,6.138296608,5.201836219,9.7459563,5.848608923,5.640002838
"EPHA2",7.06391872,6.354247476,6.37405524,4.797535342,6.190356515,7.409952056,6.007760969,7.559876267,6.870904372,7.61808066,7.780170276
"EPHA3",5.762276735,4.806369957,5.782142048,4.655562384,5.270438961,5.710827234,5.266483168,5.494305778,6.151373048,4.687718281,5.476258018
"EPHX2",9.881011473,10.95300783,10.868223,10.2542251,10.71341186,10.85308972,10.92505235,10.34068522,9.669968699,9.144420905,10.68475181
"EPM2A",4.942465401,4.924421142,5.011334796,4.827898721,5.128112454,4.767447322,5.403726459,5.626778276,5.437571725,5.023086494,4.557636171
"ERCC3",7.220325003,7.35402067,7.29411756,8.271092263,8.063237985,7.393250826,7.654258596,7.650506564,7.914477872,7.978199689,7.71277636
"ERGIC3",11.23664227,11.30728357,11.24328344,11.33552359,11.56254328,11.22273838,11.36381876,11.23186978,11.33552359,11.16190252,11.10940256
"ERMP1",6.820857216,7.259187933,6.182150829,6.738581915,6.687538409,6.69090839,6.747920587,6.188088069,6.806193059,6.93199511,6.853464233
"ESR1",7.619859513,7.485372764,8.905371315,5.586718092,8.21822326,8.180116427,7.463375457,8.90087223,6.420204687,9.19680835,8.122323285
"ESRP1",4.459118082,4.428883805,4.614279805,4.421882282,4.471249706,4.383050751,4.557409511,4.460303555,4.484577322,4.386528073,4.698075523
"ETFDH",10.91503943,10.16889676,11.2212814,10.36582824,10.01410149,10.97443439,10.14869241,10.88247902,10.35242889,9.528522322,10.79882655
"ETHE1",4.978318259,5.546129198,5.768276529,5.266169208,5.64478968,5.502451078,5.686372012,5.551402622,5.358019573,5.06999752,5.275165959
"ETS2",11.11668246,10.61150995,11.27526152,10.77360701,11.03999024,11.71975143,11.3372086,12.16094008,11.31041638,11.04983669,11.90438837
"ETV4",4.756916189,5.211403047,4.561775913,4.646005108,4.508921013,4.561681318,5.38790185,4.719963807,5.230418015,4.498969335,4.533859824
"EXO1",4.73865956,5.406505825,5.124337823,7.084646829,4.916842557,4.681447298,4.75618417,5.629739164,4.620048451,4.550079086,5.009982337
"EXOC2",7.667959706,7.166672393,7.567017746,7.239626568,7.133334445,7.671567835,6.839235714,7.312682505,7.259835183,7.026617503,7.242530186
"EXOC3L1",4.56338335,4.835891756,4.807135642,4.515531627,4.735468394,4.623727482,4.82828878,4.712497843,4.659560033,4.583907366,4.693749345
"EXOC4",5.622136165,6.544447933,6.243865469,6.27498329,5.567220487,5.816118113,6.344230429,6.168686193,6.068662389,6.337466151,5.819843428
"EXOC6B",4.768429517,4.838155499,4.853598926,5.175918474,5.314795435,4.78857493,4.75926414,4.808882333,4.842718715,5.330431002,4.716349718
"EXOSC1",9.457876455,9.837124929,9.720151337,9.284039447,9.824924223,9.726205723,9.670629836,9.471497514,9.907671691,9.663043281,9.613587186
"EXOSC10",9.095091781,9.606544623,9.033703912,9.246489368,9.417853509,8.884092558,8.958489001,8.793050134,9.03997684,8.77620919,8.853115955
"EXOSC3",8.243684929,8.437145742,7.879808428,8.14737731,7.980163889,7.84698945,7.917504231,7.787332651,7.646825969,7.755465006,7.745686183
"EXOSC4",7.966987868,7.669399127,8.073162417,7.676750457,7.674341494,7.779037146,7.368406377,7.369740625,7.439452491,7.709898339,8.320295935
"EZH1",5.747953171,5.400383408,5.068427276,5.63915113,5.158498662,5.331629665,5.15026917,5.282486641,5.621514942,5.685531514,5.465115765
"EZH2",4.744766264,5.275443333,5.931980222,7.488299137,5.165373015,5.406505825,5.236264522,6.041237316,5.749834413,5.311605283,5.880641306
"F11",8.732427745,9.01893702,9.259374001,7.719618107,8.87034861,9.066047628,8.9614073,9.490441507,8.775325482,8.005936274,8.795443478
"F3",4.586077331,4.525425701,4.610386928,4.425889668,4.65776197,4.595871006,4.792538036,4.69120766,4.795737495,4.702825794,4.675523862
"F8",7.295885729,6.722273425,7.575346666,7.58572647,6.897321006,6.501208336,7.473275438,7.409648015,6.212274419,6.516912629,6.551135512
"F9",12.35773002,12.16544202,12.3603099,12.18750595,12.11761822,12.27704764,12.14305204,11.81332486,12.01759687,12.77302399,12.03757959
"FABP5",7.669399127,7.384874008,6.56895039,7.642262967,8.455007541,6.439898153,8.350436413,7.837911889,7.80123734,8.172915214,7.736182037
"FAF1",8.307885617,8.574690784,8.154151193,8.831647092,8.536869759,8.392765331,8.726620952,8.699638877,8.175317266,9.054181718,8.363096005
"FAM120AOS",7.011981321,6.176867328,7.017752189,7.051961085,6.856582466,6.978704416,6.815843937,6.906089292,6.357333797,6.281055129,6.673073854
"FAM168A",8.507673857,8.757236675,8.399634707,8.721212838,8.676406787,8.789300289,8.686907701,8.490085307,8.960486917,9.433897623,8.644716747
"FAM168B",6.679703546,6.836478594,6.406157259,7.410655484,6.858107014,7.071487828,6.862187083,6.887721743,6.446870886,7.146382671,7.047878438
"FAM172A",8.571553782,8.892599194,8.441993055,9.178473401,8.861837217,8.800783353,8.565347437,8.381290223,8.894633757,8.515168694,8.568045821
"FAM20B",8.438171988,8.447178869,8.152115762,9.204856071,8.59735359,8.25422745,8.623484427,8.87790076,8.189726362,8.319510094,8.578694819
"FAM216A",6.093785952,6.86824924,6.068046545,6.17553801,6.420868872,6.308242606,5.737617541,6.081395497,7.198600929,6.96551605,5.706049124
"FAM220A",7.543631352,7.953475233,7.441123817,7.982404774,7.617317157,7.636693998,7.732643837,7.533771184,7.57565795,7.405030602,7.702171819
"FAM50A",10.78526957,10.48323871,10.54697577,11.02899071,10.62395557,10.69435545,10.53112689,10.44577215,10.89495347,10.98357613,10.51970084
"FAM83B",4.619048097,4.679510773,4.570999941,4.567835107,4.631478185,4.586043793,4.569824257,4.4879855,4.419684379,4.655830065,4.68793123
"FAM83D",4.600687262,5.629739164,4.549818303,6.870004186,5.147052361,4.611928249,4.520641764,5.149672272,4.899709957,4.821956508,4.596841649
"FAM83H",7.559540778,8.548161585,6.395850267,7.924986685,7.534439237,6.956525499,8.23178965,7.352641785,8.212475455,8.322446189,8.276173503
"FAM91A1",6.186758001,7.005153449,6.251082647,6.450569975,5.799917904,6.552344273,6.151373048,6.701813862,6.654343634,6.218878898,6.696577635
"FAM98C",6.812516382,6.998385018,6.842418749,6.959072785,6.96714194,6.742412353,6.999671809,6.587537873,7.040965386,6.909867261,7.055285265
"FANCC",5.561299636,5.149095138,6.2822568,5.125674286,5.952398906,6.162074246,5.700273998,5.228671931,5.182755317,5.891376436,5.531908584
"FANCD2",4.717958768,4.813694891,4.929009891,6.24090408,5.238817014,5.257463496,4.860095631,5.19414532,5.461102942,5.229881644,4.673647852
"FANCF",4.630702936,4.551136966,4.538911057,4.631567836,4.563149447,4.788806694,4.75114927,4.522822366,4.452637038,4.644063815,4.577541005
"FANCG",6.188088069,6.627817887,6.460494087,7.305793236,6.675379696,6.43497097,6.549915623,6.754267723,6.612046207,6.76063337,6.268263998
"FANCI",4.408913689,4.867432648,4.622329835,5.666615927,4.520412059,4.456224788,4.505583261,4.710534051,4.595034283,4.643267238,4.637149945
"FARS2",8.570614294,8.397463968,8.71613444,8.252555312,8.733862379,8.577305269,8.552261175,8.530836199,8.547315588,8.158383833,8.564910363
"FARSB",14.48579072,14.47475707,14.32467713,14.74381914,14.47475707,14.24112587,14.74381914,14.31547552,14.1501375,14.67969991,14.28450814
"FAS",6.254121978,5.4686669,7.148629032,4.951773008,4.979609456,5.685278705,5.465884534,4.873676251,5.668132515,5.212674757,5.439928704
"FASTK",8.630553535,9.303595472,8.834575473,9.076277243,8.417727707,8.474803197,9.071696281,9.004040869,9.101550091,8.948346292,8.599823115
"FASTKD3",6.569261611,6.88380092,6.803484102,7.643250028,6.797944267,6.983273209,6.960082032,6.921138892,7.457721949,7.085384957,7.189322855
"FAT4",4.460222886,5.084545556,4.572890962,4.677973937,5.373522992,4.704469055,4.66851885,4.737479337,4.612237086,4.86501017,4.685908296
"FBLIM1",5.092169746,5.115465319,5.190848205,4.976715169,5.307257119,5.363388956,4.916333091,4.916540917,5.450854696,5.02864406,4.747551091
"FBLN1",8.197549124,7.478675913,8.107556044,7.993284743,7.90018295,7.75975288,7.143403545,7.547667784,9.368764881,7.479664592,7.953475233
"FBP1",13.18040021,11.64174435,14.04640459,12.80370882,13.19345836,13.97882553,12.59318885,13.95496394,12.56429194,12.759031,13.05098981
"FBXL18",4.820698677,4.672515078,4.914849057,4.487318248,4.667810315,4.571948612,4.554005234,4.759852099,4.55202417,4.636929208,4.848466734
"FBXO4",7.091960666,7.999872947,7.428227348,8.908538148,7.388340877,7.318470626,7.540786877,7.425538144,7.026617503,7.287387567,7.359433875
"FBXO44",5.840139648,6.156395032,5.421781133,6.008063093,5.899169248,5.602016301,5.651995293,5.668841781,5.765553693,5.476458199,5.741293816
"FBXO5",6.026347258,5.935264865,6.098091709,6.842418749,6.147668388,6.359843028,6.316427168,6.992753943,6.570428369,6.801965417,6.60381794
"FBXW2",6.327152002,6.193654466,7.000563669,6.36770743,6.987986631,6.874243865,7.542568098,6.676177075,6.896998387,7.003817925,6.918158005
