"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"TCGA-DD-A39W-00"," 8.170186"," 4.941642"," 2.708050"," 7.207860"," 4.174387"," 6.975414","10.311350"," 7.648740"," 5.690359"," 4.248495"," 5.655992"," 7.399398"," 5.062595"," 5.855072"," 5.814131"," 5.529429"," 3.218876"," 6.985642"," 6.836259"," 5.176150"," 5.948035"," 1.386294"," 5.068904"," 9.591444"," 4.532599"," 9.116908"," 4.442651"," 8.259199"," 6.559615"," 8.135054"," 6.190315"
"TCGA-G3-A3CH-00"," 7.7173513"," 4.7791235"," 4.3040651"," 7.3827464"," 3.0445224"," 6.7031881","10.8628761"," 8.3375879"," 4.9767337"," 3.5553481"," 4.9052748"," 7.4983159"," 4.8202816"," 6.9641356"," 6.3885614"," 5.5373343"," 3.5263605"," 5.6559918"," 6.1484683"," 5.1119878"," 5.9814142"," 2.0794415"," 5.3327188"," 9.1183347"," 0.6931472"," 7.7070627"," 4.2341065"," 6.8090393"," 5.6383547"," 7.6463537"," 5.9661467"
"TCGA-BC-A10X-00"," 8.913550"," 5.713733"," 4.442651"," 7.776115"," 4.356709"," 7.630947","10.001748"," 9.702350"," 5.424950"," 5.375278"," 6.287859"," 8.063693"," 4.990433"," 6.555357"," 6.782192"," 6.586172"," 4.317488"," 6.646391"," 7.200425"," 5.916202"," 6.484635"," 2.564949"," 5.752573"," 9.994425"," 1.098612"," 9.620793"," 4.488636"," 9.450852"," 6.890609"," 8.625150"," 7.360740"
"TCGA-DD-A3A3-00"," 7.114769"," 4.672829"," 1.791759"," 7.338888"," 3.178054"," 6.785588","11.352064"," 9.137770"," 4.736198"," 4.304065"," 4.844187"," 6.985642"," 3.258097"," 6.572283"," 4.836282"," 6.555357"," 3.044522"," 6.553933"," 5.176150"," 4.158883"," 6.535241"," 2.772589"," 5.517453"," 8.501470"," 4.820282"," 8.094378"," 3.806662"," 8.758884"," 6.298949"," 7.286192"," 6.361302"
"TCGA-DD-A11A-00"," 8.044305"," 3.871201"," 6.146329"," 7.887209"," 3.178054"," 7.722235","10.608563"," 8.974745"," 4.836282"," 5.693732"," 4.867534"," 8.443977"," 5.645447"," 5.631212"," 6.188264"," 8.037866"," 3.367296"," 6.770789"," 6.828712"," 4.077537"," 7.311886"," 2.708050"," 5.730100"," 8.837536"," 1.386294"," 8.765615"," 3.332205","10.267992"," 6.928538"," 8.086410"," 7.450080"
"TCGA-ES-A2HT-00","6.318968","5.497168","4.189655","7.333023","2.079442","6.993015","9.387231","7.731931","4.955827","5.303305","4.990433","7.603399","5.517453","9.407222","5.762051","6.710523","4.219508","6.938284","5.164786","5.693732","6.206576","3.178054","5.955837","9.213735","0.000000","7.380256","3.637586","8.396606","6.703188","7.253470","6.077642"
"TCGA-DD-A116-00","7.659171","5.598422","3.737670","7.478735","3.496508","6.941190","9.908923","8.019613","5.697093","4.007333","5.393628","7.379008","3.891820","5.966147","5.620401","5.765191","3.295837","6.222576","6.411818","4.812184","6.610696","1.945910","5.159055","9.297527","1.609438","7.924072","4.094345","7.660585","5.655992","7.319202","6.385194"
"TCGA-DD-A3A4-00","7.463937","4.304065","2.890372","7.850104","3.713572","7.201916","9.096275","7.544332","5.361292","6.214608","5.262690","7.599401","4.682131","6.710523","5.361292","6.220590","2.833213","7.586804","5.616771","4.709530","6.347389","2.564949","6.364751","9.037296","6.056784","8.317766","4.969813","6.583409","6.200509","8.020928","6.677083"
"TCGA-EP-A26S-00","7.743703","5.010635","3.218876","7.454720","3.135494","6.944087","9.395741","7.238497","5.620401","4.736198","4.736198","7.628031","4.204693","4.859812","6.098074","5.888878","4.477337","6.760415","6.190315","4.844187","8.103192","2.564949","4.499810","9.600760","5.308268","8.156510","3.496508","7.450080","4.219508","7.840706","6.744059"
"TCGA-DD-A3A5-00"," 7.724888"," 5.513429"," 2.995732"," 6.180017"," 2.079442"," 5.986452","10.407017"," 8.602637"," 5.529429"," 3.526361"," 4.948760"," 7.271704"," 4.094345"," 4.465908"," 5.627621"," 5.720312"," 1.945910"," 6.426488"," 6.463029"," 4.812184"," 5.198497"," 1.098612"," 4.744932"," 8.910721"," 2.197225"," 8.750049"," 3.044522"," 8.502080"," 5.627621"," 7.818430"," 6.652863"
"TCGA-DD-A39V-00"," 7.506592"," 3.761200"," 2.944439"," 6.887553"," 2.302585"," 7.009409","11.449251"," 8.539150"," 5.393628"," 4.077537"," 4.465908"," 7.279319"," 3.828641"," 4.969813"," 5.717028"," 5.817111"," 2.995732"," 6.091310"," 5.631212"," 4.672829"," 6.949856"," 2.079442"," 4.653960"," 8.373323"," 2.639057"," 8.486528"," 2.995732","10.203555"," 3.637586"," 7.205635"," 6.390241"
"TCGA-DD-A1EE-00"," 7.010312"," 4.615121"," 3.663562"," 7.176255"," 2.197225"," 6.752270"," 9.912596"," 7.748891"," 4.836282"," 5.075174"," 4.890349"," 7.323171"," 4.356709"," 6.511745"," 6.598509"," 6.380123"," 2.564949"," 6.107023"," 5.590987"," 4.718499"," 5.991465"," 2.708050"," 4.718499"," 8.087333"," 1.609438"," 8.446556"," 3.218876","10.915416"," 5.613128"," 7.410952"," 6.501290"
"TCGA-BC-A216-00"," 8.073403"," 5.313206"," 4.584967"," 7.703008"," 3.526361"," 7.142827"," 9.565354"," 9.244549"," 5.631212"," 5.170484"," 5.429346"," 7.368970"," 4.804021"," 5.517453"," 4.934474"," 5.874931"," 3.951244"," 6.306275"," 5.902633"," 4.262680"," 6.692084"," 1.945910"," 5.087596"," 7.708860"," 4.382027"," 8.832442"," 4.290459","12.238094"," 6.476972"," 8.051341"," 6.139885"
"TCGA-DD-A119-00"," 8.415603"," 4.521789"," 5.093750"," 7.144407"," 2.302585"," 7.195187"," 9.893589"," 8.986822"," 5.857933"," 5.308268"," 5.459586"," 7.490529"," 5.043425"," 6.095825"," 5.799093"," 6.206576"," 3.044522"," 6.490724"," 6.575076"," 4.890349"," 6.821107"," 2.397895"," 4.644391"," 9.256651"," 3.178054"," 8.756840"," 3.367296","11.126836"," 6.008813"," 8.229778"," 6.706862"
"TCGA-DD-A3A8-00","7.388328","4.158883","2.944439","6.395262","2.302585","5.918894","9.612400","7.601902","5.278115","4.248495","4.174387","5.924256","3.583519","3.218876","4.836282","4.553877","1.945910","6.522093","5.298317","4.532599","6.478510","1.791759","3.401197","9.168893","1.098612","8.486322","3.135494","7.318540","6.173786","6.951772","5.572154"
"TCGA-DD-A3A6-00","6.8564620","4.0943446","0.6931472","5.4553211","3.6375862","5.9295891","6.3473892","6.6106960","4.9416424","1.0986123","4.4067192","6.8221974","3.9889840","3.3672958","5.9506426","5.3132060","1.0986123","5.6240175","5.9269260","4.9836066","3.3672958","0.0000000","3.8066625","8.6712867","0.0000000","8.0674627","2.3025851","9.1535584","5.1532916","7.4977617","6.0867747"
"TCGA-DD-A1EC-00"," 8.009363"," 5.081404"," 7.497762"," 8.100465"," 2.484907"," 7.210818"," 9.992460"," 7.953670"," 4.927254"," 5.117994"," 5.288267"," 7.633370"," 4.574711"," 6.419995"," 5.774552"," 6.545350"," 2.890372"," 6.476972"," 6.752270"," 5.187386"," 5.472271"," 2.484907"," 5.123964"," 9.301095"," 3.218876"," 8.637994"," 4.465908","10.446713"," 6.059123"," 8.239065"," 7.043160"
"TCGA-DD-A11C-00","7.8418859","4.4543473","2.5649494","6.9027427","1.3862944","6.4504704","8.6510245","6.8793558","4.8121844","3.5553481","4.6347290","6.8211075","4.0430513","4.6728288","5.4971682","5.0434251","2.9957323","5.4847969","5.8692969","3.8918203","5.2040067","0.6931472","3.9889840","8.8215849","2.1972246","7.6741529","3.1780538","7.3004728","5.5947114","7.3670771","6.2690963"
"TCGA-FV-A23B-00"," 8.071531"," 4.969813"," 3.135494"," 8.016318"," 4.174387"," 7.260523","10.100985"," 7.262629"," 5.676754"," 6.654153"," 5.802118"," 7.506042"," 5.231109"," 5.826000"," 6.498282"," 6.526495"," 4.043051"," 6.335054"," 6.637258"," 5.609472"," 6.523562"," 3.332205"," 6.021023"," 9.846600"," 1.609438"," 7.788212"," 4.852030"," 8.549079"," 4.682131"," 7.693482"," 6.498282"
"TCGA-BC-A110-00"," 8.1368109"," 3.7376696"," 0.6931472"," 7.3932631"," 2.8903718"," 7.1228667","11.2820143"," 8.8857177"," 5.7430032"," 3.9318256"," 5.1590553"," 7.9043348"," 4.8903491"," 5.0625950"," 5.4116461"," 7.5082388"," 3.8501476"," 5.9506426"," 6.4800446"," 4.3307333"," 7.3362857"," 2.5649494"," 6.1590954"," 7.5978980"," 3.3672958"," 8.0724674"," 2.8903718","10.4619884"," 5.8664681"," 7.6396423"," 6.4248690"
"TCGA-FV-A3I1-00"," 8.093157"," 6.061457"," 3.367296"," 7.077498"," 2.197225"," 6.492240","10.012387"," 7.611348"," 4.804021"," 3.583519"," 5.834811"," 7.497762"," 4.653960"," 5.598422"," 5.429346"," 5.905362"," 3.871201"," 6.028279"," 6.752270"," 4.564348"," 5.529429"," 1.945910"," 5.192957"," 8.756053"," 1.791759"," 8.398860"," 3.610918"," 4.465908"," 6.222576"," 7.850493"," 6.599870"
"TCGA-DD-A1EB-00"," 8.452975"," 4.553877"," 2.302585"," 7.754053"," 4.127134"," 7.202661"," 8.911934"," 8.228444"," 5.605802"," 4.682131"," 6.070738"," 7.954372"," 5.147494"," 6.272877"," 6.378426"," 6.473891"," 3.761200"," 6.513230"," 7.031741"," 5.087596"," 7.463363"," 1.386294"," 5.241747","10.059208"," 1.945910"," 8.763897"," 4.430817"," 9.542589"," 6.177944"," 8.324579"," 7.167809"
"TCGA-BC-A10Z-00","7.074963","4.762174","3.496508","7.317876","3.367296","7.219642","9.806536","7.883823","5.451038","8.289037","5.525453","8.044626","4.189655","4.615121","5.594711","7.207119","4.709530","6.304449","6.311735","5.814131","6.926577","3.465736","5.541264","8.333030","3.367296","8.103797","3.135494","9.506734","6.532334","7.246368","6.458338"
"TCGA-DD-A118-00","7.753624","5.521461","3.828641","6.025866","2.397895","6.603944","9.438113","8.933928","5.062595","3.761200","4.663439","7.583756","4.369448","5.497168","5.455321","6.194405","2.397895","6.054439","5.968708","4.430817","6.911747","2.079442","4.605170","8.744169","1.609438","7.672292","2.833213","8.603187","3.367296","7.752765","6.386879"
"TCGA-DD-A1EJ-00","8.418698","5.700444","4.276666","7.902857","2.833213","7.513709","8.455105","8.786915","5.204007","6.028279","6.720220","8.274357","4.718499","5.676754","5.942799","6.900731","3.555348","7.049255","6.517671","5.411646","7.364547","2.397895","6.056784","9.834887","4.174387","8.789812","4.007333","9.521934","6.804615","8.451694","7.577634"
"TCGA-BC-A10Y-00"," 8.216358"," 5.811141"," 4.077537"," 7.643962"," 3.044522"," 7.073270","10.676139"," 7.949797"," 5.389072"," 4.127134"," 6.095825"," 7.883069"," 3.761200"," 6.320768"," 5.484797"," 6.522093"," 3.737670"," 6.505784"," 6.403574"," 5.480639"," 6.405228"," 2.079442"," 5.393628"," 8.692154"," 2.708050"," 8.537780"," 4.304065"," 5.187386"," 5.837730"," 7.965198"," 6.637258"
"TCGA-DD-A1EG-00","7.177782","5.598422","3.091042","7.100852","3.218876","6.598509","9.795011","7.940940","5.620401","4.110874","5.170484","7.588830","3.828641","6.894670","5.257495","7.211557","3.332205","6.073045","5.680173","5.968708","6.992096","3.871201","5.214936","8.143227","2.708050","7.913887","3.258097","5.476464","6.188264","7.075809","6.492240"
"TCGA-DD-A1EI-00"," 8.388223"," 5.771441"," 4.234107"," 7.805475"," 3.218876"," 7.431892","10.281924"," 8.416267"," 5.533389"," 4.962845"," 5.802118"," 7.776954"," 4.691348"," 6.464588"," 6.870053"," 5.897154"," 2.772589"," 5.771441"," 6.978214"," 5.978886"," 5.365976"," 2.564949"," 5.117994"," 9.371438"," 1.098612"," 8.927712"," 4.007333"," 6.311735"," 6.587550"," 7.281386"," 6.470800"
"TCGA-BD-A2L6-00"," 7.074117"," 5.313206"," 3.637586"," 8.081166"," 4.110874"," 7.421776","10.219939"," 7.939159"," 5.693732"," 5.976351"," 5.332719"," 7.344073"," 5.710427"," 6.419995"," 6.421622"," 6.655440"," 4.691348"," 6.566672"," 6.366470"," 5.690359"," 6.599870"," 2.772589"," 6.593045"," 8.304247"," 3.610918"," 8.218248"," 4.605170"," 9.737492"," 6.079933"," 7.424762"," 6.481577"
"TCGA-BC-A10R-00","8.002694","5.231109","3.258097","7.571988","4.934474","6.948897","9.978502","9.290445","5.332719","4.025352","5.513429","8.251142","4.553877","6.426488","6.770789","7.928766","3.465736","5.746203","6.461468","4.276666","6.887553","2.833213","5.062595","7.717351","1.791759","8.801319","3.135494","9.187276","6.632002","8.278936","7.037028"
"TCGA-DD-A11B-00","7.3677086","4.8828019","3.7841896","7.2305632","3.2188758","6.3189681","9.1480393","6.9097533","5.0039463","4.7957905","4.6347290","6.8966943","4.5849675","4.3040651","5.7397929","5.5294291","2.6390573","6.0210233","5.7651911","4.7957905","4.5643482","2.5649494","4.8362819","9.0585868","0.6931472","7.9091222","3.5263605","8.9273141","3.4011974","7.0048820","5.8464388"
"TCGA-DD-A11D-00","7.307202","5.686975","3.367296","7.370860","3.737670","6.946014","8.601167","8.361475","5.411646","5.123964","5.375278","7.289611","5.117994","8.265907","6.705639","6.489205","3.931826","6.582025","5.003946","4.890349","6.893656","2.833213","5.056246","9.438272","1.791759","8.541886","3.912023","8.378161","6.186209","7.627544","6.249975"
"TCGA-FV-A3R2-00","7.430707","4.488636","3.401197","7.502186","2.890372","6.935370","9.066585","7.650169","5.609472","5.796058","5.187386","7.308543","4.672829","7.457032","5.099866","5.966147","3.637586","6.811244","6.287859","5.986452","6.246107","2.302585","5.433722","8.715060","3.091042","8.116118","3.713572","8.033658","6.535241","7.744570","6.744059"
"TCGA-DD-A3A1-00"," 6.493754"," 5.552960"," 2.772589"," 6.489205"," 3.218876"," 6.439350","10.965419"," 7.767264"," 5.402677"," 4.465908"," 4.382027"," 6.668228"," 4.248495"," 4.912655"," 4.948760"," 5.030438"," 2.197225"," 6.280396"," 5.375278"," 4.718499"," 6.788972"," 3.218876"," 4.127134"," 8.206856"," 2.079442"," 8.377471"," 2.833213"," 9.588023"," 3.931826"," 6.775366"," 5.624018"
"TCGA-EP-A12J-00","6.826545","5.241747","2.772589","7.029973","3.218876","6.120297","9.064505","7.463937","4.787492","4.060443","3.332205","7.091742","3.044522","8.182559","5.874931","5.971262","2.708050","6.284134","4.691348","4.934474","5.891644","2.833213","4.983607","8.478452","1.098612","7.689829","3.401197","8.487352","5.529429","7.507141","4.543295"
"TCGA-BC-A10T-00"," 7.859027"," 3.784190"," 2.772589"," 6.952729"," 3.332205"," 6.733402","10.779060"," 6.976348"," 4.584967"," 4.025352"," 5.003946"," 8.073403"," 3.637586"," 4.948760"," 6.156979"," 7.243513"," 2.772589"," 5.638355"," 6.440947"," 4.595120"," 6.562444"," 2.484907"," 5.153292"," 7.558517"," 4.317488"," 7.879670"," 3.218876"," 8.207674"," 6.439350"," 7.508787"," 6.591674"
"TCGA-DD-A113-00","7.869019","5.220356","3.737670","7.272398","2.944439","6.787845","8.965845","7.693026","5.170484","3.761200","5.170484","7.786967","4.143135","4.574711","6.175867","6.893656","2.708050","6.126869","6.628041","5.924256","6.401917","3.218876","5.398163","8.552367","0.000000","8.234300","3.091042","8.125039","3.912023","7.819234","6.605298"
"TCGA-BD-A3EP-00","7.639642","4.941642","4.025352","7.158514","3.091042","6.665684","6.722630","7.938446","4.828314","5.159055","5.262690","7.734121","3.526361","5.525453","6.182085","6.813445","3.526361","5.683580","6.431331","5.579730","6.624065","2.995732","4.779123","8.641179","2.079442","7.750184","3.555348","8.377011","6.555357","7.317876","6.415097"
"TCGA-EP-A3RK-00"," 7.9120569"," 4.9487599"," 2.0794415"," 7.1777824"," 1.7917595"," 6.7638849"," 8.5587189"," 7.2327331"," 4.8978398"," 4.3438054"," 5.3132060"," 7.2291139"," 4.4659081"," 4.8675345"," 5.4764636"," 5.5834963"," 2.8332133"," 6.7742239"," 6.0088132"," 5.1119878"," 5.7930136"," 0.6931472"," 4.5747110","10.1498006"," 5.8805330"," 7.1846292"," 3.8066625"," 5.3181200"," 4.0604430"," 7.6610564"," 6.9772813"
"TCGA-DD-A1EH-00"," 7.439559"," 5.549076"," 2.397895"," 7.417580"," 2.944439"," 6.841615","10.075759"," 7.875119"," 5.529429"," 4.025352"," 5.420535"," 7.660585"," 3.951244"," 5.123964"," 5.988961"," 6.056784"," 2.484907"," 6.659294"," 6.483107"," 5.560682"," 5.351858"," 1.945910"," 5.429346"," 9.606428"," 2.197225"," 8.245384"," 4.369448"," 8.315566"," 3.737670"," 7.998671"," 6.461468"
"TCGA-FV-A2QR-00","7.134891","5.433722","2.772589","8.241440","4.025352","7.315218","8.750683","7.829630","5.111988","7.780303","5.958425","7.363280","4.983607","4.744932","6.478510","6.931472","4.653960","6.674561","6.689599","4.709530","6.738152","5.147494","5.365976","9.158205","5.187386","8.025843","5.036953","6.109248","6.508769","7.204149","6.440947"
"TCGA-DD-AAEI-01","6.880384","6.126869","5.820083","6.610696","3.526361","4.700480","2.890372","6.508769","5.950643","2.564949","1.098612","6.878326","7.342779","5.793014","4.624973","6.308098","1.386294","6.480045","5.273000","2.484907","3.761200","2.397895","5.831882","7.220374","0.000000","7.632886","1.386294","5.950643","5.278115","5.669881","1.791759"
"TCGA-FV-A3R3-01"," 5.273000"," 2.079442"," 4.290459"," 9.417517"," 5.023881"," 8.437934"," 5.198497"," 9.155567"," 5.918894"," 3.988984"," 6.318968"," 7.937017"," 4.356709"," 7.273786"," 5.755742"," 6.028279"," 4.060443"," 6.727432"," 5.323010"," 6.580639"," 5.525453"," 3.912023"," 5.579730"," 7.280008"," 6.853299"," 8.960468"," 4.709530","11.157806"," 5.389072"," 5.278115"," 5.783825"
"TCGA-G3-A5SJ-01","5.407172","4.025352","6.884487","8.199189","2.890372","5.777652","2.079442","5.955837","6.249975","4.672829","5.986452","8.405144","5.370638","5.872118","5.961005","7.693482","4.787492","6.732211","6.588926","4.787492","7.294377","2.944439","5.176150","8.183118","0.000000","7.826443","3.761200","6.102559","6.675823","5.723585","5.641907"
"TCGA-HP-A5MZ-01"," 7.089243"," 5.442418"," 6.458338"," 8.511175"," 5.897154"," 7.995644"," 6.915723"," 6.152733"," 6.169611"," 4.941642"," 0.000000"," 6.706862"," 6.063785"," 6.070738"," 7.740664"," 6.526495"," 3.871201"," 6.347389"," 5.347108"," 4.110874"," 7.441907"," 3.091042"," 6.486161"," 8.226841"," 0.000000"," 8.022241"," 4.418841","11.349312"," 5.648974"," 6.987490"," 6.423247"
"TCGA-G3-A25Z-01","6.956545","3.970292","2.079442","7.149917","4.663439","5.602119","6.920672","9.931249","7.817223","4.430817","4.510860","7.455298","7.365180","5.043425","6.504288","5.996452","2.302585","7.532624","5.891644","3.401197","5.673323","2.772589","6.371612","8.983440","0.000000","8.341410","2.833213","4.927254","6.684612","5.707110","6.570883"
"TCGA-DD-AACD-01"," 5.129899"," 5.429346"," 6.811244"," 8.015327"," 3.433987"," 7.100852"," 3.367296"," 8.249314"," 7.323831"," 3.135494"," 4.234107"," 5.556828"," 3.218876"," 7.156956"," 4.127134"," 4.510860"," 3.871201"," 6.501290"," 4.158883"," 6.472346"," 5.283204"," 1.945910"," 4.465908"," 7.570959"," 6.115892"," 7.973844"," 1.098612","11.030185"," 5.389072"," 4.077537"," 2.708050"
"TCGA-NI-A8LF-01","8.101375","6.570883","3.465736","8.272826","3.828641","6.056784","4.406719","8.452761","5.624018","4.488636","5.921578","6.726233","3.135494","4.691348","5.429346","5.313206","2.833213","7.133296","1.609438","4.127134","4.174387","3.044522","5.533389","8.774004","1.609438","9.248021","2.708050","4.890349","6.073045","8.187021","3.891820"
"TCGA-DD-AAE7-01","5.926926","5.525453","3.258097","6.954639","3.258097","5.620401","8.013674","7.276556","4.343805","4.442651","4.672829","6.759255","4.718499","4.110874","5.463832","5.594711","1.098612","4.663439","5.805135","3.637586","4.442651","3.178054","4.060443","6.445720","0.000000","7.245655","2.302585","8.499844","5.849325","6.186209","5.823046"
"TCGA-GJ-A9DB-01","6.787845","4.262680","4.189655","8.116118","4.094345","5.533389","4.356709","8.230311","5.613128","3.931826","5.831882","7.372746","4.189655","5.176150","6.562444","7.414573","4.189655","5.342334","6.289716","3.988984","5.552960","3.044522","5.347108","8.484877","0.000000","8.352083","3.091042","8.983440","6.490724","8.368461","7.068172"
"TCGA-DD-A3A3-01"," 4.9628446"," 4.5951199"," 3.0910425"," 5.8579332"," 2.3025851"," 7.1284959"," 3.9120230"," 5.7268477"," 6.4085288"," 1.9459101"," 0.0000000"," 6.3243590"," 6.8211075"," 3.6635616"," 3.6109179"," 4.1588831"," 3.7612001"," 5.7745515"," 1.3862944"," 4.6347290"," 7.2348984"," 1.0986123"," 2.7725887"," 7.0273145"," 4.4886364"," 7.2868764"," 0.6931472","11.4245313"," 4.9558271"," 4.8751973"," 6.3117348"
"TCGA-DD-A1ED-01"," 8.095904"," 5.442418"," 9.110741"," 8.028129"," 3.433987"," 6.538140"," 9.498972"," 9.064389"," 6.177944"," 4.276666"," 3.583519"," 7.292337"," 4.663439"," 5.934894"," 6.354370"," 5.877736"," 3.891820"," 6.416732"," 7.108244"," 8.087333"," 6.618739"," 3.178054"," 5.181784"," 8.669227"," 2.397895"," 9.472628"," 3.295837","12.755488"," 6.622736"," 8.067776"," 4.820282"
"TCGA-EP-A2KB-01"," 6.4551986","11.9219376"," 3.0910425"," 7.5213180"," 1.7917595"," 7.6912001"," 7.6152983"," 7.3058600"," 5.9864520"," 2.3978953"," 4.5108595"," 6.9392539"," 7.3211886"," 4.0775374"," 4.8520303"," 4.2341065"," 2.3978953"," 7.0561753"," 5.8833224"," 3.9120230"," 4.8040210"," 2.8903718"," 7.1000272"," 7.1724246","11.4455884"," 9.0359870"," 0.6931472"," 2.8332133"," 3.2580965"," 2.9444390"," 2.1972246"
"TCGA-DD-AACN-01","5.934894","9.370502","4.624973","8.470311","4.369448","6.251904","8.738896","7.243513","6.089045","5.863631","3.637586","7.416980","3.970292","5.820083","7.214504","6.894670","3.806662","7.077498","5.823046","5.075174","4.682131","3.367296","5.241747","8.230577","3.806662","8.314342","3.713572","4.897840","5.733341","5.459586","4.919981"
"TCGA-DD-A1EF-01"," 5.513429","12.932014"," 4.174387"," 7.254885"," 2.995732"," 7.414573"," 3.178054"," 4.521789"," 3.784190"," 4.143135"," 1.791759"," 6.748760"," 5.860786"," 4.709530"," 5.752573"," 5.537334"," 2.995732"," 4.859812"," 6.740519"," 4.709530"," 4.127134"," 2.564949"," 4.219508"," 6.905753"," 8.946635"," 7.180831"," 2.639057"," 5.755742"," 6.054439"," 4.276666"," 3.610918"
"TCGA-DD-A11D-01","7.467942","3.850148","1.386294","7.004882","2.890372","4.682131","5.214936","8.232440","5.924256","3.433987","5.433722","7.319202","2.484907","5.043425","5.117994","5.480639","1.386294","5.579730","4.709530","2.708050","4.110874","1.945910","3.465736","8.446556","2.197225","8.264106","2.302585","8.655563","5.497168","6.432940","2.772589"
"TCGA-DD-AADJ-01","6.0776422","9.1410975","6.1527327","6.2402758","1.6094379","3.9120230","4.6051702","9.0177260","5.9964521","1.7917595","5.0625950","6.1441856","2.0794415","4.1896547","4.3567088","4.3820266","2.1972246","5.8692969","5.4638318","0.6931472","4.3567088","2.3978953","3.0445224","7.2312870","3.3322045","7.4616404","0.0000000","4.9904326","1.9459101","6.2614917","4.2626799"
