"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"gene","ABCC9","AFP","NRCAM","LAMB1","DOK5","ARMCX3","HAMP","PPARGC1A","IL1R2","RGS4","FOXP2","HOOK1","PKIB","IFI44L","CYP1B1","FRMD6","PMAIP1","FAM50B","PTPRD","APCDD1","S100A9","PTX3","CMAHP","PPP1R3B","DLK1","IRS2","NAP1L3","PLA2G2A","PRMT6","MFAP3L","SAMD5"
"TCGA-DD-A3A2-00","7.888710","6.253829","2.833213","7.479300","3.688879","6.555357","9.373309","8.129470","5.347108","4.454347","5.762051","7.565793","4.875197","6.104793","6.033086","5.929589","3.044522","6.212606","6.442540","5.214936","5.384495","2.397895","4.976734","9.062768","4.025352","8.600247","4.060443","4.276666","6.180017","7.946618","7.174724"
"TCGA-DD-A39Z-00"," 6.9669671"," 5.3082677"," 0.6931472"," 6.9939330"," 2.7080502"," 6.9027427","10.1640810"," 7.3889461"," 5.0304379"," 3.8712010"," 5.4889377"," 7.2254815"," 4.4998097"," 5.4116461"," 5.1929569"," 5.7990927"," 1.6094379"," 6.1506028"," 6.3664704"," 4.7621739"," 4.8675345"," 2.3025851"," 5.9788858"," 9.5162061"," 5.0875963"," 7.9717761"," 3.5263605","10.1672739"," 6.2344107"," 7.6324011"," 6.7274317"
"TCGA-FV-A3I0-00"," 7.712444"," 4.158883"," 2.397895"," 7.166266"," 3.258097"," 6.665684","10.722099"," 8.958411"," 5.905362"," 4.605170"," 5.552960"," 7.738488"," 4.189655"," 4.110874"," 6.558198"," 6.918695"," 3.135494"," 5.910797"," 6.066108"," 4.219508"," 7.080026"," 3.663562"," 4.941642"," 7.979339"," 3.583519"," 8.556991"," 1.945910"," 8.932213"," 6.154858"," 7.648740"," 6.042633"
"TCGA-DD-A39X-00"," 8.237215"," 4.812184"," 2.833213"," 7.100027"," 2.197225"," 6.925595","10.256149"," 7.346010"," 5.420535"," 4.859812"," 5.993961"," 7.447168"," 4.276666"," 5.463832"," 5.659482"," 5.777652"," 2.995732"," 6.216606"," 6.704414"," 4.624973"," 5.624018"," 1.386294"," 5.834811"," 9.477003"," 2.397895"," 8.587465"," 4.094345"," 5.857933"," 6.461468"," 7.947679"," 6.775366"
"TCGA-BC-A10U-00"," 7.882315"," 5.257495"," 4.691348"," 7.930925"," 3.951244"," 7.297768","10.466725"," 8.735364"," 5.283204"," 4.317488"," 5.537334"," 8.104401"," 4.110874"," 4.828314"," 6.220590"," 7.550661"," 3.784190"," 5.525453"," 6.625392"," 6.173786"," 6.587550"," 5.017280"," 5.337538"," 7.561122"," 1.386294"," 8.981933"," 3.135494"," 7.374002"," 5.852202"," 7.857481"," 6.683361"
"TCGA-DD-A114-00","7.203406","6.393591","4.276666","7.616776","2.639057","7.277939","9.417192","8.304000","5.153292","4.624973","4.962845","7.598399","5.808142","9.206433","6.421622","6.613384","4.174387","6.493754","5.730100","5.170484","6.475433","2.302585","5.820083","9.319464","1.609438","8.564458","4.317488","9.291736","5.986452","7.353082","5.958425"
"TCGA-BC-A10Q-00","7.8465900","5.1179938","3.6635616","7.4696542","3.9702919","6.9373141","9.2134356","8.8850257","5.6204009","4.6821312","5.6489742","7.8586407","4.2766661","5.5134287","6.0258660","6.5764696","2.7725887","5.5984220","6.2186001","4.5951199","6.5750758","1.6094379","5.1704840","8.1250391","0.6931472","8.8443363","3.1780538","8.4969905","6.1903154","8.0854868","6.7117404"
"TCGA-DD-A1EL-00","8.135640","6.214608","4.488636","8.144679","2.944439","7.189168","7.867489","8.819665","6.192362","6.131226","5.908083","7.848934","5.420535","7.560080","6.082219","6.336826","3.828641","6.513230","6.744059","5.749393","6.037871","1.098612","5.963579","9.338734","2.079442","8.833317","4.234107","5.497168","6.171701","7.836370","7.087574"
"TCGA-BC-A10W-00","7.502186","5.288267","3.688879","6.869014","3.332205","6.490724","9.007367","8.854950","5.081404","5.525453","5.187386","7.436028","4.770685","5.023881","6.086775","6.481577","3.433987","6.483107","6.109248","4.454347","6.787845","1.609438","5.252273","8.278936","0.000000","8.527737","3.218876","8.518992","6.249975","7.401842","6.779922"
