"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","ANLN","KDM5D","ASPM","DDX3Y","TRIP13","KIF4A","CDKN3","GINS1","MCM3","TTK","KIF20A","CDC20","STMN1","CENPF","DLGAP5","TOP2A","CCNB1","FCN3","NUF2","CCNA2","CRHBP","MKI67","BUB1B","RACGAP1","SGO2","DNASE1L3","MAD2L1","PTTG1","CLEC1B","PBK","RRM2","UBE2C","PARPBP"
"TCGA-DD-A3A2-00","2.079442","0.000000","3.713572","0.000000","2.197225","2.302585","1.386294","3.401197","6.682109","1.609438","1.791759","1.791759","6.467699","3.135494","1.609438","3.258097","4.110874","8.923991","2.397895","2.079442","8.245384","3.433987","1.791759","4.248495","3.091042","8.783703","3.637586","3.401197","6.423247","1.791759","3.401197","2.564949","1.791759"
"TCGA-DD-A39Z-00","3.9702919","0.6931472","4.5951199","0.0000000","3.1780538","3.7612001","3.5553481","3.7612001","6.6080006","3.5553481","4.6051702","4.4543473","6.8362593","4.5217886","2.9444390","5.0238805","5.0562458","6.6187390","3.2958369","4.3040651","5.8051350","5.1357984","3.0910425","4.3694479","3.4965076","6.6359466","4.4308168","4.5432948","3.4965076","4.0604430","5.3844951","4.4188406","2.5649494"
"TCGA-FV-A3I0-00","1.7917595","0.0000000","2.1972246","0.6931472","2.1972246","2.8332133","2.3978953","2.7725887","6.2803958","0.6931472","1.0986123","2.3025851","5.4071718","2.8332133","2.0794415","3.2580965","3.5835189","8.4957652","1.6094379","2.1972246","7.0875737","3.1354942","1.0986123","3.3672958","1.0986123","7.5522373","3.6109179","2.7725887","5.1298987","0.6931472","3.2958369","1.7917595","1.0986123"
"TCGA-DD-A39X-00","2.8332133","0.6931472","3.2580965","0.0000000","2.7725887","2.3025851","2.7725887","3.4011974","6.7202202","1.9459101","2.5649494","2.9444390","6.4997870","3.3672958","2.0794415","3.6888795","4.0775374","9.0468798","1.0986123","2.6390573","8.2273755","3.8918203","2.3025851","4.2046926","3.1780538","8.4665313","4.1743873","3.5553481","6.6080006","2.0794415","3.8712010","2.9957323","2.3978953"
"TCGA-BC-A10U-00","2.890372","6.598509","2.944439","7.660114","2.639057","3.258097","3.135494","3.258097","6.787845","1.386294","2.995732","2.995732","5.921578","4.060443","2.639057","4.369448","3.951244","8.603004","2.564949","2.772589","7.912423","4.060443","2.397895","4.510860","2.995732","7.942007","3.737670","2.995732","5.525453","2.708050","4.276666","3.044522","2.772589"
"TCGA-DD-A114-00","5.117994","7.155396","6.109248","7.617268","4.406719","4.859812","4.454347","5.733341","7.829630","4.394449","4.770685","4.919981","7.412764","5.659482","4.510860","6.393591","5.673323","8.978408","4.174387","5.365976","8.622094","6.432940","4.499810","5.966147","4.430817","8.549854","5.572154","5.187386","6.313548","4.644391","6.760415","4.948760","3.912023"
"TCGA-BC-A10Q-00","4.077537","1.791759","4.234107","2.197225","3.044522","4.127134","3.218876","3.713572","6.546785","2.772589","4.043051","4.094345","6.056784","4.442651","3.367296","5.087596","4.779123","8.852665","3.295837","3.713572","8.129470","5.036953","2.995732","4.499810","3.044522","8.257904","3.988984","4.077537","6.352629","3.178054","4.382027","4.060443","2.484907"
"TCGA-DD-A1EL-00","4.234107","7.134094","4.897840","7.937017","3.367296","3.871201","3.367296","4.859812","7.420579","3.610918","3.663562","4.158883","6.837333","4.510860","3.496508","5.451038","4.897840","9.491149","3.526361","4.094345","9.101195","5.303305","3.583519","5.438079","4.219508","8.866441","5.225747","4.356709","7.013915","4.143135","5.505332","3.663562","3.258097"
"TCGA-BC-A10W-00","3.583519","6.525030","3.871201","7.567346","3.218876","3.258097","2.639057","4.025352","6.498282","2.302585","3.295837","3.091042","6.464588","4.174387","2.564949","4.499810","4.234107","8.955319","2.564949","3.663562","8.212026","4.465908","2.197225","4.709530","2.639057","8.470102","4.110874","3.988984","5.981414","2.772589","4.094345","3.610918","1.791759"
"TCGA-DD-A39W-00","1.0986123","0.6931472","3.2580965","1.0986123","2.0794415","1.6094379","2.1972246","3.4657359","6.6933237","1.7917595","1.9459101","2.0794415","6.2085900","3.7135721","1.0986123","2.9444390","4.0253517","8.8678501","1.3862944","2.7080502","8.0248622","3.6635616","1.0986123","4.4773368","3.2958369","8.6193887","3.5835189","2.9444390","6.2265367","0.6931472","3.5835189","2.1972246","1.7917595"
"TCGA-G3-A3CH-00","3.178054","6.699500","4.007333","7.194437","2.772589","2.833213","2.890372","4.060443","6.678342","2.995732","3.401197","3.688879","6.424869","3.970292","2.995732","4.709530","4.330733","9.179881","2.708050","3.465736","8.065579","4.787492","2.833213","4.709530","3.295837","8.342840","4.262680","4.094345","6.234411","2.995732","4.718499","3.332205","1.386294"
"TCGA-BC-A10X-00","4.158883","0.000000","4.718499","0.000000","3.465736","3.637586","3.135494","4.343805","7.097549","3.091042","3.784190","3.663562","6.612041","4.779123","2.995732","5.036953","4.812184","8.883779","2.995732","3.401197","8.524963","5.099866","2.890372","4.948760","3.970292","8.769041","4.442651","3.828641","6.455199","2.995732","4.584967","3.737670","3.091042"
"TCGA-DD-A3A3-00","1.791759","6.011267","1.609438","7.306531","1.791759","3.526361","2.944439","2.708050","6.356108","2.302585","1.609438","2.639057","6.809039","2.772589","2.079442","3.332205","3.433987","7.806289","1.609438","2.397895","7.603898","3.295837","0.000000","4.317488","2.708050","9.012986","3.258097","3.496508","5.723585","1.791759","3.367296","2.708050","2.397895"
"TCGA-DD-A11A-00","3.713572","6.965080","3.401197","8.197814","2.995732","3.332205","3.178054","3.583519","6.934397","2.564949","3.044522","3.295837","6.343880","3.871201","3.091042","4.605170","4.234107","8.207402","2.772589","3.555348","8.409608","4.753590","2.708050","4.744932","3.663562","8.544225","4.077537","3.610918","6.700731","2.484907","4.682131","3.258097","1.945910"
"TCGA-ES-A2HT-00","4.905275","6.869014","5.017280","7.307202","4.007333","4.595120","4.779123","5.036953","7.540622","4.060443","4.804021","5.093750","7.309881","5.147494","4.382027","6.188264","5.686975","8.856091","3.850148","5.293305","7.528869","6.079933","3.988984","5.627621","4.369448","8.215818","5.365976","5.379897","5.948035","4.574711","6.849066","5.257495","3.526361"
"TCGA-DD-A116-00","4.290459","7.017506","4.744932","7.489412","3.367296","3.555348","3.610918","3.871201","6.731018","3.496508","4.127134","3.931826","7.050123","4.499810","3.367296","5.351858","4.682131","8.713911","2.772589","4.317488","8.034955","5.049856","3.218876","4.912655","3.688879","8.140898","4.718499","4.276666","6.137727","4.007333","5.690359","4.043051","3.135494"
"TCGA-DD-A3A4-00","2.708050","6.728629","3.465736","7.454141","3.332205","2.995732","3.258097","3.610918","7.370860","2.995732","2.995732","3.258097","6.517671","3.737670","2.772589","4.356709","4.553877","9.877503","3.044522","3.178054","8.795128","4.553877","2.484907","4.836282","4.127134","9.342771","4.143135","3.828641","7.271704","2.079442","4.691348","3.688879","2.079442"
"TCGA-EP-A26S-00","1.9459101","6.6411822","3.1354942","7.5245612","1.9459101","1.3862944","2.1972246","3.0910425","6.6644090","2.3025851","0.0000000","2.0794415","6.1862086","2.4849066","1.7917595","3.0445224","3.6109179","9.0310941","1.9459101","1.7917595","8.3574938","3.3322045","1.7917595","4.3820266","3.1354942","8.3806859","3.9512437","2.4849066","6.0185932","0.6931472","3.3322045","1.3862944","1.7917595"
"TCGA-DD-A3A5-00","1.386294","0.000000","2.944439","0.000000","1.791759","2.079442","2.302585","2.484907","6.001415","1.791759","2.397895","2.772589","5.556828","2.944439","2.484907","3.401197","3.737670","6.874198","1.791759","2.484907","6.154858","3.496508","1.609438","3.637586","2.639057","6.841615","3.091042","2.772589","4.804021","1.098612","4.143135","1.609438","1.609438"
"TCGA-DD-A39V-00","3.178054","6.502790","2.708050","7.196687","2.708050","2.564949","2.397895","2.890372","6.350886","2.079442","2.833213","3.044522","5.710427","3.178054","2.079442","3.850148","3.951244","8.915567","1.945910","2.995732","8.033009","4.219508","1.791759","4.290459","2.833213","8.187577","3.637586","3.218876","6.093570","2.197225","4.394449","2.944439","1.609438"
