"","from","to"
"211","PIK3CA","IGF1R"
"212","TP53","IGF1R"
"213","AKT3","BAD"
"214","AKT1","BAD"
"215","AKT2","BAD"
"216","BCL2L1","BAD"
"217","AKT3","PDPK1"
"218","HRAS","PDPK1"
"219","KRAS","PDPK1"
"220","NRAS","PDPK1"
"221","PIK3CA","PDPK1"
"222","PIK3CB","PDPK1"
"223","PIK3CD","PDPK1"
"224","PIK3R1","PDPK1"
"225","PIK3R2","PDPK1"
"226","PIK3R3","PDPK1"
"227","PCYT1A","MAPK1"
"228","GRB2","MAPK1"
"229","PRKCA","MAPK1"
"230","PRKCB","MAPK1"
"231","PRKCG","MAPK1"
"232","MAP2K1","MAPK1"
"233","MAP2K2","MAPK1"
"234","HRAS","MAPK1"
"235","KRAS","MAPK1"
"236","NRAS","MAPK1"
"237","IGF1","MAPK1"
"238","EGFR","MAPK1"
"239","TP53","MAPK1"
"240","CCND1","MAPK1"
"241","CDK4","MAPK1"
"242","RB1","MAPK1"
"243","BAD","MAPK1"
"244","PCYT1A","MAPK3"
"245","PRKCA","MAPK3"
"246","IGF1","MAPK3"
"247","TP53","MAPK3"
"248","CCND1","MAPK3"
"249","CDK4","MAPK3"
"250","BAD","MAPK3"
"251","AKT3","PPP2CB"
"252","MAP2K1","PPP2CB"
"253","AKT3","PPP2R1A"
"254","MAP2K1","PPP2R1A"
"255","AKT3","PPP2R5A"
"256","TP53","BRCA2"
"257","BRCA2","FANCD2"
"258","BRCA2","FANCG"
"259","TP53","DUSP1"
"260","MAPK1","DUSP1"
"261","MAPK1","DUSP6"
"262","MAPK1","ELK4"
"263","MAPK3","ELK4"
"264","SMS","ELK1"
"265","GRB2","ELK1"
"266","SHC1","ELK1"
"267","PRKCA","ELK1"
"268","PRKCB","ELK1"
"269","PRKCG","ELK1"
"270","MAP2K1","ELK1"
"271","NRAS","ELK1"
"272","BCL2L1","ELK1"
"273","PIK3R1","ELK1"
"274","MAPK10","ELK1"
"275","CCND1","ELK1"
"276","MAPK1","ELK1"
"277","MAPK3","ELK1"
"278","ELK4","ELK1"
"279","TP53","GADD45G"
"280","TP53","GADD45A"
"281","TP53","GADD45B"
"282","TP53","TGFB1"
"283","PIK3CA","RAC1"
"284","PIK3CB","RAC1"
"285","PIK3CD","RAC1"
"286","PIK3R1","RAC1"
"287","PIK3R2","RAC1"
"288","PIK3R3","RAC1"
"289","MAPK1","RAC1"
"290","ELK1","RAC1"
"291","IL1RAP","MYD88"
"292","GRB2","EPHA2"
"293","SHC2","EPHA2"
"294","TP53","EPHA2"
"295","ELK1","EPHA2"
"296","SOS1","FGFR4"
"297","GRB2","FGFR4"
"298","SHC2","FGFR4"
"299","HRAS","FGFR4"
"300","GAB1","MET"
"301","GRB2","MET"
"302","SHC2","MET"
"303","HRAS","MET"
"304","HGF","MET"
"305","PIK3CA","MET"
"306","TP53","MET"
"307","GRB2","NGFR"
"308","SHC2","NGFR"
"309","SOS1","PDGFRA"
"310","GRB2","PDGFRA"
"311","SHC2","PDGFRA"
"312","HRAS","PDGFRA"
"313","PDGFD","PDGFRA"
"314","PIK3CA","PDGFRA"
"315","PRKCA","PLCB1"
"316","PRKCB","PLCB1"
"317","EGFR","PLCB1"
"318","IGF1R","PLCB1"
"319","EPHA2","PLCB1"
"320","FGFR4","PLCB1"
"321","MET","PLCB1"
"322","NGFR","PLCB1"
"323","PDGFRA","PLCB1"
"324","GNA14","PLCB1"
"325","PRKCA","PLCB2"
"326","PRKCB","PLCB2"
"327","EGFR","PLCB2"
"328","PRKCA","PLCG1"
"329","PRKCB","PLCG1"
"330","EGFR","PLCG1"
"331","PIK3CA","PLCG1"
"332","PIK3CB","PLCG1"
"333","PIK3CD","PLCG1"
"334","PIK3R1","PLCG1"
"335","PIK3R2","PLCG1"
"336","PIK3R3","PLCG1"
"337","IGF1R","PLCG1"
"338","FGFR4","PLCG1"
"339","MET","PLCG1"
"340","PDGFRA","PLCG1"
"341","PRKCA","PLCG2"
"342","PRKCB","PLCG2"
"343","PIK3CA","HOMER2"
"344","PIK3CA","HOMER1"
"345","TGFB1","TGFBR1"
"346","TGFB2","TGFBR1"
"347","TGFB3","TGFBR1"
"348","TGFB1","TGFBR2"
"349","TGFB2","TGFBR2"
"350","TGFB3","TGFBR2"
"351","TGFBR1","TGFBR2"
"352","AKT1","SMAD4"
"353","NRAS","SMAD4"
"354","CDKN1A","SMAD4"
"355","MAPK1","SMAD4"
"356","MAPK3","SMAD4"
"357","GADD45B","SMAD4"
"358","TGFB1","SMAD4"
"359","TGFBR1","SMAD4"
"360","TGFBR2","SMAD4"
"361","RB1","DGKZ"
"362","ELK1","DGKZ"
"363","TGFB2","AGTR1"
