"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"gene","NFYA","E2F2","BRCA1","ARID1B","TCF3","PTGS2","ACTL6B","SMARCA2","MET","GAB1","ATF2","PLCG1","FOSB","ELK1","SMARCA4","E2F5","MYC","TPMT","ANXA3","TP53","PIK3R1","SHC3","GMPS","SMAD3","CTNNB1","ATF5","FOS","GRB2","IMPDH2","FAF1","ARID2","MZT1","E2F4"
"TCGA-DD-A3A8-02","6.2205902","3.2958369","4.8598124","6.6982681","7.0647590","0.6931472","1.0986123","8.0199417","8.3684611","5.8805330","7.2341772","7.5374300","4.5108595","6.8564620","7.8152071","4.6539604","6.1441856","8.5336569","3.3322045","6.7499312","8.0235524","4.5951199","7.3211886","7.9571773","9.7211860","6.7742239","5.8550719","8.2571263","7.8954360","7.4955419","6.0776422","5.7203118","6.9716686"
"TCGA-CC-5258-02"," 8.025189"," 5.209486"," 6.100319"," 8.245909"," 7.619233"," 3.637586"," 2.197225"," 6.593045"," 9.139811"," 7.461066"," 8.111928"," 7.740230"," 4.077537"," 7.768533"," 8.419580"," 7.111512"," 8.971448"," 7.249926"," 2.484907"," 7.070724"," 7.943428"," 4.905275"," 8.905851"," 8.245909","10.404869"," 9.185330"," 7.216709"," 8.849084"," 9.530393"," 7.672758"," 7.275172"," 7.318540"," 7.231287"
"TCGA-5C-AAPD-02","6.326149","5.777652","6.148468","6.793466","7.679714","2.833213","1.098612","8.014997","7.661056","4.962845","7.118016","6.974479","6.028279","7.723120","8.222554","4.905275","5.552960","7.534228","3.091042","6.647688","7.340836","2.197225","8.243019","6.608001","8.210940","7.789869","7.771910","8.805075","7.266827","8.010692","5.866468","5.880533","7.599401"
"TCGA-ED-A459-02"," 6.436150"," 4.779123"," 6.558198"," 7.138073"," 6.785588"," 4.077537"," 3.663562"," 7.924796"," 8.829665"," 5.710427"," 7.445418"," 7.135687"," 7.150701"," 8.416931"," 8.516993"," 5.655992"," 7.263330"," 7.687539"," 3.218876"," 7.200425"," 8.095904"," 4.248495"," 8.102284"," 7.944137"," 9.072801","11.447939"," 8.759826"," 8.760767"," 8.165079"," 8.159375"," 6.259581"," 6.856462"," 5.236442"
"TCGA-DD-AADM-02","5.988961","4.262680","5.389072","6.006353","6.580639","1.791759","1.609438","7.177782","8.647519","5.529429","6.502790","5.843544","5.411646","6.682109","7.837160","4.663439","7.236339","8.149602","2.302585","7.338238","6.922644","1.791759","7.587817","6.909753","8.588769","9.177714","5.831882","8.143517","8.417594","7.622664","5.673323","4.934474","7.095893"
"TCGA-DD-A3A6-02","6.0063532","3.9512437","3.9702919","6.6580110","6.9196838","2.6390573","0.6931472","7.2167095","6.0661081","6.7068623","6.7369670","6.8648478","6.9975960","6.6080006","8.0589600","3.3672958","5.1647860","5.4026774","4.6539604","7.6889133","7.6989362","5.7899602","7.1123274","7.1623975","7.4377951","7.2181768","8.3929896","7.8493238","7.8766385","7.3078728","6.5337888","5.0434251","7.5038407"
"TCGA-FV-A3I1-02"," 7.170888"," 5.361292"," 6.040255"," 7.765993"," 7.132498"," 4.418841"," 2.197225"," 7.344073"," 9.616139"," 6.363028"," 7.681099"," 7.288928"," 7.295056"," 7.282761"," 8.075583"," 4.369448"," 7.700748"," 8.072779"," 3.610918"," 7.395108"," 7.778630"," 4.127134"," 7.640604"," 7.958926"," 9.426661","10.863374"," 8.965335"," 8.867568"," 8.605570"," 7.522400"," 6.628041"," 5.556828"," 7.551187"
"TCGA-ZS-A9CD-02","6.447306","3.555348","4.615121","7.073270","6.760415","3.526361","2.079442","7.520235","7.983781","5.327876","6.982863","6.769642","5.332719","6.787845","7.942718","4.442651","7.615791","7.672292","3.637586","7.593374","7.789869","3.367296","6.933423","7.344073","8.691146","9.857915","7.572503","8.200014","7.989899","7.186144","5.459586","5.552960","6.974479"
"TCGA-RG-A7D4-02","7.204149","5.389072","7.024649","7.568896","7.654443","2.639057","0.000000","6.423247","8.714075","6.066108","7.647786","7.599902","6.740519","7.145984","8.055792","5.318120","8.424859","7.431300","3.465736","7.548029","7.657755","3.091042","8.010028","7.671827","9.171703","7.021976","6.934397","8.767329","8.948586","7.387709","6.545350","6.710523","7.453562"
"TCGA-WX-AA46-02"," 6.727432"," 2.484907"," 4.634729"," 7.487174"," 6.426488"," 5.209486"," 0.000000"," 8.630165"," 9.004668"," 6.280396"," 7.388946"," 6.965080"," 9.915367"," 7.133296"," 7.632401"," 3.850148"," 9.049115"," 8.542081"," 4.820282"," 7.110696"," 9.113829"," 2.944439"," 7.305860"," 7.196687"," 9.188197","10.223177","10.264618"," 8.377241"," 8.165648"," 7.488853"," 6.532334"," 5.609472"," 7.030857"
