"","ENSEMBL","SYMBOL","ENTREZID"
"1225","ENSG00000073169","SELENOO","83642"
"1226","ENSG00000073282","TP63","8626"
"1227","ENSG00000073331","ALPK1","80216"
"1228","ENSG00000073350","LLGL2","3993"
"1229","ENSG00000073417","PDE8A","5151"
"1230","ENSG00000073464","CLCN4","1183"
"1231","ENSG00000073536","NLE1","54475"
"1232","ENSG00000073578","SDHA","6389"
"1233","ENSG00000073584","SMARCE1","6605"
"1234","ENSG00000073598","FNDC8","54752"
"1235","ENSG00000073605","GSDMB","55876"
"1236","ENSG00000073614","KDM5A","5927"
"1237","ENSG00000073670","ADAM11","4185"
"1238","ENSG00000073711","PPP2R3A","5523"
"1239","ENSG00000073712","FERMT2","10979"
"1240","ENSG00000073734","ABCB11","8647"
"1241","ENSG00000073737","DHRS9","10170"
"1242","ENSG00000073754","CD5L","922"
"1243","ENSG00000073756","PTGS2","5743"
"1244","ENSG00000073792","IGF2BP2","10644"
"1245","ENSG00000073803","MAP3K13","9175"
"1246","ENSG00000073849","ST6GAL1","6480"
"1247","ENSG00000073861","TBX21","30009"
"1249","ENSG00000073910","FRY","10129"
"1250","ENSG00000073921","PICALM","8301"
"1251","ENSG00000073969","NSF","4905"
"1252","ENSG00000074047","GLI2","2736"
"1253","ENSG00000074054","CLASP1","23332"
"1254","ENSG00000074071","MRPS34","65993"
"1255","ENSG00000074181","NOTCH3","4854"
"1256","ENSG00000074201","CLNS1A","1207"
"1257","ENSG00000074211","PPP2R2C","5522"
"1258","ENSG00000074219","TEAD2","8463"
"1259","ENSG00000074266","EED","8726"
"1260","ENSG00000074276","CDHR2","54825"
"1261","ENSG00000074317","SNCB","6620"
"1262","ENSG00000074319","TSG101","7251"
"1263","ENSG00000074356","NCBP3","55421"
"1264","ENSG00000074370","ATP2A3","489"
"1265","ENSG00000074410","CA12","771"
"1266","ENSG00000074416","MGLL","11343"
"1267","ENSG00000074527","NTN4","59277"
"1268","ENSG00000074582","BCS1L","617"
"1269","ENSG00000074590","NUAK1","9891"
"1270","ENSG00000074603","DPP8","54878"
"1271","ENSG00000074621","SLC24A1","9187"
"1272","ENSG00000074657","ZNF532","55205"
"1273","ENSG00000074660","SCARF1","8578"
"1274","ENSG00000074695","LMAN1","3998"
"1275","ENSG00000074696","HACD3","51495"
"1276","ENSG00000074706","IPCEF1","26034"
"1277","ENSG00000074755","ZZEF1","23140"
"1278","ENSG00000074771","NOX3","50508"
"1279","ENSG00000074800","ENO1","2023"
"1280","ENSG00000074803","SLC12A1","6557"
"1281","ENSG00000074842","MYDGF","56005"
"1282","ENSG00000074855","ANO8","57719"
"1283","ENSG00000074935","TUBE1","51175"
"1284","ENSG00000074964","ARHGEF10L","55160"
"1285","ENSG00000074966","TXK","7294"
"1286","ENSG00000075035","WSCD2","9671"
"1287","ENSG00000075043","KCNQ2","3785"
"1288","ENSG00000075073","TACR2","6865"
"1289","ENSG00000075089","ACTR6","64431"
"1290","ENSG00000075131","TIPIN","54962"
"1291","ENSG00000075142","SRI","6717"
"1292","ENSG00000075151","EIF4G3","8672"
"1293","ENSG00000075188","NUP37","79023"
"1294","ENSG00000075213","SEMA3A","10371"
"1295","ENSG00000075218","GTSE1","51512"
"1296","ENSG00000075223","SEMA3C","10512"
"1297","ENSG00000075234","TTC38","55020"
"1298","ENSG00000075239","ACAT1","38"
"1299","ENSG00000075240","GRAMD4","23151"
"1300","ENSG00000075275","CELSR1","9620"
"1301","ENSG00000075290","WNT8B","7479"
"1302","ENSG00000075292","ZNF638","27332"
"1303","ENSG00000075303","SLC25A40","55972"
"1304","ENSG00000075336","TIMM21","29090"
"1305","ENSG00000075340","ADD2","119"
"1306","ENSG00000075388","FGF4","2249"
"1307","ENSG00000075391","RASAL2","9462"
"1308","ENSG00000075399","VPS9D1","9605"
"1309","ENSG00000075407","ZNF37A","7587"
"1310","ENSG00000075413","MARK3","4140"
"1311","ENSG00000075415","SLC25A3","5250"
"1312","ENSG00000075420","FNDC3B","64778"
"1313","ENSG00000075426","FOSL2","2355"
"1314","ENSG00000075429","CACNG5","27091"
"1315","ENSG00000075461","CACNG4","27092"
"1316","ENSG00000075539","FRYL","285527"
"1317","ENSG00000075568","TMEM131","23505"
"1318","ENSG00000075618","FSCN1","6624"
"1319","ENSG00000075624","ACTB","60"
"1320","ENSG00000075643","MOCOS","55034"
"1321","ENSG00000075651","PLD1","5337"
"1322","ENSG00000075673","ATP12A","479"
"1323","ENSG00000075702","WDR62","284403"
"1324","ENSG00000075711","DLG1","1739"
"1325","ENSG00000075785","RAB7A","7879"
"1326","ENSG00000075790","BCAP29","55973"
"1327","ENSG00000075826","SEC31B","25956"
"1328","ENSG00000075856","SART3","9733"
"1329","ENSG00000075884","ARHGAP15","55843"
"1330","ENSG00000075886","TUBA3D","113457"
"1331","ENSG00000075891","PAX2","5076"
"1332","ENSG00000075914","EXOSC7","23016"
"1333","ENSG00000075945","KIFAP3","22920"
"1334","ENSG00000075975","MKRN2","23609"
"1335","ENSG00000076003","MCM6","4175"
"1336","ENSG00000076043","REXO2","25996"
"1337","ENSG00000076053","RBM7","10179"
"1338","ENSG00000076067","RBMS2","5939"
"1339","ENSG00000076108","BAZ2A","11176"
"1340","ENSG00000076201","PTPN23","25930"
"1341","ENSG00000076242","MLH1","4292"
"1342","ENSG00000076248","UNG","7374"
"1343","ENSG00000076258","FMO4","2329"
"1344","ENSG00000076321","KLHL20","27252"
"1345","ENSG00000076344","RGS11","8786"
"1346","ENSG00000076351","SLC46A1","113235"
"1347","ENSG00000076356","PLXNA2","5362"
"1348","ENSG00000076382","SPAG5","10615"
"1349","ENSG00000076513","ANKRD13A","88455"
"1350","ENSG00000076554","TPD52","7163"
"1351","ENSG00000076555","ACACB","32"
"1352","ENSG00000076604","TRAF4","9618"
"1353","ENSG00000076641","PAG1","55824"
"1354","ENSG00000076650","GPATCH1","55094"
"1355","ENSG00000076662","ICAM3","3385"
"1356","ENSG00000076685","NT5C2","22978"
"1357","ENSG00000076706","MCAM","4162"
"1358","ENSG00000076716","GPC4","2239"
"1359","ENSG00000076770","MBNL3","55796"
"1360","ENSG00000076826","CAMSAP3","57662"
"1361","ENSG00000076864","RAP1GAP","5909"
"1362","ENSG00000076924","XAB2","56949"
"1363","ENSG00000076928","ARHGEF1","9138"
"1364","ENSG00000076944","STXBP2","6813"
"1365","ENSG00000076984","MAP2K7","5609"
"1366","ENSG00000077009","NMRK2","27231"
"1367","ENSG00000077044","DGKD","8527"
"1368","ENSG00000077063","CTTNBP2","83992"
"1369","ENSG00000077080","ACTL6B","51412"
"1370","ENSG00000077092","RARB","5915"
"1371","ENSG00000077097","TOP2B","7155"
"1372","ENSG00000077147","TM9SF3","56889"
"1373","ENSG00000077150","NFKB2","4791"
"1374","ENSG00000077152","UBE2T","29089"
"1375","ENSG00000077157","PPP1R12B","4660"
"1376","ENSG00000077232","DNAJC10","54431"
"1377","ENSG00000077235","GTF3C1","2975"
"1378","ENSG00000077238","IL4R","3566"
"1379","ENSG00000077254","USP33","23032"
"1380","ENSG00000077264","PAK3","5063"
"1381","ENSG00000077274","CAPN6","827"
"1382","ENSG00000077279","DCX","1641"
"1383","ENSG00000077312","SNRPA","6626"
"1384","ENSG00000077327","SPAG6","9576"
"1385","ENSG00000077348","EXOSC5","56915"
"1386","ENSG00000077380","DYNC1I2","1781"
"1387","ENSG00000077420","APBB1IP","54518"
"1388","ENSG00000077454","LRCH4","4034"
"1389","ENSG00000077458","FAM76B","143684"
"1390","ENSG00000077463","SIRT6","51548"
"1391","ENSG00000077498","TYR","7299"
"1392","ENSG00000077514","POLD3","10714"
"1393","ENSG00000077522","ACTN2","88"
"1394","ENSG00000077549","CAPZB","832"
"1395","ENSG00000077585","GPR137B","7107"
"1396","ENSG00000077616","NAALAD2","10003"
"1397","ENSG00000077684","JADE1","79960"
"1398","ENSG00000077713","SLC25A43","203427"
"1399","ENSG00000077721","UBE2A","7319"
"1400","ENSG00000077782","FGFR1","2260"
"1401","ENSG00000077800","FKBP6","8468"
"1402","ENSG00000077935","SMC1B","27127"
"1403","ENSG00000077942","FBLN1","2192"
"1404","ENSG00000077943","ITGA8","8516"
"1405","ENSG00000077984","CST7","8530"
"1406","ENSG00000078018","MAP2","4133"
"1407","ENSG00000078043","PIAS2","9063"
"1408","ENSG00000078053","AMPH","273"
"1409","ENSG00000078061","ARAF","369"
"1410","ENSG00000078070","MCCC1","56922"
"1411","ENSG00000078081","LAMP3","27074"
"1412","ENSG00000078098","FAP","2191"
"1413","ENSG00000078114","NEBL","10529"
"1414","ENSG00000078124","ACER3","55331"
"1415","ENSG00000078140","UBE2K","3093"
"1416","ENSG00000078142","PIK3C3","5289"
"1417","ENSG00000078177","N4BP2","55728"
"1418","ENSG00000078237","TIGAR","57103"
"1419","ENSG00000078246","TULP3","7289"
"1420","ENSG00000078269","SYNJ2","8871"
"1421","ENSG00000078295","ADCY2","108"
"1422","ENSG00000078304","PPP2R5C","5527"
"1424","ENSG00000078328","RBFOX1","54715"
"1425","ENSG00000078369","GNB1","2782"
"1426","ENSG00000078399","HOXA9","3205"
"1427","ENSG00000078401","EDN1","1906"
"1428","ENSG00000078403","MLLT10","8028"
"1429","ENSG00000078487","ZCWPW1","55063"
"1430","ENSG00000078549","ADCYAP1R1","117"
"1431","ENSG00000078579","FGF20","26281"
"1432","ENSG00000078589","P2RY10","27334"
"1433","ENSG00000078596","ITM2A","9452"
"1434","ENSG00000078618","NRDC","4898"
"1435","ENSG00000078668","VDAC3","7419"
"1436","ENSG00000078674","PCM1","5108"
"1437","ENSG00000078687","TNRC6C","57690"
"1438","ENSG00000078699","CBFA2T2","9139"
"1439","ENSG00000078725","BRINP1","1620"
"1440","ENSG00000078747","ITCH","83737"
"1441","ENSG00000078795","PKD2L2","27039"
"1442","ENSG00000078804","TP53INP2","58476"
"1443","ENSG00000078808","SDF4","51150"
"1444","ENSG00000078814","MYH7B","57644"
"1445","ENSG00000078898","BPIFB2","80341"
"1446","ENSG00000078900","TP73","7161"
"1447","ENSG00000078902","TOLLIP","54472"
"1448","ENSG00000078967","UBE2D4","51619"
"1449","ENSG00000079101","CLUL1","27098"
"1450","ENSG00000079102","RUNX1T1","862"
"1451","ENSG00000079112","CDH17","1015"
"1452","ENSG00000079134","THOC1","9984"
"1453","ENSG00000079150","FKBP7","51661"
"1454","ENSG00000079156","OSBPL6","114880"
"1455","ENSG00000079215","SLC1A3","6507"
"1456","ENSG00000079246","XRCC5","7520"
"1457","ENSG00000079257","LXN","56925"
"1458","ENSG00000079263","SP140","11262"
"1459","ENSG00000079277","MKNK1","8569"
"1460","ENSG00000079308","TNS1","7145"
"1461","ENSG00000079313","REXO1","57455"
"1462","ENSG00000079332","SAR1A","56681"
"1463","ENSG00000079335","CDC14A","8556"
"1464","ENSG00000079337","RAPGEF3","10411"
"1465","ENSG00000079385","CEACAM1","634"
"1466","ENSG00000079387","SENP1","29843"
"1467","ENSG00000079393","DUSP13","51207"
"1468","ENSG00000079432","CIC","23152"
"1469","ENSG00000079435","LIPE","3991"
"1470","ENSG00000079459","FDFT1","2222"
"1471","ENSG00000079462","PAFAH1B3","5050"
"1472","ENSG00000079482","OPHN1","4983"
"1473","ENSG00000079557","AFM","173"
"1474","ENSG00000079616","KIF22","3835"
"1475","ENSG00000079689","SCGN","10590"
"1476","ENSG00000079691","CARMIL1","55604"
"1477","ENSG00000079739","PGM1","5236"
"1478","ENSG00000079785","DDX1","1653"
"1479","ENSG00000079805","DNM2","1785"
"1480","ENSG00000079819","EPB41L2","2037"
"1481","ENSG00000079841","RIMS1","22999"
"1482","ENSG00000079931","MOXD1","26002"
"1483","ENSG00000079950","STX7","8417"
"1484","ENSG00000079974","RABL2B","11158"
"1485","ENSG00000079999","KEAP1","9817"
"1486","ENSG00000080007","DDX43","55510"
"1487","ENSG00000080031","PTPRH","5794"
"1488","ENSG00000080166","DCT","1638"
"1489","ENSG00000080189","SLC35C2","51006"
"1490","ENSG00000080200","CRYBG3","131544"
"1491","ENSG00000080224","EPHA6","285220"
"1492","ENSG00000080293","SCTR","6344"
"1493","ENSG00000080298","RFX3","5991"
"1494","ENSG00000080345","RIF1","55183"
"1495","ENSG00000080371","RAB21","23011"
"1496","ENSG00000080493","SLC4A4","8671"
"1497","ENSG00000080503","SMARCA2","6595"
"1498","ENSG00000080511","RDH8","50700"
"1499","ENSG00000080546","SESN1","27244"
"1500","ENSG00000080561","MID2","11043"
"1501","ENSG00000080572","DNAAF6","139212"
"1502","ENSG00000080573","COL5A3","50509"
"1503","ENSG00000080603","SRCAP","10847"
"1504","ENSG00000080608","PUM3","9933"
"1505","ENSG00000080618","CPB2","1361"
"1506","ENSG00000080644","CHRNA3","1136"
"1507","ENSG00000080709","KCNN2","3781"
"1508","ENSG00000080802","CNOT4","4850"
"1509","ENSG00000080815","PSEN1","5663"
"1510","ENSG00000080819","CPOX","1371"
"1511","ENSG00000080822","CLDND1","56650"
"1512","ENSG00000080823","MOK","5891"
"1513","ENSG00000080824","HSP90AA1","3320"
"1514","ENSG00000080839","RBL1","5933"
"1515","ENSG00000080845","DLGAP4","22839"
"1516","ENSG00000080854","IGSF9B","22997"
"1517","ENSG00000080910","CFHR2","3080"
"1518","ENSG00000080947","CROCCP3","114819"
"1519","ENSG00000080986","NDC80","10403"
"1520","ENSG00000081014","AP4E1","23431"
"1521","ENSG00000081019","RSBN1","54665"
"1522","ENSG00000081026","MAGI3","260425"
"1523","ENSG00000081041","CXCL2","2920"
"1524","ENSG00000081051","AFP","174"
"1525","ENSG00000081052","COL4A4","1286"
"1526","ENSG00000081059","TCF7","6932"
"1527","ENSG00000081087","OSTM1","28962"
"1528","ENSG00000081138","CDH7","1005"
"1529","ENSG00000081148","IMPG2","50939"
"1530","ENSG00000081154","PCNP","57092"
"1531","ENSG00000081177","EXD2","55218"
"1532","ENSG00000081181","ARG2","384"
"1533","ENSG00000081189","MEF2C","4208"
"1534","ENSG00000081237","PTPRC","5788"
"1535","ENSG00000081248","CACNA1S","779"
"1536","ENSG00000081277","PKP1","5317"
"1537","ENSG00000081307","UBA5","79876"
"1538","ENSG00000081320","STK17B","9262"
"1539","ENSG00000081377","CDC14B","8555"
"1540","ENSG00000081386","ZNF510","22869"
"1541","ENSG00000081479","LRP2","4036"
"1542","ENSG00000081665","ZNF506","440515"
"1543","ENSG00000081692","JMJD4","65094"
"1544","ENSG00000081721","DUSP12","11266"
"1545","ENSG00000081760","AACS","65985"
"1546","ENSG00000081791","DELE1","9812"
"1547","ENSG00000081800","SLC13A1","6561"
"1548","ENSG00000081803","CADPS2","93664"
"1549","ENSG00000081818","PCDHB4","56131"
"1550","ENSG00000081842","PCDHA6","56142"
"1551","ENSG00000081853","PCDHGA2","56113"
"1552","ENSG00000081870","HSPB11","51668"
"1553","ENSG00000081913","PHLPP1","23239"
"1554","ENSG00000081923","ATP8B1","5205"
"1555","ENSG00000081985","IL12RB2","3595"
"1556","ENSG00000082014","SMARCD3","6604"
"1557","ENSG00000082068","WDR70","55100"
"1558","ENSG00000082074","FYB1","2533"
"1559","ENSG00000082126","MPP4","58538"
"1560","ENSG00000082146","STRADB","55437"
"1561","ENSG00000082153","BZW1","9689"
"1562","ENSG00000082175","PGR","5241"
"1563","ENSG00000082196","C1QTNF3","114899"
"1564","ENSG00000082212","ME2","4200"
"1565","ENSG00000082213","C5orf22","55322"
"1566","ENSG00000082258","CCNT2","905"
"1567","ENSG00000082269","FAM135A","57579"
"1568","ENSG00000082293","COL19A1","1310"
"1569","ENSG00000082397","EPB41L3","23136"
"1570","ENSG00000082438","COBLL1","22837"
"1571","ENSG00000082458","DLG3","1741"
"1572","ENSG00000082482","KCNK2","3776"
"1573","ENSG00000082497","SERTAD4","56256"
"1574","ENSG00000082512","TRAF5","7188"
"1575","ENSG00000082515","MRPL22","29093"
"1576","ENSG00000082516","GEMIN5","25929"
"1577","ENSG00000082556","OPRK1","4986"
"1578","ENSG00000082641","NFE2L1","4779"
"1579","ENSG00000082684","SEMA5B","54437"
"1580","ENSG00000082701","GSK3B","2932"
"1581","ENSG00000082781","ITGB5","3693"
"1582","ENSG00000082805","ERC1","23085"
"1583","ENSG00000082898","XPO1","7514"
"1584","ENSG00000082929","LINC01587","10141"
"1585","ENSG00000082996","RNF13","11342"
"1586","ENSG00000083067","TRPM3","80036"
"1587","ENSG00000083093","PALB2","79728"
"1588","ENSG00000083097","DOP1A","23033"
"1589","ENSG00000083099","LYRM2","57226"
"1590","ENSG00000083123","BCKDHB","594"
"1591","ENSG00000083168","KAT6A","7994"
"1592","ENSG00000083223","TUT7","79670"
"1593","ENSG00000083290","ULK2","9706"
"1594","ENSG00000083307","GRHL2","79977"
"1595","ENSG00000083312","TNPO1","3842"
"1596","ENSG00000083444","PLOD1","5351"
"1597","ENSG00000083454","P2RX5","5026"
"1598","ENSG00000083457","ITGAE","3682"
"1599","ENSG00000083520","DIS3","22894"
"1600","ENSG00000083535","PIBF1","10464"
"1601","ENSG00000083544","TDRD3","81550"
"1603","ENSG00000083635","NUFIP1","26747"
"1604","ENSG00000083642","PDS5B","23047"
"1605","ENSG00000083720","OXCT1","5019"
"1606","ENSG00000083750","RRAGB","10325"
"1607","ENSG00000083782","EPYC","1833"
"1608","ENSG00000083799","CYLD","1540"
"1609","ENSG00000083807","SLC27A5","10998"
"1610","ENSG00000083812","ZNF324","25799"
"1611","ENSG00000083814","ZNF671","79891"
"1612","ENSG00000083817","ZNF416","55659"
"1613","ENSG00000083828","ZNF586","54807"
"1614","ENSG00000083838","ZNF446","55663"
"1615","ENSG00000083844","ZNF264","9422"
"1616","ENSG00000083845","RPS5","6193"
"1617","ENSG00000083857","FAT1","2195"
"1618","ENSG00000083896","YTHDC1","91746"
"1619","ENSG00000083937","CHMP2B","25978"
"1620","ENSG00000084070","SMAP2","64744"
"1621","ENSG00000084072","PPIE","10450"
"1622","ENSG00000084073","ZMPSTE24","10269"
"1623","ENSG00000084090","STARD7","56910"
"1624","ENSG00000084092","NOA1","84273"
"1625","ENSG00000084093","REST","5978"
"1626","ENSG00000084110","HAL","3034"
"1627","ENSG00000084112","SSH1","54434"
"1628","ENSG00000084207","GSTP1","2950"
"1629","ENSG00000084234","APLP2","334"
"1630","ENSG00000084444","FAM234B","57613"
"1631","ENSG00000084453","SLCO1A2","6579"
"1632","ENSG00000084463","WBP11","51729"
"1633","ENSG00000084623","EIF3I","8668"
"1634","ENSG00000084628","NKAIN1","79570"
"1635","ENSG00000084636","COL16A1","1307"
"1636","ENSG00000084652","TXLNA","200081"
"1637","ENSG00000084674","APOB","338"
"1638","ENSG00000084676","NCOA1","8648"
"1639","ENSG00000084693","AGBL5","60509"
"1640","ENSG00000084710","EFR3B","22979"
"1641","ENSG00000084731","KIF3C","3797"
"1642","ENSG00000084733","RAB10","10890"
"1643","ENSG00000084734","GCKR","2646"
"1644","ENSG00000084754","HADHA","3030"
"1645","ENSG00000084764","MAPRE3","22924"
"1646","ENSG00000084774","CAD","790"
"1647","ENSG00000085063","CD59","966"
"1648","ENSG00000085117","CD82","3732"
"1649","ENSG00000085185","BCORL1","63035"
"1650","ENSG00000085224","ATRX","546"
"1651","ENSG00000085231","AK6","102157402"
"1652","ENSG00000085265","FCN1","2219"
"1653","ENSG00000085274","MYNN","55892"
"1654","ENSG00000085276","MECOM","2122"
"1655","ENSG00000085365","SCAMP1","9522"
"1656","ENSG00000085377","PREP","5550"
"1657","ENSG00000085382","HACE1","57531"
"1658","ENSG00000085415","SEH1L","81929"
"1659","ENSG00000085433","WDR47","22911"
"1660","ENSG00000085449","WDFY1","57590"
"1661","ENSG00000085465","OVGP1","5016"
"1662","ENSG00000085491","SLC25A24","29957"
"1663","ENSG00000085511","MAP3K4","4216"
"1664","ENSG00000085514","PILRA","29992"
"1665","ENSG00000085552","IGSF9","57549"
"1666","ENSG00000085563","ABCB1","5243"
"1667","ENSG00000085644","ZNF213","7760"
"1668","ENSG00000085662","AKR1B1","231"
"1669","ENSG00000085719","CPNE3","8895"
"1670","ENSG00000085721","RRN3","54700"
"1671","ENSG00000085733","CTTN","2017"
"1672","ENSG00000085741","WNT11","7481"
"1673","ENSG00000085760","MTIF2","4528"
"1674","ENSG00000085788","DDHD2","23259"
"1675","ENSG00000085831","TTC39A","22996"
"1676","ENSG00000085832","EPS15","2060"
"1677","ENSG00000085840","ORC1","4998"
"1678","ENSG00000085871","MGST2","4258"
"1679","ENSG00000085872","CHERP","10523"
"1680","ENSG00000085978","ATG16L1","55054"
"1681","ENSG00000085982","USP40","55230"
"1682","ENSG00000085998","POMGNT1","55624"
"1683","ENSG00000085999","RAD54L","8438"
"1684","ENSG00000086015","MAST2","23139"
"1685","ENSG00000086061","DNAJA1","3301"
"1686","ENSG00000086062","B4GALT1","2683"
"1687","ENSG00000086065","CHMP5","51510"
"1688","ENSG00000086102","NFX1","4799"
"1689","ENSG00000086159","AQP6","363"
"1690","ENSG00000086189","DIMT1","27292"
"1691","ENSG00000086200","IPO11","51194"
"1692","ENSG00000086200","IPO11-LRRC70","101180901"
"1693","ENSG00000086205","FOLH1","2346"
"1694","ENSG00000086232","EIF2AK1","27102"
"1695","ENSG00000086288","NME8","51314"
"1696","ENSG00000086289","EPDR1","54749"
"1697","ENSG00000086300","SNX10","29887"
"1698","ENSG00000086475","SEPHS1","22929"
"1699","ENSG00000086504","MRPL28","10573"
"1700","ENSG00000086506","HBQ1","3049"
"1701","ENSG00000086544","ITPKC","80271"
"1702","ENSG00000086548","CEACAM6","4680"
"1703","ENSG00000086570","FAT2","2196"
"1704","ENSG00000086589","RBM22","55696"
"1705","ENSG00000086598","TMED2","10959"
"1706","ENSG00000086619","ERO1B","56605"
"1707","ENSG00000086666","ZFAND6","54469"
"1708","ENSG00000086696","HSD17B2","3294"
"1709","ENSG00000086712","TXLNG","55787"
"1710","ENSG00000086717","PPEF1","5475"
"1711","ENSG00000086730","LAT2","7462"
"1712","ENSG00000086758","HUWE1","10075"
"1713","ENSG00000086827","ZW10","9183"
"1714","ENSG00000086848","ALG9","79796"
"1715","ENSG00000086967","MYBPC2","4606"
"1716","ENSG00000086991","NOX4","50507"
"1717","ENSG00000087008","ACOX3","8310"
"1718","ENSG00000087053","MTMR2","8898"
"1719","ENSG00000087074","PPP1R15A","23645"
"1720","ENSG00000087076","HSD17B14","51171"
"1721","ENSG00000087077","TRIP6","7205"
"1722","ENSG00000087085","ACHE","43"
"1723","ENSG00000087086","FTL","2512"
"1724","ENSG00000087087","SRRT","51593"
"1725","ENSG00000087088","BAX","581"
"1726","ENSG00000087095","NLK","51701"
"1727","ENSG00000087111","PIGS","94005"
"1728","ENSG00000087116","ADAMTS2","9509"
"1729","ENSG00000087128","TMPRSS11E","28983"
"1730","ENSG00000087152","ATXN7L3","56970"
"1731","ENSG00000087157","PGS1","9489"
"1732","ENSG00000087191","PSMC5","5705"
"1733","ENSG00000087206","UIMC1","51720"
"1734","ENSG00000087237","CETP","1071"
"1735","ENSG00000087245","MMP2","4313"
"1736","ENSG00000087250","MT3","4504"
"1737","ENSG00000087253","LPCAT2","54947"
"1738","ENSG00000087258","GNAO1","2775"
"1739","ENSG00000087263","OGFOD1","55239"
"1740","ENSG00000087266","SH3BP2","6452"
"1741","ENSG00000087269","NOP14","8602"
"1742","ENSG00000087274","ADD1","118"
"1743","ENSG00000087299","L2HGDH","79944"
"1744","ENSG00000087301","TXNDC16","57544"
"1745","ENSG00000087302","RTRAF","51637"
"1746","ENSG00000087303","NID2","22795"
"1747","ENSG00000087338","GMCL1","64395"
"1748","ENSG00000087365","SF3B2","10992"
"1749","ENSG00000087448","KLHL42","57542"
"1750","ENSG00000087460","GNAS","2778"
"1751","ENSG00000087470","DNM1L","10059"
"1752","ENSG00000087494","PTHLH","5744"
"1753","ENSG00000087495","PHACTR3","116154"
"1754","ENSG00000087502","ERGIC2","51290"
"1755","ENSG00000087510","TFAP2C","7022"
"1756","ENSG00000087586","AURKA","6790"
"1757","ENSG00000087589","CASS4","57091"
"1758","ENSG00000087842","PIR","8544"
"1759","ENSG00000087884","AAMDC","28971"
"1760","ENSG00000087903","RFX2","5990"
"1761","ENSG00000087995","METTL2A","339175"
"1762","ENSG00000088002","SULT2B1","6820"
"1763","ENSG00000088035","ALG6","29929"
"1764","ENSG00000088038","CNOT3","4849"
"1765","ENSG00000088053","GP6","51206"
"1766","ENSG00000088179","PTPN4","5775"
"1767","ENSG00000088205","DDX18","8886"
"1768","ENSG00000088247","KHSRP","8570"
"1769","ENSG00000088256","GNA11","2767"
"1770","ENSG00000088280","ASAP3","55616"
"1771","ENSG00000088298","EDEM2","55741"
"1772","ENSG00000088298","MMP24-AS1-EDEM2","111089941"
"1773","ENSG00000088305","DNMT3B","1789"
"1774","ENSG00000088320","REM1","28954"
"1775","ENSG00000088325","TPX2","22974"
"1776","ENSG00000088340","FER1L4","80307"
"1777","ENSG00000088356","PDRG1","81572"
"1778","ENSG00000088367","EPB41L1","2036"
"1779","ENSG00000088386","SLC15A1","6564"
"1780","ENSG00000088387","DOCK9","23348"
"1781","ENSG00000088448","ANKRD10","55608"
"1782","ENSG00000088451","TGDS","23483"
"1783","ENSG00000088538","DOCK3","1795"
"1784","ENSG00000088543","C3orf18","51161"
"1785","ENSG00000088682","COQ9","57017"
"1786","ENSG00000088726","TMEM40","55287"
"1787","ENSG00000088727","KIF9","64147"
"1788","ENSG00000088756","ARHGAP28","79822"
"1789","ENSG00000088766","CRLS1","54675"
"1790","ENSG00000088782","DEFB127","140850"
"1791","ENSG00000088808","PPP1R13B","23368"
"1792","ENSG00000088812","ATRN","8455"
"1793","ENSG00000088826","SMOX","54498"
"1794","ENSG00000088827","SIGLEC1","6614"
"1795","ENSG00000088832","FKBP1A","2280"
"1796","ENSG00000088833","NSFL1C","55968"
"1797","ENSG00000088836","SLC4A11","83959"
"1798","ENSG00000088854","DNAAF9","25943"
"1799","ENSG00000088876","ZNF343","79175"
"1800","ENSG00000088881","EBF4","57593"
"1801","ENSG00000088882","CPXM1","56265"
"1802","ENSG00000088888","MAVS","57506"
"1803","ENSG00000088899","LZTS3","9762"
"1804","ENSG00000088926","F11","2160"
"1805","ENSG00000088930","XRN2","22803"
"1806","ENSG00000088970","KIZ","55857"
"1807","ENSG00000088986","DYNLL1","8655"
"1808","ENSG00000088992","TESC","54997"
"1809","ENSG00000089006","SNX5","27131"
"1810","ENSG00000089009","RPL6","6128"
"1811","ENSG00000089012","SIRPG","55423"
"1812","ENSG00000089022","MAPKAPK5","8550"
"1813","ENSG00000089041","P2RX7","5027"
"1814","ENSG00000089048","ESF1","51575"
"1815","ENSG00000089050","RBBP9","10741"
"1816","ENSG00000089053","ANAPC5","51433"
"1817","ENSG00000089057","SLC23A2","9962"
"1818","ENSG00000089060","SLC8B1","80024"
"1819","ENSG00000089063","TMEM230","29058"
"1820","ENSG00000089091","DZANK1","55184"
"1821","ENSG00000089094","KDM2B","84678"
"1822","ENSG00000089101","CFAP61","26074"
"1823","ENSG00000089116","LHX5","64211"
"1824","ENSG00000089123","TASP1","55617"
"1825","ENSG00000089127","OAS1","4938"
"1826","ENSG00000089154","GCN1","10985"
"1827","ENSG00000089157","RPLP0","6175"
"1828","ENSG00000089159","PXN","5829"
"1829","ENSG00000089163","SIRT4","23409"
"1830","ENSG00000089169","RPH3A","22895"
"1831","ENSG00000089177","KIF16B","55614"
"1832","ENSG00000089195","TRMT6","51605"
"1833","ENSG00000089199","CHGB","1114"
"1834","ENSG00000089220","PEBP1","5037"
"1835","ENSG00000089225","TBX5","6910"
"1836","ENSG00000089234","BRAP","8315"
"1837","ENSG00000089248","ERP29","10961"
"1838","ENSG00000089250","NOS1","4842"
"1839","ENSG00000089280","FUS","2521"
