"","ENSEMBL","SYMBOL","ENTREZID"
"66","ENSG00000004864","SLC25A13","10165"
"67","ENSG00000004866","ST7","7982"
"68","ENSG00000004866","ST7-OT3","93655"
"69","ENSG00000004897","CDC27","996"
"70","ENSG00000004939","SLC4A1","6521"
"71","ENSG00000004948","CALCR","799"
"72","ENSG00000004961","HCCS","3052"
"73","ENSG00000004975","DVL2","1856"
"74","ENSG00000005001","PRSS22","64063"
"75","ENSG00000005007","UPF1","5976"
"76","ENSG00000005020","SKAP2","8935"
"77","ENSG00000005022","SLC25A5","292"
"78","ENSG00000005059","MCUB","55013"
"79","ENSG00000005073","HOXA11","3207"
"80","ENSG00000005075","POLR2J","5439"
"81","ENSG00000005100","DHX33","56919"
"82","ENSG00000005102","MEOX1","4222"
"83","ENSG00000005108","THSD7A","221981"
"84","ENSG00000005156","LIG3","3980"
"85","ENSG00000005175","RPAP3","79657"
"86","ENSG00000005187","ACSM3","6296"
"87","ENSG00000005189","REXO5","81691"
"88","ENSG00000005194","CIAPIN1","57019"
"89","ENSG00000005206","SPPL2B","56928"
"90","ENSG00000005238","ATOSB","80256"
"91","ENSG00000005243","COPZ2","51226"
"92","ENSG00000005249","PRKAR2B","5577"
"93","ENSG00000005302","MSL3","10943"
"94","ENSG00000005339","CREBBP","1387"
"95","ENSG00000005379","TSPOAP1","9256"
"96","ENSG00000005381","MPO","4353"
"97","ENSG00000005421","PON1","5444"
"98","ENSG00000005436","GCFC2","6936"
"99","ENSG00000005448","WDR54","84058"
"100","ENSG00000005469","CROT","54677"
"101","ENSG00000005471","ABCB4","5244"
"102","ENSG00000005483","KMT2E","55904"
"103","ENSG00000005486","RHBDD2","57414"
"104","ENSG00000005513","SOX8","30812"
"105","ENSG00000005700","IBTK","25998"
"106","ENSG00000005801","ZNF195","7748"
"107","ENSG00000005810","MYCBP2","23077"
"108","ENSG00000005812","FBXL3","26224"
"109","ENSG00000005844","ITGAL","3683"
"110","ENSG00000005882","PDK2","5164"
"111","ENSG00000005884","ITGA3","3675"
"112","ENSG00000005889","ZFX","7543"
"113","ENSG00000005893","LAMP2","3920"
"114","ENSG00000005961","ITGA2B","3674"
"115","ENSG00000005981","ASB4","51666"
"116","ENSG00000006007","GDE1","51573"
"117","ENSG00000006015","REX1BD","55049"
"118","ENSG00000006016","CRLF1","9244"
"119","ENSG00000006025","OSBPL7","114881"
"120","ENSG00000006042","TMEM98","26022"
"121","ENSG00000006047","YBX2","51087"
"122","ENSG00000006059","KRT33A","3883"
"123","ENSG00000006062","MAP3K14","9020"
"124","ENSG00000006071","ABCC8","6833"
"125","ENSG00000006116","CACNG3","10368"
"126","ENSG00000006118","TMEM132A","54972"
"127","ENSG00000006125","AP2B1","163"
"128","ENSG00000006128","TAC1","6863"
"129","ENSG00000006194","ZNF263","10127"
"130","ENSG00000006210","CX3CL1","6376"
"131","ENSG00000006282","SPATA20","64847"
"132","ENSG00000006283","CACNA1G","8913"
"133","ENSG00000006327","TNFRSF12A","51330"
"134","ENSG00000006377","DLX6","1750"
