"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
"gene","MARCO","TARBP1","ASPM","PABPC1","HMMR","TUBE1","CLEC4M","CAP2","DNAJC6","CFP","ANGPTL6","LYVE1","STAB2","OIT3","CYP1A2","FCN3","PPOX","ECM1","NVL","CRHBP","TIMD4","RSPO3","CLTRN","NAT2","FCN2","DIRAS3","GMPS","DNASE1L3","CLEC1B","MFSD2A","ITLN1","CLEC4G","COLEC10"
"TCGA-BC-A10X-00"," 8.160232"," 6.133398"," 4.718499","10.305580"," 3.737670"," 7.846981"," 7.315884"," 5.613128"," 3.806662"," 4.488636"," 6.597146"," 7.774015"," 7.230563"," 8.586159","11.285360"," 8.883779"," 5.963579"," 8.204672"," 5.648974"," 8.524963"," 5.771441"," 6.047372"," 6.910751"," 8.182839"," 8.101072"," 6.331502"," 7.321850"," 8.769041"," 6.455199"," 9.219994"," 5.278115"," 0.000000"," 8.129764"
"TCGA-DD-A3A3-00","8.519989","4.564348","1.609438","9.374837","1.945910","6.484635","8.151910","5.288267","1.945910","4.564348","6.694562","7.595890","7.716461","8.647168","9.250522","7.806289","5.407172","7.803435","5.003946","7.603898","6.156979","4.990433","5.509388","5.926926","8.283241","5.690359","6.856462","9.012986","5.723585","7.925158","4.812184","0.000000","7.675082"
"TCGA-DD-A11A-00"," 9.6281292"," 6.1158921"," 3.4011974"," 9.8120847"," 3.2958369"," 7.0535857"," 7.9395153"," 5.5451774"," 4.0604430"," 5.2311086"," 6.7286286"," 8.0870255"," 7.5837563"," 8.8236479","10.0046894"," 8.2074018"," 5.7333413"," 8.3923100"," 5.4205350"," 8.4096080"," 7.8054746"," 5.3936275"," 5.9322452"," 6.8090393"," 8.2887858"," 3.9120230"," 7.4067107"," 8.5442245"," 6.7007311"," 9.5064369"," 6.2245584"," 0.6931472"," 8.3404560"
"TCGA-ES-A2HT-00"," 7.241366"," 6.510258"," 5.017280"," 9.976831"," 4.897840"," 7.070724"," 7.037028"," 6.463029"," 3.295837"," 4.077537"," 6.295266"," 6.440947"," 6.359574"," 7.747165"," 9.104202"," 8.856091"," 5.908083"," 7.724005"," 5.659482"," 7.528869"," 4.897840"," 5.509388"," 6.052089"," 7.306531"," 7.827640"," 6.306275"," 7.285507"," 8.215818"," 5.948035","10.286298"," 4.430817"," 0.000000"," 7.456455"
"TCGA-DD-A116-00"," 7.873217"," 6.011267"," 4.744932"," 9.734891"," 4.356709"," 7.748029"," 6.988413"," 5.446737"," 3.091042"," 4.488636"," 6.510258"," 6.802395"," 6.773080"," 8.066208","10.296475"," 8.713911"," 5.897154"," 7.868254"," 5.451038"," 8.034955"," 4.682131"," 5.823046"," 6.931472"," 8.200014"," 7.442493"," 5.438079"," 6.745236"," 8.140898"," 6.137727"," 9.425290"," 5.023881"," 1.098612"," 7.549609"
"TCGA-DD-A3A4-00"," 9.221379"," 5.983936"," 3.465736","10.260182"," 3.135494"," 6.852243"," 7.878155"," 6.248043"," 3.465736"," 4.919981"," 7.468513"," 8.195610"," 7.309212"," 9.542159"," 9.742908"," 9.877503"," 5.981414"," 8.292549"," 5.739793"," 8.795128"," 6.163315"," 6.364751"," 5.379897"," 7.461066"," 8.765146"," 4.234107"," 7.423568"," 9.342771"," 7.271704"," 7.057037"," 5.347108"," 0.000000"," 8.554296"
"TCGA-EP-A26S-00"," 7.6643466"," 5.5412635"," 3.1354942"," 9.6719968"," 1.9459101"," 7.3689704"," 7.2115567"," 5.3033049"," 3.0445224"," 4.2195077"," 7.0237590"," 7.4241653"," 7.4999765"," 8.6538198","10.4661843"," 9.0310941"," 5.7004436"," 7.5251007"," 5.3423343"," 8.3574938"," 4.7535902"," 5.0875963"," 6.5792512"," 7.8347881"," 8.0573775"," 6.0684256"," 6.8987145"," 8.3806859"," 6.0185932"," 7.5277940"," 3.4965076"," 0.6931472"," 7.5448611"
"TCGA-DD-A3A5-00"," 6.533789"," 5.429346"," 2.944439"," 9.441452"," 2.944439"," 6.746412"," 6.091310"," 4.488636"," 2.197225"," 2.397895"," 6.440947"," 5.446737"," 5.099866"," 6.833032","10.367159"," 6.874198"," 5.690359"," 7.153052"," 4.867534"," 6.154858"," 3.295837"," 4.997212"," 5.880533"," 7.922986"," 6.711740"," 5.991465"," 6.688355"," 6.841615"," 4.804021"," 9.229358"," 2.833213"," 0.000000"," 6.725034"
"TCGA-DD-A39V-00","7.693026","5.713733","2.708050","9.282940","2.639057","6.731018","7.142827","4.634729","3.663562","3.496508","6.436150","7.076654","6.416732","8.397508","8.653296","8.915567","5.793014","7.564757","4.990433","8.033009","4.564348","4.828314","6.361302","7.269617","7.728416","5.697093","6.656727","8.187577","6.093570","9.347229","4.644391","0.000000","7.197435"
"TCGA-DD-A1EE-00","8.5638859","5.5683445","3.6375862","9.4418488","2.3025851","6.5903010","5.8171112","5.2257467","3.4011974","4.4308168","5.9635793","6.2106001","6.5395860","7.8071033","8.2350955","8.0870255","5.3278762","7.0587582","5.0498560","7.7935868","6.6720329","4.1108739","5.4806389","6.8490663","7.4787348","5.4293456","6.4907235","7.6953031","5.9188939","9.0208733","4.5951199","0.6931472","7.0983756"
