"","from","to"
"1","TKT","TALDO1"
"2","ACADS","ECHS1"
"3","EHHADH","ACAT1"
"4","ALDH2","ADH1A"
"5","ALDH1B1","ADH1A"
"6","UGT2B15","ADH1A"
"7","ALDH2","ADH1C"
"8","ASS1","ADSS1"
"9","ATIC","ADSS1"
"10","CYP1A2","NAT2"
"11","NAT2","CYP2A6"
"12","NAT2","CYP2A7"
"13","ADSS1","CAD"
"14","DTYMK","TYMS"
"15","ASS1","ASL"
"16","PSPH","SHMT1"
"17","SHMT1","AGXT2"
"18","ACAA2","PCCA"
"19","ACAA1","PCCA"
"20","ALDH2","AOC1"
"21","ALDH1B1","AOC1"
"22","ATIC","FTCD"
"23","SHMT1","FTCD"
"24","FTCD","AMDHD1"
"25","PCCA","ALDH6A1"
"26","SRM","SMS"
"27","UGP2","UGDH"
"28","UGT2B15","UGDH"
"29","LCAT","PEMT"
"30","CYP1A2","CYP2C19"
"31","CYP1A2","CYP2C8"
"32","CYP1A2","CYP2C9"
"33","CYP2A6","CYP2C9"
"34","HAO2","CAT"
"35","SHMT1","MTHFD1"
"36","FTCD","MTHFD1"
"37","FTCD","MTHFD1L"
"38","GCH1","PTS"
"39","ALPL","PTS"
"40","ADH1A","CYP26A1"
"41","CYP1A2","CYP26A1"
"42","CYP2A6","CYP26A1"
"43","CYP2A7","CYP26A1"
"44","CYP2C8","CYP26A1"
"45","RETSAT","CYP26A1"
"46","FDPS","GGPS1"
"47","ADH1A","GSTA1"
"48","ADH1A","GSTM2"
"49","ADH1A","GSTM4"
"50","ADH1A","GSTP1"
"51","ADH1A","GSTT2"
"52","ADH1A","MGST3"
"53","GAB1","SOS1"
"54","GAB1","GRB2"
"55","SOS1","GRB2"
"56","SOS2","GRB2"
"57","GAB1","SHC2"
"58","SOS1","SHC2"
"59","GRB2","SHC2"
"60","GAB1","SHC4"
"61","SOS1","SHC4"
"62","GRB2","SHC4"
"63","GAB1","SHC3"
"64","SOS1","SHC3"
"65","GRB2","SHC3"
"66","SOS1","SHC1"
"67","GRB2","SHC1"
"68","MTOR","PRKCA"
"69","MTOR","PRKCB"
"70","MTOR","PRKCG"
"71","MTOR","AKT1"
"72","GRB2","MAP2K1"
"73","PRKCB","ARAF"
"74","PRKCG","ARAF"
"75","MAP2K1","ARAF"
"76","FDPS","HRAS"
"77","SOS1","HRAS"
