"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","CTCF"
"13","ALDH1B1","ACYP1"
"14","SDHB","NFE2L2"
"15","SDHB","NRF1"
"16","SDHB","SUCLG2"
"17","SDHD","SUCLG2"
"18","TKT","EGR3"
"19","TKT","RPIA"
"20","TALDO1","ZNF143"
"21","TALDO1","ZHX1"
"22","UGP2","PGM1"
"23","UGP2","GALE"
"24","UGP2","UGDH"
"25","UGT2B15","ADH1A"
"26","UGT2B15","UGDH"
"27","ACADS","ECHS1"
"28","EHHADH","ACAT1"
"29","EHHADH","IVD"
"30","ECHS1","ACADM"
"31","ECHS1","IVD"
"32","ACAT1","AACS"
"33","ACAT1","HMGCS2"
"34","ACAT1","CTCF"
"35","ACAT1","NFYA"
"36","ADH1A","CYP26A1"
"37","ADH1A","GSTO2"
"38","ADH1A","GSTA5"
"39","ADH1A","GSTA1"
"40","ADH1A","GSTA2"
"41","ADH1A","GSTA3"
"42","ADH1A","GSTA4"
"43","ADH1A","GSTM1"
"44","ADH1A","GSTM2"
"45","ADH1A","GSTM3"
"46","ADH1A","GSTM4"
"47","ADH1A","GSTM5"
"48","ADH1A","GSTP1"
"49","ADH1A","GSTT1"
"50","ADH1A","GSTT2"
"51","ADH1A","MGST1"
"52","ADH1A","MGST2"
"53","ADH1A","MGST3"
"54","ADH1A","GSTT2B"
"55","ADH1A","GSTO1"
"56","ADH1C","NFYA"
"57","CYP8B1","TP53"
"58","CYP8B1","AKR1D1"
"59","ASS1","ADSS1"
"60","ASS1","ASL"
"61","ATIC","ATIC"
"62","ADSS1","CAD"
"63","PNP","NMRK1"
"64","PNP","TP53"
"65","PNP","ZHX1"
"66","PNP","XDH"
"67","PNP","NNMT"
"68","PAPSS2","PAPSS2"
"69","PAPSS2","SUOX"
"70","PDE7B","ADSL"
"71","PDE7A","ADSL"
"72","CYP1A2","NAT2"
"73","CYP1A2","CYP2C19"
"74","CYP1A2","CYP2J2"
"75","CYP1A2","CYP26A1"
"76","CYP1A2","GSTO2"
"77","NAT2","CYP2A6"
"78","NAT2","CYP2A7"
"79","CYP2A6","CYP2B6"
"80","CYP2A7","CYP26A1"
"81","CAD","CAD"
"82","DTYMK","TK1"
"83","DUT","TK1"
"84","ASL","ADSL"
"85","GLUD2","NIT2"
"86","GLUD2","GLUL"
"87","GLS2","GLUL"
"88","FOLH1","ASPA"
"89","BHMT","DMGDH"
"90","PSPH","SHMT1"
"91","SHMT1","AGXT2"
"92","SHMT1","FTCD"
"93","SHMT1","SDS"
"94","SHMT1","AGXT"
"95","AGXT2","ABAT"
"96","ACAA2","PCCA"
"97","ACAA1","PCCA"
"98","PCCA","ALDH6A1"
"99","PCCA","EGR1"
"100","AOC1","INMT"
"101","SRM","SMS"
"102","FTCD","AMDHD1"
"103","FTCD","MTHFD1"
"104","FTCD","MTHFD1L"
"105","AMDHD1","UROC1"
"106","ALDH6A1","ABAT"
"107","ALDH6A1","ATF2"
"108","ALDH6A1","NFYA"
"109","ALDH6A1","NFYC"
"110","CNDP1","CNDP1"
"111","MTR","NFYA"
"112","SMS","EZH2"
"113","B4GALT3","ST3GAL3"
"114","UGDH","UXS1"
"115","UGDH","EGR2"
"116","UGDH","EGR3"
"117","UXS1","EGR1"
"118","LIPG","MGLL"
"119","MOGAT2","MGLL"
"120","PIP4K2B","PTEN"
"121","PIP4K2B","ATF5"
"122","LPCAT1","EGR1"
"123","LPCAT1","PLAAT3"
"124","PCYT1A","MAPK10"
"125","PCYT1A","MAPK1"
"126","PCYT1A","MAPK3"
"127","PCYT1A","ATF5"
"128","PCYT1A","ZNF143"
"129","PCYT1A","CHKA"
"130","PEMT","PEMT"
"131","EPHX2","CYP2B6"
"132","LTA4H","CYP4F3"
"133","CYP2C8","CYP26A1"
"134","CYP2C8","NR1I2"
"135","CYP2C9","CYP26A1"
"136","HAO2","CAT"
"137","HAO2","PGP"
"138","HAO1","PGP"
"139","CAT","NFE2L2"
"140","CAT","EGR1"
"141","CAT","NFYA"
"142","MMUT","SUCLG2"
"143","NAMPT","CLOCK"
"144","NAMPT","NNMT"
"145","SIRT7","NNMT"
"146","GCH1","NFYC"
"147","ALPL","EGR1"
"148","PTS","PTS"
"149","GPHN","GPHN"
"150","RETSAT","CYP26A1"
"151","RETSAT","HSD17B6"
"152","CYP26A1","CYP2B6"
"153","CYP2B6","ATF5"
"154","CYP2B6","EGR1"
"155","CYP2B6","NR1I2"
"156","HSD17B6","CTCF"
"157","FDPS","FDPS"
"158","FDPS","HRAS"
"159","FDPS","NFYA"
"160","FDPS","NFYC"
"161","GSTA1","NFE2L2"
"162","GMPS","TPMT"
"163","IMPDH2","ATF2"
"164","IMPDH2","EGR1"
