"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","CTCF"
"13","ALDH1B1","ACYP1"
"14","SDHB","NFE2L2"
"15","SDHB","NRF1"
"16","SDHB","SUCLG2"
"17","SDHD","SUCLG2"
"18","TKT","EGR3"
"19","TKT","RPIA"
"20","TALDO1","MYC"
"21","TALDO1","ZNF143"
"22","TALDO1","ZHX1"
"23","UGP2","PGM1"
"24","UGP2","GALE"
"25","UGP2","UGDH"
"26","UGT2B15","ADH1A"
"27","UGT2B15","UGDH"
"28","UGT2B15","ESR1"
"29","GALE","CTCF"
"30","ACADS","EHHADH"
"31","ACADS","ECHS1"
"32","EHHADH","ECHS1"
"33","EHHADH","ACAT1"
"34","EHHADH","IVD"
"35","ECHS1","ACADM"
"36","ECHS1","IVD"
"37","ACAT1","AACS"
"38","ACAT1","HMGCS2"
"39","ACAT1","MYC"
"40","ACAT1","CTCF"
"41","ADH1A","CYP26A1"
"42","ADH1A","GSTO2"
"43","ADH1A","GSTA5"
"44","ADH1A","GSTA1"
"45","ADH1A","GSTA2"
"46","ADH1A","GSTA3"
"47","ADH1A","GSTA4"
"48","ADH1A","GSTM1"
"49","ADH1A","GSTM2"
"50","ADH1A","GSTM3"
"51","ADH1A","GSTM4"
"52","ADH1A","GSTM5"
"53","ADH1A","GSTP1"
"54","ADH1A","GSTT1"
"55","ADH1A","GSTT2"
"56","ADH1A","MGST1"
"57","ADH1A","MGST2"
"58","ADH1A","MGST3"
"59","ADH1A","GSTT2B"
"60","ADH1A","GSTO1"
"61","CYP8B1","TP53"
"62","CYP8B1","AKR1D1"
"63","ASS1","ADSS1"
"64","ASS1","ASL"
"65","ASS1","MYC"
"66","ASS1","CTCF"
"67","ATIC","ATIC"
"68","ATIC","ADSS1"
"69","ATIC","FTCD"
"70","ADSS1","CAD"
"71","PNP","NMRK1"
"72","PNP","XDH"
"73","PNP","NNMT"
"74","PAPSS2","PAPSS2"
"75","PDE7B","ADSL"
"76","PDE7A","ADSL"
"77","CYP1A2","NAT2"
"78","CYP1A2","CYP2C19"
"79","CYP1A2","CYP2J2"
"80","CYP1A2","CYP26A1"
"81","CYP1A2","GSTO2"
"82","NAT2","CYP2A6"
"83","NAT2","CYP2A7"
"84","CYP2A6","CYP2C9"
"85","CYP2A6","CYP2B6"
"86","CYP2A7","CYP26A1"
"87","CAD","CAD"
"88","CAD","MYC"
"89","DTYMK","TK1"
"90","DUT","E2F4"
"91","DUT","MYC"
"92","DUT","TK1"
"93","ASL","ADSL"
"94","GLUD2","NIT2"
"95","GLUD2","GLUL"
"96","GLS2","GLUL"
"97","FOLH1","ASPA"
"98","BHMT","DMGDH"
"99","PSPH","SHMT1"
"100","SHMT1","AGXT2"
"101","SHMT1","FTCD"
"102","SHMT1","MTHFD1"
"103","SHMT1","SDS"
"104","SHMT1","AGXT"
"105","AGXT2","ABAT"
"106","MAT1A","MYC"
"107","ACAA2","PCCA"
"108","ACAA1","PCCA"
"109","PCCA","ALDH6A1"
"110","AOC1","INMT"
"111","SRM","SMS"
"112","FTCD","AMDHD1"
"113","FTCD","MTHFD1"
"114","FTCD","MTHFD1L"
"115","AMDHD1","MYC"
"116","AMDHD1","UROC1"
"117","ALDH6A1","ABAT"
"118","ALDH6A1","MYC"
"119","ALDH6A1","ATF2"
"120","ALDH6A1","NFYC"
"121","CNDP1","CNDP1"
"122","MTR","CTH"
"123","SMS","E2F5"
"124","SMS","E2F2"
"125","SMS","EZH2"
"126","B4GALT3","MYC"
"127","B4GALT3","ATF2"
"128","B4GALT3","ST3GAL3"
"129","UGDH","UXS1"
"130","UGDH","MYC"
"131","UGDH","EGR2"
"132","UGDH","EGR3"
"133","UXS1","E2F2"
"134","LIPG","MGLL"
"135","MOGAT2","MGLL"
"136","AKR1B10","MYC"
"137","PIP4K2B","E2F4"
"138","PIP4K2B","E2F5"
"139","PIP4K2B","E2F2"
"140","PIP4K2B","PTEN"
"141","PIP4K2B","ATF2"
"142","LPCAT1","MYC"
"143","LPCAT1","PLAAT3"
"144","PCYT1A","MAPK10"
"145","PCYT1A","MAPK1"
"146","PCYT1A","MAPK3"
"147","PCYT1A","ATF5"
"148","PCYT1A","ZNF143"
"149","PCYT1A","CHKA"
"150","LCAT","APOA1"
"151","PEMT","PEMT"
"152","EPHX2","CYP2B6"
"153","LTA4H","MYC"
"154","LTA4H","CYP4F3"
"155","CYP2C19","ESR1"
"156","CYP2C8","CYP26A1"
"157","CYP2C9","CYP26A1"
"158","CYP2C9","NCOA6"
"159","HAO2","CAT"
"160","HAO2","PGP"
"161","HAO1","PGP"
"162","CAT","NFE2L2"
"163","CAT","EGR3"
"164","CAT","NFYC"
"165","MMUT","SUCLG2"
