"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","ACYP1"
"13","SDHB","NFE2L2"
"14","SDHB","NRF1"
"15","SDHB","SUCLG2"
"16","SDHD","SUCLG2"
"17","TKT","EGR3"
"18","TKT","RPIA"
"19","TALDO1","ZNF143"
"20","UGP2","PGM1"
"21","UGP2","GALE"
"22","UGP2","UGDH"
"23","UGT2B15","ADH1A"
"24","UGT2B15","UGDH"
"25","UGT2B15","ESR1"
"26","ACADS","ECHS1"
"27","EHHADH","ACAT1"
"28","EHHADH","IVD"
"29","ECHS1","ACADM"
"30","ECHS1","IVD"
"31","ACAT1","AACS"
"32","ACAT1","HMGCS2"
"33","ACAT1","MYC"
"34","ADH1A","CYP26A1"
"35","ADH1A","GSTO2"
"36","ADH1A","GSTA5"
"37","ADH1A","GSTA1"
"38","ADH1A","GSTA2"
"39","ADH1A","GSTA3"
"40","ADH1A","GSTA4"
"41","ADH1A","GSTM1"
"42","ADH1A","GSTM2"
"43","ADH1A","GSTM3"
"44","ADH1A","GSTM4"
"45","ADH1A","GSTM5"
"46","ADH1A","GSTP1"
"47","ADH1A","GSTT1"
"48","ADH1A","GSTT2"
"49","ADH1A","MGST1"
"50","ADH1A","MGST2"
"51","ADH1A","MGST3"
"52","ADH1A","GSTT2B"
"53","ADH1A","GSTO1"
"54","CYP8B1","TP53"
"55","CYP8B1","AKR1D1"
"56","ASS1","ADSS1"
"57","ASS1","ASL"
"58","ATIC","ATIC"
"59","PNP","NMRK1"
"60","PNP","TP53"
"61","PNP","MYC"
"62","PNP","XDH"
"63","PNP","NNMT"
"64","PAPSS2","PAPSS2"
"65","PDE7B","ADSL"
"66","PDE7A","ADSL"
"67","CYP1A2","NAT2"
"68","CYP1A2","CYP2C19"
"69","CYP1A2","CYP2C8"
"70","CYP1A2","CYP2C9"
"71","CYP1A2","CYP2J2"
"72","CYP1A2","GSTO2"
"73","CYP1A2","FOS"
"74","NAT2","CYP2A6"
"75","NAT2","CYP2A7"
"76","CYP2A6","CYP2C9"
"77","CYP2A6","CYP2B6"
"78","CYP2A7","CYP26A1"
"79","CAD","CAD"
"80","DTYMK","MYC"
"81","DTYMK","TK1"
"82","DUT","E2F4"
"83","DUT","MYC"
"84","DUT","ESR1"
"85","DUT","TK1"
"86","ASL","ADSL"
"87","GLUD2","NIT2"
"88","GLUD2","GLUL"
"89","GLS2","GLUL"
"90","FOLH1","ASPA"
"91","BHMT","DMGDH"
"92","PSPH","SHMT1"
"93","SHMT1","AGXT2"
"94","SHMT1","SDS"
"95","SHMT1","AGXT"
"96","AGXT2","ABAT"
"97","MAT1A","MYC"
"98","ACAA2","PCCA"
"99","ACAA1","PCCA"
"100","AOC1","INMT"
"101","SRM","SMS"
"102","FTCD","AMDHD1"
"103","FTCD","MTHFD1"
"104","FTCD","MTHFD1L"
"105","AMDHD1","UROC1"
"106","ALDH6A1","ABAT"
"107","ALDH6A1","MYC"
"108","ALDH6A1","ATF2"
"109","CNDP1","CNDP1"
"110","MTR","CTH"
"111","SMS","EZH2"
"112","B4GALT3","ATF2"
"113","B4GALT3","ST3GAL3"
"114","UGDH","UXS1"
"115","UGDH","MYC"
"116","UGDH","EGR2"
"117","UGDH","EGR3"
"118","UXS1","E2F4"
"119","UXS1","EGR1"
"120","LIPG","MGLL"
"121","MOGAT2","MGLL"
"122","AKR1B10","MYC"
"123","PIP4K2B","TP53"
"124","PIP4K2B","E2F4"
"125","PIP4K2B","E2F5"
"126","PIP4K2B","E2F2"
"127","PIP4K2B","MYC"
"128","PIP4K2B","ATF2"
"129","PIP4K2B","TCF3"
"130","LPCAT1","MYC"
"131","LPCAT1","EGR1"
"132","LPCAT1","PLAAT3"
"133","PCYT1A","MAPK10"
"134","PCYT1A","MAPK1"
"135","PCYT1A","MAPK3"
"136","PCYT1A","ATF5"
"137","PCYT1A","ZNF143"
"138","PCYT1A","CHKA"
"139","PEMT","PEMT"
"140","EPHX2","CYP2B6"
"141","LTA4H","MYC"
"142","LTA4H","CYP4F3"
"143","CYP2C19","ESR1"
"144","CYP2C8","CYP26A1"
"145","CYP2C9","CYP26A1"
"146","CYP2C9","NCOA6"
"147","HAO2","CAT"
"148","HAO2","PGP"
"149","HAO1","PGP"
"150","CAT","NFE2L2"
"151","CAT","EGR3"
"152","MMUT","SUCLG2"
"153","MTHFD1","E2F4"
"154","MTHFD1","MYC"
"155","NAMPT","CLOCK"
"156","NAMPT","NNMT"
"157","SIRT7","NNMT"
"158","GCH1","E2F5"
"159","GCH1","E2F2"
"160","GCH1","NFYC"
"161","PTS","PTS"
"162","GPHN","GPHN"
"163","GPHN","EGR1"
"164","RETSAT","CYP26A1"
"165","RETSAT","HSD17B6"
