"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","ACYP1"
"13","SDHB","NFE2L2"
"14","SDHB","NRF1"
"15","SDHB","SUCLG2"
"16","SDHD","SUCLG2"
"17","TKT","EGR3"
"18","TKT","RPIA"
"19","TALDO1","MYC"
"20","TALDO1","ZNF143"
"21","TALDO1","ZHX1"
"22","UGP2","PGM1"
"23","UGP2","GALE"
"24","UGP2","UGDH"
"25","UGT2B15","ADH1A"
"26","UGT2B15","UGDH"
"27","ACADS","ECHS1"
"28","EHHADH","ACAT1"
"29","EHHADH","IVD"
"30","ECHS1","ACADM"
"31","ECHS1","IVD"
"32","ACAT1","AACS"
"33","ACAT1","HMGCS2"
"34","ADH1A","CYP26A1"
"35","ADH1A","GSTO2"
"36","ADH1A","GSTA5"
"37","ADH1A","GSTA1"
"38","ADH1A","GSTA2"
"39","ADH1A","GSTA3"
"40","ADH1A","GSTA4"
"41","ADH1A","GSTM1"
"42","ADH1A","GSTM2"
"43","ADH1A","GSTM3"
"44","ADH1A","GSTM4"
"45","ADH1A","GSTM5"
"46","ADH1A","GSTP1"
"47","ADH1A","GSTT1"
"48","ADH1A","GSTT2"
"49","ADH1A","MGST1"
"50","ADH1A","MGST2"
"51","ADH1A","MGST3"
"52","ADH1A","GSTT2B"
"53","ADH1A","GSTO1"
"54","CYP8B1","TP53"
"55","CYP8B1","AKR1D1"
"56","ASS1","ADSS1"
"57","ASS1","ASL"
"58","ASS1","MYC"
"59","ATIC","ATIC"
"60","PNP","NMRK1"
"61","PNP","TP53"
"62","PNP","MYC"
"63","PNP","ZHX1"
"64","PNP","XDH"
"65","PNP","NNMT"
"66","PAPSS2","PAPSS2"
"67","PAPSS2","SUOX"
"68","PDE7B","ADSL"
"69","PDE7A","ADSL"
"70","CYP1A2","NAT2"
"71","CYP1A2","CYP2C19"
"72","CYP1A2","CYP2J2"
"73","CYP1A2","CYP26A1"
"74","CYP1A2","GSTO2"
"75","NAT2","CYP2A6"
"76","NAT2","CYP2A7"
"77","CYP2A6","CYP2B6"
"78","CYP2A7","CYP26A1"
"79","CAD","CAD"
"80","DTYMK","TK1"
"81","DUT","MYC"
"82","DUT","TK1"
"83","ASL","ADSL"
"84","GLUD2","NIT2"
"85","GLUD2","GLUL"
"86","GLS2","GLUL"
"87","FOLH1","ASPA"
"88","BHMT","DMGDH"
"89","PSPH","SHMT1"
"90","SHMT1","AGXT2"
"91","SHMT1","MTHFD1"
"92","SHMT1","SDS"
"93","SHMT1","AGXT"
"94","AGXT2","ABAT"
"95","ACAA2","PCCA"
"96","ACAA1","PCCA"
"97","AOC1","INMT"
"98","SRM","SMS"
"99","FTCD","AMDHD1"
"100","FTCD","MTHFD1"
"101","FTCD","MTHFD1L"
"102","AMDHD1","MYC"
"103","AMDHD1","UROC1"
"104","ALDH6A1","ABAT"
"105","ALDH6A1","NFYC"
"106","CNDP1","CNDP1"
"107","MTR","CTH"
"108","SMS","EZH2"
"109","B4GALT3","ST3GAL3"
"110","UGDH","EGR2"
"111","UGDH","EGR3"
"112","LIPG","MGLL"
"113","MOGAT2","MGLL"
"114","AKR1B10","MYC"
"115","PIP4K2B","PTEN"
"116","PIP4K2B","ATF5"
"117","LPCAT1","MYC"
"118","LPCAT1","PLAAT3"
"119","PCYT1A","MAPK10"
"120","PCYT1A","MAPK1"
"121","PCYT1A","MAPK3"
"122","PCYT1A","ATF2"
"123","PCYT1A","ATF5"
"124","PCYT1A","ZNF143"
"125","PCYT1A","CHKA"
"126","PEMT","PEMT"
"127","EPHX2","CYP2B6"
"128","LTA4H","MYC"
"129","LTA4H","CYP4F3"
"130","CYP2C8","CYP26A1"
"131","CYP2C9","CYP26A1"
"132","HAO2","CAT"
"133","HAO2","PGP"
"134","HAO1","PGP"
"135","CAT","NFYC"
"136","MMUT","SUCLG2"
"137","MTHFD1","MYC"
"138","NAMPT","CLOCK"
"139","NAMPT","NNMT"
"140","SIRT7","NNMT"
"141","GCH1","PTS"
"142","GCH1","NFYC"
"143","PTS","PTS"
"144","GPHN","GPHN"
"145","RETSAT","CYP26A1"
"146","RETSAT","HSD17B6"
"147","CYP26A1","CYP2B6"
"148","FDPS","FDPS"
"149","GSTA1","NFE2L2"
"150","GSTA4","MYC"
"151","MGST3","MYC"
"152","GMPS","TPMT"
"153","IMPDH2","MYC"
"154","IMPDH2","ATF2"
"155","IMPDH2","TPMT"
"156","MTOR","PRKCA"
"157","MTOR","PRKCB"
"158","MTOR","PRKCG"
"159","MTOR","AKT2"
"160","MTOR","IGF1"
"161","MTOR","PIK3CA"
"162","MTOR","PIK3CB"
"163","MTOR","PIK3CD"
"164","MTOR","PIK3R1"
"165","MTOR","PIK3R2"
