"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","ACYP1"
"13","SDHB","NFE2L2"
"14","SDHB","NRF1"
"15","SDHB","SUCLG2"
"16","SDHD","SUCLG2"
"17","TKT","EGR3"
"18","TKT","RPIA"
"19","TALDO1","ZNF143"
"20","UGP2","PGM1"
"21","UGP2","GALE"
"22","UGP2","UGDH"
"23","UGT2B15","ADH1A"
"24","UGT2B15","UGDH"
"25","ACADS","ECHS1"
"26","EHHADH","ACAT1"
"27","EHHADH","IVD"
"28","ECHS1","ACADM"
"29","ECHS1","IVD"
"30","ACAT1","AACS"
"31","ACAT1","HMGCS2"
"32","ADH1A","CYP26A1"
"33","ADH1A","GSTO2"
"34","ADH1A","GSTA5"
"35","ADH1A","GSTA1"
"36","ADH1A","GSTA2"
"37","ADH1A","GSTA3"
"38","ADH1A","GSTA4"
"39","ADH1A","GSTM1"
"40","ADH1A","GSTM2"
"41","ADH1A","GSTM3"
"42","ADH1A","GSTM4"
"43","ADH1A","GSTM5"
"44","ADH1A","GSTP1"
"45","ADH1A","GSTT1"
"46","ADH1A","GSTT2"
"47","ADH1A","MGST1"
"48","ADH1A","MGST2"
"49","ADH1A","MGST3"
"50","ADH1A","GSTT2B"
"51","ADH1A","GSTO1"
"52","CYP8B1","AKR1D1"
"53","ASS1","ADSS1"
"54","ASS1","ASL"
"55","ATIC","ATIC"
"56","PNP","NMRK1"
"57","PNP","ZHX1"
"58","PNP","XDH"
"59","PNP","NNMT"
"60","PAPSS2","PAPSS2"
"61","PAPSS2","SUOX"
"62","PDE7B","ADSL"
"63","PDE7A","ADSL"
"64","CYP1A2","NAT2"
"65","CYP1A2","CYP2C19"
"66","CYP1A2","CYP2J2"
"67","CYP1A2","CYP26A1"
"68","CYP1A2","GSTO2"
"69","NAT2","CYP2A6"
"70","NAT2","CYP2A7"
"71","CYP2A6","CYP2B6"
"72","CYP2A7","CYP26A1"
"73","CAD","CAD"
"74","DTYMK","TK1"
"75","DUT","TK1"
"76","ASL","ADSL"
"77","GLUD2","NIT2"
"78","GLUD2","GLUL"
"79","GLS2","GLUL"
"80","FOLH1","ASPA"
"81","BHMT","DMGDH"
"82","PSPH","SHMT1"
"83","SHMT1","AGXT2"
"84","SHMT1","SDS"
"85","SHMT1","AGXT"
"86","AGXT2","ABAT"
"87","ACAA2","PCCA"
"88","ACAA1","PCCA"
"89","AOC1","INMT"
"90","SRM","SMS"
"91","FTCD","AMDHD1"
"92","FTCD","MTHFD1"
"93","FTCD","MTHFD1L"
"94","AMDHD1","UROC1"
"95","ALDH6A1","ABAT"
"96","ALDH6A1","ATF2"
"97","ALDH6A1","NFYC"
"98","CNDP1","CNDP1"
"99","MTR","CTH"
"100","SMS","EZH2"
"101","B4GALT3","ATF2"
"102","B4GALT3","EGR1"
"103","B4GALT3","ST3GAL3"
"104","UGDH","EGR1"
"105","LIPG","MGLL"
"106","MOGAT2","MGLL"
"107","PIP4K2B","PTEN"
"108","PIP4K2B","ATF5"
"109","LPCAT1","EGR1"
"110","LPCAT1","PLAAT3"
"111","PCYT1A","MAPK10"
"112","PCYT1A","MAPK1"
"113","PCYT1A","MAPK3"
"114","PCYT1A","ATF2"
"115","PCYT1A","ATF5"
"116","PCYT1A","ZNF143"
"117","PCYT1A","CHKA"
"118","PEMT","PEMT"
"119","EPHX2","CYP2B6"
"120","LTA4H","CYP4F3"
"121","CYP2C8","CYP26A1"
"122","CYP2C8","NR1I2"
"123","CYP2C9","CYP26A1"
"124","CYP2C9","NR1I2"
"125","HAO2","CAT"
"126","HAO2","PGP"
"127","HAO1","PGP"
"128","CAT","NFE2L2"
"129","CAT","EGR1"
"130","MMUT","SUCLG2"
"131","NAMPT","CLOCK"
"132","NAMPT","NNMT"
"133","SIRT7","NNMT"
"134","GCH1","NFYC"
"135","PTS","PTS"
"136","GPHN","GPHN"
"137","RETSAT","CYP26A1"
"138","RETSAT","HSD17B6"
"139","CYP26A1","CYP2B6"
"140","FDPS","FDPS"
"141","FDPS","GGPS1"
"142","GGPS1","E2F4"
"143","GGPS1","E2F3"
"144","GSTA1","NFE2L2"
"145","GSTM4","FOS"
"146","GSTM4","TLE1"
"147","GSTM4","EGR1"
"148","GSTP1","FOS"
"149","GMPS","TPMT"
"150","IMPDH2","TPMT"
"151","MTOR","PRKCA"
"152","MTOR","PRKCB"
"153","MTOR","PRKCG"
"154","MTOR","IGF1"
"155","MTOR","PIK3CA"
"156","MTOR","PIK3CB"
"157","MTOR","PIK3CD"
"158","MTOR","PIK3R1"
"159","MTOR","PIK3R2"
"160","MTOR","PIK3R3"
"161","MTOR","RRAGD"
"162","MTOR","RRAGC"
"163","MTOR","PRKAA2"
"164","MTOR","RPS6KB1"
