"","GSM155919-00","GSM155926-00","GSM155927-00","GSM155928-00","GSM155947-00","GSM155948-00","GSM155961-00","GSM155964-00","GSM155988-00","GSM155989-00","GSM155920-01","GSM155921-01","GSM155922-01","GSM155923-01","GSM155931-01","GSM155965-01","GSM155966-01","GSM155967-01","GSM155968-01","GSM155969-01","GSM155924-02","GSM155925-02","GSM155971-02","GSM155972-02","GSM155973-02","GSM155974-02","GSM155976-02","GSM155978-02","GSM155979-02","GSM155980-02","GSM155929-03","GSM155930-03","GSM155970-03","GSM155975-03","GSM155977-03","GSM155981-03","GSM155982-03","GSM155932-04","GSM155933-04","GSM155934-04","GSM155935-04","GSM155983-04","GSM155987-04","GSM155991-04","GSM155993-04","GSM155937-05","GSM155939-05","GSM155945-05","GSM155946-05","GSM155955-05","GSM155958-05","GSM155959-05","GSM155960-05","GSM155986-05","GSM155992-05","GSM155938-06","GSM155940-06","GSM155941-06","GSM155942-06","GSM155963-06","GSM155985-06","GSM155990-06","GSM155936-07","GSM155943-07","GSM155944-07","GSM155949-07","GSM155950-07","GSM155953-07","GSM155954-07","GSM155956-07","GSM155957-07","GSM155962-07"
"A2MP1",4.47819591311396,4.3112218885172,4.57246547230066,4.66667424304708,4.1860267036106,4.37006346216031,3.93090385731711,4.36849671832174,4.21741170476165,4.26255739945886,4.70779543754011,4.51366784641576,4.32975295915514,3.83984650820522,4.38848512660211,4.28404641686246,4.72449672436133,3.92907077496475,4.45414787344339,4.17523620513315,4.45427209194921,4.15246036097092,4.15884113216124,4.22758838812676,4.54315135742702,4.44297649431163,4.58689786071064,4.43789137471958,4.07699906463161,4.5844107760581,4.67662852719771,4.98328501353751,4.72211094631885,4.41861425621173,4.40098382164956,4.33641996722053,4.71545677902438,4.65914483839174,4.68259172366625,3.97397161428026,4.01956009716684,4.3532972011997,4.03157897834287,4.01093214949285,4.28052956235993,3.96505804426149,3.80628571156528,3.89958557101384,3.54915959235937,3.95631194138303,3.97432649196055,4.10091710168388,3.72577292942724,4.34935932866383,4.17243908112982,3.99826328693224,4.16335291971982,3.75147263108745,3.84056136016313,4.09202055353375,4.29925574263255,4.45726789148944,3.803894101981,3.7847524338716,4.07620620508996,4.1044896567463,4.29513768537906,4.15322941348255,3.94575752551138,3.38591257390269,4.18270538332727,3.98374667592516
"AACS",4.95598207340942,4.44564212601183,4.82740780205967,5.38503807831713,5.16661089840657,4.93943342507833,5.93331694535331,4.92162877813519,6.97545960980093,6.30371063691381,5.58721318581206,5.74872431841897,6.30859937287582,5.86209669995091,5.62426193238139,5.75261907273682,5.57837214590189,5.72156083180744,5.84693764100644,6.18027292951512,5.61336641150658,4.85002637702953,5.62149214143995,5.45300530366261,4.96284558636066,5.30248465500368,5.59162521156097,5.56374592072283,5.51979048973781,5.52898753718333,4.22564382824388,4.64435242678115,4.62113369669623,5.13875908625127,4.51587953735034,5.60170763043712,5.12471246293167,4.9861452951911,5.84294937587094,5.86611953957,5.17654694865911,5.99882627196122,5.48885306595955,6.122472079287,5.47765201802735,6.33208335111939,6.14664198807093,5.814619071547,5.56374592072283,5.39563058971453,6.41325600002734,5.49012242302589,5.92690827701818,6.5668451353728,7.0530761121467,6.08299220671435,5.88415539708599,6.32526351493975,6.26231928813624,6.08146167292642,6.10645843503005,6.11354866970069,7.00918513024581,6.9338632662352,5.94234150059251,5.99209725608368,5.9644404951978,7.1360249791501,7.43188085151675,7.11676922106591,6.81345289242019,6.65235812240893
"AADAC",11.1294649814641,11.4783218064306,11.4394641001808,11.4377782573058,12.035671168363,11.4355964797688,11.2637623974094,11.2458722288661,10.8996669299008,11.2698219514216,11.4812713260382,10.9440513369869,11.3819561239427,11.3347162385461,10.9811013886877,11.2703718776416,11.6602690747435,11.3486332768749,11.1159163939655,11.4358217429226,11.5167107363615,11.1102039674484,11.8855741030701,11.3057503756356,11.4445615762913,11.6025048498997,11.7200107793342,11.2499216227567,11.3395014627421,11.6490773827296,10.8428158849657,11.5547111175018,11.5927563720163,11.6102735383656,11.6261170152381,11.3243383413971,11.4262494801729,10.1555650625892,11.6765919419452,11.1468761963123,11.0945345943851,10.3049309095991,11.1258122101431,11.071882016326,10.5147900382038,11.9045366754967,11.4677220049262,11.6117206308793,11.0588741779937,12.2683316891592,11.5711123300432,11.0565999178342,11.385221521797,10.8783738570898,9.33515753025295,10.2346925530196,11.4487110777791,10.7970440141224,12.0509595555637,10.5466809047276,11.6169442481369,10.3898646390984,8.831565177629,9.26589650874628,11.5898969934922,10.9014553999821,10.5811160362463,7.54707256770295,7.83176868109249,8.81704724418439,11.0284462502722,9.54093497639952
"AADAT",8.77724074530951,8.87613397591777,9.07704847540071,9.25086897102838,8.76931375919556,8.94218344243345,6.69462553245303,9.13501194991076,7.24979109436375,6.86453204694277,7.69209625656106,6.65432021759125,6.51229778920549,8.0927605853394,6.86432075943806,7.29567721139273,7.33946236805009,7.62977135231398,7.26184855806405,7.29679187666445,8.40749193104313,8.2079393993074,7.20731768249936,8.2709406263729,8.27370165275151,7.29441412955191,6.97488333850723,7.49922886499675,7.64895062055897,8.00340619654381,6.88424779982174,8.4867549195433,7.77173724862195,7.36691134297041,7.67490077005135,7.57024210158384,8.27605630394525,6.38550068132876,7.31792640029769,6.15326598979699,8.58417469193806,5.83572532542338,6.33052168462086,5.13360120337351,6.30152954870093,6.1934789198432,5.86006130001479,5.13207323833524,6.78126019433586,7.27119092923573,5.3150821444165,5.56891341768947,5.55289787923062,6.83351165650473,6.3866262177866,5.07028654868011,5.63391723747415,4.87576498747872,5.39479338754489,6.0048095883334,6.27870874625066,5.88748859373364,5.39082446877208,5.56725564144471,6.54429708067951,5.71686781754784,4.99781296339616,5.18382763552335,6.3639699005039,4.53777638142595,5.63630799988084,5.13417995394548
"AARS2",6.32678039505568,6.22509023954132,6.35324361155201,6.39732655805531,6.13106370127519,6.30653992727022,6.16777941796546,6.14992749330176,6.40828025586818,6.29720348224438,6.27123256843237,6.33746344129876,6.50152520846482,6.17068155401222,6.15063052103409,5.95012912978042,6.03650317407633,6.26736596692631,6.13689518556491,6.32524437827178,6.23254410342052,6.12347214161321,6.45058598009745,6.33028544440445,5.98469160846432,6.17184619477759,6.4555897120084,6.39455603322532,5.94480458724664,6.12801976941172,6.10439088118195,6.02926414434369,6.12997975769756,6.02292581201135,6.1913446440518,5.97245168580925,6.27329073696146,6.44305069614832,6.42735254937884,6.80150692377925,6.33979257956201,7.05918246162339,6.58426307477968,6.52489595694509,6.66428990875508,7.18419585753571,6.16331353749482,6.41786163225709,5.95926710998594,6.65140444211137,6.47733893085812,5.9404037178881,7.13778812614269,6.90650370372448,7.77119315727868,6.51210851115458,6.74695815425638,7.2984509797368,6.13990084783392,6.78304845211841,6.4511953256548,7.01134798973746,6.74010169445912,6.74195583066935,6.72033231768215,6.35820027390728,6.78386118952725,6.60152203843734,6.71492413872914,6.67904067474355,6.61429828450367,7.12221921880318
"AATF",7.4110097782974,7.45950838826089,7.22807220158307,7.38970025017772,6.97771885111944,7.66752309020838,6.88902620457131,7.45716904959047,7.94157203782349,7.63466658183905,7.59378348270476,7.75538363440589,7.65060701751023,7.40178364491579,7.2805736783306,7.45630515224632,7.42633898943049,7.44882357880718,7.41878754529002,7.69893210618097,7.35427456595857,7.90378664698758,7.73803500926542,7.53644981366366,7.54192850483488,7.60728286163807,7.68809034697992,7.49608714771346,7.84562045856677,7.61545677664944,7.33794003537178,7.20201756243269,7.42065205019498,7.59085986884101,7.84867678969968,7.81393252611138,7.43741691821753,7.68723821375105,7.28652030595242,7.87949517722897,7.66639289346655,7.75666231057096,7.81456569505342,8.19175442039798,8.36745129448302,8.19287239031429,7.99851019016464,7.68463566758546,7.8203759685234,7.40243805602336,8.437868300421,7.55720701521138,8.46827456375146,7.18422272236383,7.96848203529156,7.79278927721162,7.563209980612,8.18400152108868,8.70761692359716,9.02296188595867,7.83468114954976,8.41839241324145,8.80670276034129,8.4310436944929,8.28375603752882,7.93694369958232,8.17407740841713,8.83229988250333,8.74758051379426,8.56840688866069,8.18612906014188,8.61975703090836
"ABAT",12.0234089590233,12.0239601698887,12.2489718536943,11.9593723957513,11.7177473445659,11.7463761178386,11.3097515632764,11.9749879835935,12.0986322682108,11.9283267902797,11.054899206316,10.7873806051798,10.8596568596278,11.2400999616076,11.1302718860408,10.9769377230752,11.3211263038774,11.7087831281635,12.2708460542674,11.521640827197,11.6217724742197,11.508654865568,11.2604790451786,11.9303901364581,11.6642743211621,11.4974073899045,11.2306445402545,11.8017943770877,11.3218478033094,11.1556202680072,11.1484307496093,11.8344842950541,11.8337803151235,11.4884186519448,11.4247204065937,11.2948069299374,11.6429922061436,10.8738566357277,11.6770245104784,10.0600833147177,11.7654978097159,11.0814299574292,11.7151182360458,11.3675573829564,11.5697888236259,11.1518733134037,11.0587374687534,10.852787644737,10.7870067453574,11.4272768239871,10.8510339156752,11.2905250102216,11.1603447770821,10.509656491997,11.2874562844461,10.8775240217834,11.7208264347637,9.78701697232919,9.86464212099108,10.6466499730713,11.5227366064988,10.8605577046964,8.13305962026476,9.84459601291301,11.3530329275448,11.2466560113551,8.89766715793655,9.64162170668289,10.8390302170864,9.84063078672079,8.42046402385049,9.57597570168449
"ABCB4",10.3790618106346,9.9465868758458,10.8202370657358,10.5375219303625,10.4175490184048,11.1396438426064,10.8232453825076,11.6398948671282,10.6709068742418,11.390423443714,10.924904670393,10.5743384120048,11.3622201158363,11.4989368256895,9.64883756732674,11.2930141653628,11.1187472062136,11.6368606344353,10.607762950725,10.9579191238545,12.3947906927053,10.4707856508238,11.881344787045,10.9070849290084,11.5451503954908,11.4746663896882,11.6556816616017,10.9023849844953,11.0854611906567,11.6999590620162,10.8232453825076,11.6810459871628,12.1878131618558,11.4488216473397,11.2985061230341,11.1170873655564,11.5080494539217,11.6724229829421,11.4527581890568,10.5127609500522,11.5712476559713,8.74767001846005,10.7398449459006,10.5216753509817,10.1680988605965,10.98975539755,10.8232453825076,10.3502604139191,10.0737609745858,10.5558861916425,10.574442053318,11.9976989853328,10.8281851256088,8.88694829639127,7.52904262674541,12.0345088306038,10.9101129798121,9.926108605577,9.06129379664257,9.8472598145986,9.15938705319087,8.851370598067,7.03052801819271,8.32636872219481,9.99894416871039,11.7393509370602,9.05395536856693,8.44688009104187,8.27985838198471,9.39591823774993,8.13296729070497,8.94147674681834
"ABCC5",6.29882342560883,6.02254784447928,6.61097742165218,6.06918073388931,6.55072201641616,6.63703733169306,6.51411858938571,6.08151265067793,5.96214651212129,6.29056215789084,6.67907176682951,6.43817935599413,6.95052285262511,6.96364422901317,6.96487697975762,6.37721895959793,6.82193396515406,6.8289729117063,6.46432974535588,6.82193396515406,6.90088008274995,5.97724070983868,6.38626083618122,6.41946808759585,6.56430697701234,6.38039584458721,6.60451851372236,6.70916584323601,6.13624013676543,7.17021907236448,6.64967864157365,6.45393868993031,6.52381850359658,6.33425398791197,6.21393959008932,6.21133005397112,6.57060724816417,7.14723302279329,7.10373862151911,7.06959433222715,6.44246100230978,7.61656967244436,7.09118002595192,6.50637322114931,7.07500696448426,7.25633828854884,7.04277168234578,6.97609794185284,6.83080857297904,6.70299976241229,7.27760038791509,7.11773863812782,8.40530588244278,7.34203783708751,7.21896493209693,7.05090890446914,7.54785465416404,7.13850251117418,7.3698032834778,7.19289712282614,7.47498437294437,7.20781478268686,8.97356214291514,7.58070862958251,7.06136107553718,7.1525559657876,6.95053337141876,6.98581273152378,7.5275445652505,7.01784676103429,7.55373908814931,7.22736038370639
"ABCF1",8.00588277995345,7.96815808308945,7.64510669382718,8.02974678573117,7.5130955919119,8.06716336329278,7.28593416109945,7.56464174618649,8.21670770707938,8.38439644373028,8.13999849039519,8.10931508275079,8.14021380721482,7.83813717784545,7.58438404754906,7.95989588823006,7.97801517490847,7.79512478378517,7.67216873433096,8.00993348187459,7.97848791850122,8.18162564189213,7.99503073788224,7.94151478656085,8.11369457905096,7.85263134813425,8.09757515497632,8.04134769176242,8.10887145711433,7.99045000573563,7.93151023052092,7.89961415931164,7.90594573099324,7.82832923040919,8.06578337216683,8.06033089146739,7.93092734736648,8.31328421941433,7.78345308531955,8.63176728827447,8.21369526166321,7.92391106592507,8.269496088012,8.32201819372772,8.22461933892098,8.79294243800687,8.13109813897594,8.03917079734019,7.88690104123044,7.68670069311816,8.29452081396734,8.01216824433638,8.22125293487862,8.52849220569573,9.20734892377434,8.26365189210807,8.50007855531667,8.69512239432764,8.32932116866337,8.76376841582297,8.01892195442586,8.91206358116246,8.5339252082912,8.37462306117493,8.38526786421252,8.20678192899124,8.96760868786748,8.85560706031936,8.64141668322311,8.57193346850471,8.35820762386183,8.40385142028219
"ABCF2",6.16339678154485,6.66410719186935,6.0141108442951,6.30690581391809,5.68325179540717,6.54769333435723,5.93925648793075,5.806337979922,7.40983358527741,6.87694290847007,6.33306475669815,7.36006631428019,6.31343102510857,6.44109825214137,6.6050042882666,6.82088884950465,6.5823174938651,6.54006227392802,6.20120402542899,6.55959694624824,6.45491585126455,7.10301230165742,6.11263816940068,6.12318128239607,6.43693227907858,6.26311934139705,6.67343033450306,6.54498637730129,6.73433719845182,6.581867521376,6.24667800727599,6.27626190605598,6.2137596808257,6.29289798908513,6.65347221995989,6.77598413021567,6.41898357221471,6.85584071357133,6.49783639787859,6.87133946451547,7.17144925740257,6.60819144751162,6.30394287527626,7.38879968880987,7.00892324625253,7.35953942702964,7.19398499267086,6.94225094558131,7.02889402075811,6.22011760247788,7.14307346450264,7.00812992241104,6.63754007710664,5.98219778883546,6.70646282294656,6.71096523147231,7.29851483918407,7.35169724899324,7.99914409584743,7.52771076135048,7.19105128356767,6.9653631060167,7.10544695475093,7.78652571482377,6.90274347235211,7.5087803999295,7.66667175262248,6.88822407228393,7.25231192690291,7.81349892709831,7.74303924277252,7.3838557245664
