"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","ACYP1"
"13","SDHB","NFE2L2"
"14","SDHB","NRF1"
"15","SDHB","SUCLG2"
"16","SDHD","SUCLG2"
"17","TKT","TALDO1"
"18","TKT","EGR3"
"19","TKT","RPIA"
"20","TALDO1","ZNF143"
"21","TALDO1","ZHX1"
"22","UGP2","PGM1"
"23","UGP2","GALE"
"24","UGP2","UGDH"
"25","UGT2B15","ADH1A"
"26","UGT2B15","UGDH"
"27","ACADS","ECHS1"
"28","EHHADH","ACAT1"
"29","EHHADH","IVD"
"30","ECHS1","ACADM"
"31","ECHS1","IVD"
"32","ACAT1","AACS"
"33","ACAT1","HMGCS2"
"34","ACAT1","NFYA"
"35","ADH1A","CYP26A1"
"36","ADH1A","GSTO2"
"37","ADH1A","GSTA5"
"38","ADH1A","GSTA1"
"39","ADH1A","GSTA2"
"40","ADH1A","GSTA3"
"41","ADH1A","GSTA4"
"42","ADH1A","GSTM1"
"43","ADH1A","GSTM2"
"44","ADH1A","GSTM3"
"45","ADH1A","GSTM4"
"46","ADH1A","GSTM5"
"47","ADH1A","GSTP1"
"48","ADH1A","GSTT1"
"49","ADH1A","GSTT2"
"50","ADH1A","MGST1"
"51","ADH1A","MGST2"
"52","ADH1A","MGST3"
"53","ADH1A","GSTT2B"
"54","ADH1A","GSTO1"
"55","CYP8B1","TP53"
"56","CYP8B1","AKR1D1"
"57","ASS1","ADSS1"
"58","ASS1","ASL"
"59","ATIC","ATIC"
"60","PNP","NMRK1"
"61","PNP","ZHX1"
"62","PNP","XDH"
"63","PNP","NNMT"
"64","PAPSS2","PAPSS2"
"65","PDE7B","ADSL"
"66","PDE7A","ADSL"
"67","CYP1A2","NAT2"
"68","CYP1A2","CYP2C19"
"69","CYP1A2","CYP2J2"
"70","CYP1A2","CYP26A1"
"71","CYP1A2","GSTO2"
"72","NAT2","CYP2A6"
"73","NAT2","CYP2A7"
"74","CYP2A6","CYP2B6"
"75","CYP2A7","CYP26A1"
"76","CAD","CAD"
"77","DTYMK","TYMS"
"78","DTYMK","NFYA"
"79","DTYMK","TK1"
"80","TYMS","YBX1"
"81","DUT","TK1"
"82","ASL","ADSL"
"83","GLUD2","NIT2"
"84","GLUD2","GLUL"
"85","GLS2","GLUL"
"86","FOLH1","ASPA"
"87","BHMT","DMGDH"
"88","PSPH","SHMT1"
"89","SHMT1","AGXT2"
"90","SHMT1","SDS"
"91","SHMT1","AGXT"
"92","AGXT2","ABAT"
"93","ACAA2","PCCA"
"94","ACAA1","PCCA"
"95","AOC1","INMT"
"96","SRM","SMS"
"97","FTCD","AMDHD1"
"98","FTCD","MTHFD1"
"99","FTCD","MTHFD1L"
"100","AMDHD1","E2F2"
"101","AMDHD1","UROC1"
"102","ALDH6A1","ABAT"
"103","ALDH6A1","NFYC"
"104","CNDP1","CNDP1"
"105","MTR","NFYA"
"106","SMS","EZH2"
"107","B4GALT3","ATF2"
"108","B4GALT3","ST3GAL3"
"109","UGDH","EGR2"
"110","UGDH","EGR3"
"111","LIPG","MGLL"
"112","MOGAT2","MGLL"
"113","PIP4K2B","PTEN"
"114","PIP4K2B","ATF5"
"115","LPCAT1","PLAAT3"
"116","PCYT1A","MAPK10"
"117","PCYT1A","MAPK1"
"118","PCYT1A","MAPK3"
"119","PCYT1A","ATF2"
"120","PCYT1A","ATF5"
"121","PCYT1A","ZNF143"
"122","PCYT1A","CHKA"
"123","PEMT","PEMT"
"124","EPHX2","CYP2B6"
"125","LTA4H","CYP4F3"
"126","CYP2C8","CYP26A1"
"127","CYP2C9","CYP26A1"
"128","HAO2","CAT"
"129","HAO2","PGP"
"130","HAO1","PGP"
"131","CAT","NFE2L2"
"132","CAT","NFYC"
"133","MMUT","SUCLG2"
"134","NAMPT","CLOCK"
"135","NAMPT","NNMT"
"136","SIRT7","NNMT"
"137","GCH1","PTS"
"138","GCH1","NFYC"
"139","PTS","PTS"
"140","GPHN","GPHN"
"141","RETSAT","CYP26A1"
"142","RETSAT","HSD17B6"
"143","CYP26A1","CYP2B6"
"144","CYP26A1","POU2F1"
"145","FDPS","FDPS"
"146","FDPS","GGPS1"
"147","FDPS","NFYA"
"148","GGPS1","E2F2"
"149","GSTA1","NFE2L2"
"150","GSTM4","TP53"
"151","GSTM4","TLE1"
"152","GSTP1","TP53"
"153","GMPS","TPMT"
"154","IMPDH2","ATF2"
"155","IMPDH2","TCF3"
"156","IMPDH2","TPMT"
"157","MTOR","PRKCA"
"158","MTOR","PRKCB"
"159","MTOR","PRKCG"
"160","MTOR","IGF1"
"161","MTOR","PIK3CA"
"162","MTOR","PIK3CB"
"163","MTOR","PIK3CD"
"164","MTOR","PIK3R1"
"165","MTOR","PIK3R2"
