"","V1","V2"
"1","ALDOB","FBP1"
"2","ALDH2","ADH1A"
"3","ALDH2","ADH1B"
"4","ALDH2","ADH1C"
"5","ALDH2","ADH4"
"6","ALDH2","BBOX1"
"7","ALDH2","AOC1"
"8","ALDH2","AKR1B10"
"9","ALDH2","ACYP1"
"10","ALDH1B1","ADH1A"
"11","ALDH1B1","AOC1"
"12","ALDH1B1","ACYP1"
"13","SDHB","NFE2L2"
"14","SDHB","NRF1"
"15","SDHB","SUCLG2"
"16","SDHD","SUCLG2"
"17","TKT","TALDO1"
"18","TKT","EGR3"
"19","TKT","RPIA"
"20","TALDO1","ZNF143"
"21","TALDO1","ZHX1"
"22","UGP2","PGM1"
"23","UGP2","GALE"
"24","UGP2","UGDH"
"25","UGT2B15","ADH1A"
"26","UGT2B15","UGDH"
"27","ACADS","ECHS1"
"28","EHHADH","ACAT1"
"29","EHHADH","IVD"
"30","ECHS1","ACADM"
"31","ECHS1","IVD"
"32","ACAT1","AACS"
"33","ACAT1","HMGCS2"
"34","ACAT1","NFYA"
"35","ADH1A","CYP26A1"
"36","ADH1A","GSTO2"
"37","ADH1A","GSTA5"
"38","ADH1A","GSTA1"
"39","ADH1A","GSTA2"
"40","ADH1A","GSTA3"
"41","ADH1A","GSTA4"
"42","ADH1A","GSTM1"
"43","ADH1A","GSTM2"
"44","ADH1A","GSTM3"
"45","ADH1A","GSTM4"
"46","ADH1A","GSTM5"
"47","ADH1A","GSTP1"
"48","ADH1A","GSTT1"
"49","ADH1A","GSTT2"
"50","ADH1A","MGST1"
"51","ADH1A","MGST2"
"52","ADH1A","MGST3"
"53","ADH1A","GSTT2B"
"54","ADH1A","GSTO1"
"55","CYP8B1","AKR1D1"
"56","ASS1","ADSS1"
"57","ASS1","ASL"
"58","ATIC","ATIC"
"59","ADSS1","CAD"
"60","PNP","NMRK1"
"61","PNP","TP53"
"62","PNP","ZHX1"
"63","PNP","XDH"
"64","PNP","NNMT"
"65","PAPSS2","PAPSS2"
"66","PDE7B","ADSL"
"67","PDE7A","ADSL"
"68","CYP1A2","NAT2"
"69","CYP1A2","CYP2C19"
"70","CYP1A2","CYP2J2"
"71","CYP1A2","CYP26A1"
"72","CYP1A2","GSTO2"
"73","NAT2","CYP2A6"
"74","NAT2","CYP2A7"
"75","CYP2A6","CYP2C9"
"76","CYP2A6","CYP26A1"
"77","CYP2A6","CYP2B6"
"78","CYP2A6","NFYA"
"79","CYP2A7","CYP26A1"
"80","CAD","CAD"
"81","DTYMK","TYMS"
"82","DTYMK","NFYA"
"83","DTYMK","TK1"
"84","TYMS","TP53"
"85","TYMS","E2F4"
"86","TYMS","YBX1"
"87","DUT","TK1"
"88","ASL","ADSL"
"89","GLUD2","NIT2"
"90","GLUD2","GLUL"
"91","GLS2","GLUL"
"92","FOLH1","ASPA"
"93","BHMT","DMGDH"
"94","PSPH","SHMT1"
"95","SHMT1","AGXT2"
"96","SHMT1","SDS"
"97","SHMT1","AGXT"
"98","AGXT2","ABAT"
"99","ACAA2","PCCA"
"100","ACAA1","PCCA"
"101","AOC1","INMT"
"102","SRM","SMS"
"103","SRM","POU2F1"
"104","FTCD","AMDHD1"
"105","FTCD","MTHFD1"
"106","FTCD","MTHFD1L"
"107","AMDHD1","E2F2"
"108","AMDHD1","UROC1"
"109","ALDH6A1","ABAT"
"110","ALDH6A1","NFYA"
"111","CNDP1","CNDP1"
"112","MTR","CTH"
"113","SMS","EZH2"
"114","B4GALT3","EGR1"
"115","B4GALT3","ST3GAL3"
"116","UGDH","UXS1"
"117","UGDH","EGR1"
"118","UXS1","E2F4"
"119","UXS1","E2F5"
"120","UXS1","E2F2"
"121","UXS1","EGR1"
"122","LIPG","NFYA"
"123","LIPG","MGLL"
"124","MOGAT2","MGLL"
"125","PIP4K2B","PTEN"
"126","PIP4K2B","ATF5"
"127","LPCAT1","EGR1"
"128","LPCAT1","PLAAT3"
"129","PCYT1A","MAPK10"
"130","PCYT1A","MAPK1"
"131","PCYT1A","MAPK3"
"132","PCYT1A","ATF5"
"133","PCYT1A","ZNF143"
"134","PCYT1A","CHKA"
"135","LCAT","PEMT"
"136","PEMT","PEMT"
"137","EPHX2","CYP2B6"
"138","LTA4H","CYP4F3"
"139","CYP2C8","CYP26A1"
"140","CYP2C9","CYP26A1"
"141","CYP2C9","NCOA6"
"142","HAO2","CAT"
"143","HAO2","PGP"
"144","HAO1","PGP"
"145","CAT","NFE2L2"
"146","CAT","EGR1"
"147","CAT","NFYA"
"148","MMUT","SUCLG2"
"149","NAMPT","CLOCK"
"150","NAMPT","NNMT"
"151","SIRT7","NNMT"
"152","GCH1","PTS"
"153","GCH1","E2F4"
"154","GCH1","E2F2"
"155","GCH1","NFYC"
"156","PTS","PTS"
"157","GPHN","GPHN"
"158","RETSAT","CYP26A1"
"159","RETSAT","HSD17B6"
"160","CYP26A1","CYP2B6"
"161","CYP26A1","POU2F1"
"162","CYP2B6","EGR1"
"163","FDPS","FDPS"
"164","FDPS","GGPS1"
"165","GGPS1","E2F4"
