"","V1","V2"
"208","AKT3","PPP2R5A"
"209","AKT3","TSC2"
"210","AKT3","RPS6KB1"
"211","AKT3","THEM4"
"212","AKT3","HSP90AA1"
"213","AKT3","HSP90AB1"
"214","AKT3","PTK2"
"215","AKT3","C6"
"216","AKT3","C7"
"217","AKT3","C8A"
"218","AKT3","C8B"
"219","AKT3","C9"
"220","AKT3","RHOB"
"221","AKT1","RPS6KB1"
"222","AKT1","EZH2"
"223","AKT1","MDM4"
"224","AKT2","RPS6KB1"
"225","MAP2K1","RAF1"
"226","MAP2K1","BRAF"
"227","MAP2K1","EGFR"
"228","MAP2K1","MAPK1"
"229","MAP2K1","PPP2CB"
"230","MAP2K1","PPP2R1A"
"231","MAP2K1","ATF5"
"232","MAP2K2","MAPK1"
"233","MAP2K2","EGR2"
"234","ARAF","HRAS"
"235","ARAF","KRAS"
"236","ARAF","NRAS"
"237","ARAF","YWHAB"
"238","ARAF","YWHAG"
"239","ARAF","YWHAZ"
"240","ARAF","PRKCD"
"241","RAF1","PIK3CA"
"242","RAF1","PIK3CB"
"243","RAF1","PIK3CD"
"244","RAF1","PIK3R2"
"245","RAF1","PIK3R3"
"246","RAF1","RFXANK"
"247","BRAF","FOSB"
"248","HRAS","PDGFRA"
"249","HRAS","TPM3"
"250","HRAS","TPR"
"251","HRAS","CAMK1"
"252","HRAS","MAZ"
"253","KRAS","NR3C2"
"254","NRAS","PDPK1"
"255","HGF","EGFR"
"256","HGF","MET"
"257","BCL2L1","BAX"
"258","IGF1","GSK3B"
"259","IGF1","DCN"
"260","PDGFD","EGFR"
"261","PDGFD","PDGFRA"
"262","EGFR","PIK3CA"
"263","EGFR","TP53"
"264","EGFR","FGF23"
"265","EGFR","PLCB1"
"266","EGFR","PLCB2"
"267","EGFR","SH3GLB2"
"268","EGFR","PTK2"
"269","EGFR","ESR1"
"270","EGFR","ATP6AP1"
"271","EGFR","ATP6V1C2"
"272","EGFR","ATP6V1H"
"273","EGFR","XRCC6"
"274","PIK3CA","TP53"
"275","PIK3CA","PDPK1"
"276","PIK3CA","MET"
"277","PIK3CA","HOMER2"
"278","PIK3CA","HOMER1"
"279","PIK3CA","PTK2"
"280","PIK3CA","PRKCD"
"281","PIK3CA","PECAM1"
"282","PIK3CA","TRAF5"
"283","PIK3CA","GNB1"
"284","PIK3CA","ESR1"
"285","PIK3CA","CHKA"
"286","PIK3CB","PDPK1"
"287","PIK3CB","RAC1"
"288","PIK3CB","PTK2"
"289","PIK3CB","PRKCD"
"290","PIK3CB","CHKA"
"291","PIK3CD","PDPK1"
"292","PIK3CD","RAC1"
"293","PIK3CD","PTK2"
"294","PIK3CD","PRKCD"
"295","PIK3CD","CHKA"
"296","PIK3R1","RAC1"
"297","PIK3R1","EGR2"
"298","PIK3R1","NFYC"
"299","PIK3R1","WBP11"
"300","PIK3R1","CHKA"
"301","PIK3R2","PDPK1"
"302","PIK3R2","RAC1"
"303","PIK3R2","PTK2"
"304","PIK3R2","PRKCD"
"305","PIK3R2","CHKA"
"306","PIK3R3","PDPK1"
"307","PIK3R3","RAC1"
"308","PIK3R3","PTK2"
"309","PIK3R3","PRKCD"
"310","PIK3R3","ESR1"
"311","PIK3R3","CHKA"
"312","MAPK10","MECOM"
"313","MAPK10","BAX"
"314","TP53","TP53"
"315","TP53","MAPK1"
"316","TP53","MAPK3"
"317","TP53","DUSP1"
"318","TP53","EPHA2"
"319","TP53","YWHAZ"
"320","TP53","CDC25C"
"321","TP53","GSK3B"
"322","TP53","CCNA2"
"323","TP53","E2F5"
"324","TP53","ANAPC11"
"325","TP53","DVL2"
"326","TP53","HSP90AB1"
"327","TP53","PTK2"
"328","TP53","SMAD2"
"329","TP53","SMAD3"
"330","TP53","CSNK2A1"
"331","TP53","PKN1"
"332","TP53","ESR1"
"333","TP53","TERT"
"334","TP53","ETS2"
"335","TP53","SMARCB1"
"336","TP53","SMARCA4"
"337","TP53","MCM2"
"338","TP53","MDM4"
"339","TP53","NPM1"
"340","TP53","YEATS4"
"341","TP53","BAZ1B"
"342","TP53","FUS"
"343","TP53","XRCC6"
"344","TP53","BAX"
"345","TP53","RAB4A"
"346","TP53","PTPRG"
"347","TP53","AURKA"
"348","TP53","IL1B"
