Node1,Node2,Weight
AATF,BAX,0.170708546
AATF,LDOC1,-0.285188491
AATF,POLR2J,0.413138069
AATF,TSG101,-0.213143907
ABL2,BTF3,-0.526431504
ACAA1,PCCA,0.275803654
ACAA2,PCCA,0.227388621
ACADS,ECHS1,0.917299491
ACAT1,AACS,-0.22790007
ACAT1,HMGCS2,0.539009345
ACTB,ACTR3C,-0.42603514
ACTB,AHNAK,0.100501025
ACTB,ARHGAP10,-0.388780528
ACTB,CTNNA1,-0.566418132
ACTB,ITGA2,-0.382364548
ACTB,ITGA6,-0.099957521
ACTB,ITGA9,0.274760975
ACTB,MYO1B,-0.146254066
ACTB,MYO5A,0.019240326
ACTB,NFYC,0.449959452
ACTB,STK3,-0.280700009
ACTB,WAS,-0.095644794
ACTB,WASF1,0.662075082
ACTG1,CTNNA1,0.472483429
ACTG1,EGR3,-0.728679611
ACTG1,NR3C2,-0.722758735
ACTG1,STK3,0.618063394
ACTL6A,TRRAP,0.275906725
ACTL6B,NFYC,-0.2033173
ADH1A,CYP26A1,0.326379463
ADH1A,GSTA3,0.747125513
ADH1A,GSTA4,-0.63161509
ADH1A,GSTM1,0.492003307
ADH1A,GSTM2,0.447138372
ADH1A,GSTM3,-0.536707678
ADH1A,GSTM4,0.001190889
ADH1A,GSTM5,-0.237761965
ADH1A,GSTO1,0.21619569
ADH1A,GSTO2,0.044798116
ADH1A,GSTP1,0.112281971
ADH1A,GSTT1,-0.090513745
ADH1A,MGST1,0.045038273
ADH1A,MGST2,0.300088572
ADH1A,MGST3,0.234396175
AGTR1,ETV4,0.406429603
AGTR1,SERPINE1,0.499002996
AGTR1,SND1,0.180309207
AGXT2,ABAT,0.201257197
AKR1B10,MYC,0.560911023
AKT1,EZH2,-0.378139669
AKT1,MDM4,0.46354132
AKT1,RPS6KB1,0.012162724
AKT2,BAD,0.310176672
AKT2,CDKN1A,-0.076012866
AKT2,RPS6KB1,-0.437138036
AKT3,BAD,0.138239747
AKT3,C6,0.110679841
AKT3,C7,0.843257974
AKT3,C8A,0.73217047
AKT3,C8B,0.939169686
AKT3,C9,0.148792733
AKT3,CDKN1A,-0.093421985
AKT3,HSP90AA1,-0.140637815
AKT3,HSP90AB1,-0.452207617
AKT3,PPP2R5A,0.514098893
AKT3,PTK2,-0.369425049
AKT3,RHOB,-0.364588675
AKT3,RPS6KB1,-0.224217414
AKT3,THEM4,-0.137777097
AKT3,TSC2,-0.013399766
ALDH1B1,ACYP1,0.18917538
ALDH1B1,ADH1A,-0.044846875
ALDH1B1,AOC1,0.507154123
ALDH2,ACYP1,-0.458946903
ALDH2,ADH1A,0.52017874
ALDH2,ADH1B,-0.919314704
ALDH2,ADH1C,-0.010909834
ALDH2,ADH4,-0.130502316
ALDH2,AKR1B10,-0.568499098
ALDH2,AOC1,-0.030451775
ALDH2,BBOX1,-0.513390153
ALDH6A1,ABAT,0.660102615
ALDH6A1,NFYC,-0.284402748
