Node1,Node2,Weight
AATF,BAX,0.49064926
AATF,LDOC1,-0.074645458
AATF,POLR2J,-0.11190419
AATF,TSG101,0.543617667
ABL2,BTF3,0.525311036
ABL2,TCF3,0.575939899
ACAA1,PCCA,0.235672019
ACAA2,PCCA,0.434948037
ACADS,ECHS1,0.821168604
ACAT1,AACS,-0.212275992
ACAT1,HMGCS2,0.242882946
ACAT1,NFYA,-0.087317092
ACTB,ACTR3C,-0.41576415
ACTB,AHNAK,0.413411055
ACTB,ARHGAP10,0.434898109
ACTB,CTNNA1,0.24433152
ACTB,ITGA2,0.369052941
ACTB,ITGA6,0.545440242
ACTB,ITGA9,0.151922448
ACTB,MYO1B,-0.256482822
ACTB,MYO5A,0.646242403
ACTB,NFYC,0.15602686
ACTB,STK3,0.678767411
ACTB,WAS,-0.274426067
ACTB,WASF1,0.227293872
ACTG1,CTNNA1,0.079032136
ACTG1,EGR3,0.533386391
ACTG1,NR3C2,-0.26399129
ACTG1,SMARCB1,-0.155666041
ACTG1,STK3,0.229702139
ACTL6A,TRRAP,0.435917745
ACTL6B,NFYC,-0.065426573
ADH1A,CYP26A1,0.23255956
ADH1A,GSTA3,0.666957085
ADH1A,GSTA4,-0.0019773
ADH1A,GSTM1,-0.269785527
ADH1A,GSTM2,-0.266501629
ADH1A,GSTM3,-0.745718346
ADH1A,GSTM4,-0.102441233
ADH1A,GSTM5,-0.384857986
ADH1A,GSTO1,0.526560256
ADH1A,GSTO2,0.193900348
ADH1A,GSTP1,-0.716768363
ADH1A,GSTT1,-0.465332879
ADH1A,MGST1,0.497824543
ADH1A,MGST2,0.279952408
ADH1A,MGST3,-0.397181563
AGTR1,ETV4,-0.236463897
AGTR1,POU2F1,-0.108008834
AGTR1,SERPINE1,-0.071735406
AGTR1,SND1,-0.496978946
AGXT2,ABAT,0.734879669
AKT1,EZH2,0.058326009
AKT1,MDM4,-0.832666695
AKT1,RPS6KB1,-0.062860418
AKT2,RPS6KB1,-0.579892398
AKT3,BAD,0.232950565
AKT3,C6,-0.747369771
AKT3,C7,0.678132762
AKT3,C8A,-0.816872953
AKT3,C8B,-0.772001734
AKT3,C9,-0.966452664
AKT3,CDKN1A,-0.275312032
AKT3,HSP90AA1,0.183670111
AKT3,HSP90AB1,0.040228681
AKT3,PPP2R5A,-0.657416085
AKT3,PTK2,0.48007326
AKT3,RHOB,0.534989642
AKT3,RPS6KB1,0.23745408
AKT3,THEM4,0.10401523
AKT3,TSC2,-0.074843233
ALDH1B1,ACYP1,0.092341172
ALDH1B1,ADH1A,-0.297687844
ALDH1B1,AOC1,0.234764382
ALDH2,ACYP1,-0.29367028
ALDH2,ADH1A,0.941901462
ALDH2,ADH1B,0.796341963
ALDH2,ADH1C,0.801776174
ALDH2,ADH4,0.744419083
ALDH2,AKR1B10,0.185452126
ALDH2,AOC1,0.122031395
ALDH2,BBOX1,0.691343471
ALDH6A1,ABAT,0.902829397
ALDH6A1,NFYC,0.026713852
ALDOB,FBP1,0.944932903
AMDHD1,E2F2,-0.275443858
AMDHD1,UROC1,0.521814534
ANAPC11,PTTG1,-0.108126198
ANAPC5,PTTG1,-0.158110325
ANAPC7,PTTG1,-0.019419777
ANKZF1,AURKB,0.360348779
ANKZF1,CA2,-0.718233074
AOC1,INMT,0.519005013
APC2,AXIN2,0.227160587
ARAF,HRAS,0.091105611
ARAF,KRAS,-0.887163028
ARAF,NRAS,-0.399558328
ARAF,PRKCD,-0.304681673
ARAF,YWHAB,-0.498065047
ARAF,YWHAG,-0.829167793
ARAF,YWHAZ,-0.964579377
ARF1,MDM4,0.041164138
ARF1,NPM1,0.286518175
ARF1,WBP11,0.365114129
ARID1A,POU2F1,0.431177397
ARID1A,SMARCB1,0.824524068
ARID1B,SMARCA2,0.141199439
ARID1B,SMARCB1,0.316892734
ARID4B,SAP130,-0.06944798
ASL,ADSL,0.27737051
ASS1,ADSS1,0.026834121
ASS1,ASL,0.269214404
ATF2,ACD,0.63378602
ATF2,ADRA1B,-0.703376948
ATF2,AHCTF1,0.510787055
ATF2,ALDH18A1,0.07715169
ATF2,AQP1,0.790284304
ATF2,ARID1B,0.443550836
ATF2,BAZ1B,-0.01226761
ATF2,C1orf74,-0.553851875
ATF2,CDHR2,-0.1811939
ATF2,CDKL5,0.58234459
ATF2,CH25H,0.823862548
ATF2,CIRBP-AS1,-0.222179687
ATF2,COPA,0.322868581
ATF2,EARS2,-0.055797491
ATF2,EIF3D,0.493778097
ATF2,FAM91A1,0.310192152
ATF2,FAS,0.232710631
ATF2,FBXO4,0.69545818
ATF2,FGF13,0.8129614
ATF2,GAS5,0.86861035
ATF2,HDAC4,-0.293545832
ATF2,HMGA1,0.577248127
ATF2,IRAK1,-0.346796069
ATF2,ITGB8,0.835170629
ATF2,JDP2,0.172969901
ATF2,KAT7,0.602843382
ATF2,KCNN3,0.044232292
ATF2,KDM5B,0.788765658
ATF2,KLHL12,0.273756706
ATF2,MAP3K1,0.739359834
ATF2,MAP7,0.552457773
ATF2,MCM10,-0.247912801
ATF2,MRPL34,-0.004906981
ATF2,NFYA,0.294045806
ATF2,NUP133,0.789224934
ATF2,PEX5,-0.744110779
ATF2,PFAS,0.546167709
ATF2,PFDN6,-0.346224371
ATF2,PHACTR3,-0.067803621
ATF2,POGK,0.536362646
ATF2,PPM1D,0.929372876
ATF2,PTGS2,0.408286308
ATF2,RBM12,0.722121591
ATF2,RCC2,0.638116964
ATF2,RNF44,0.068592984
ATF2,RUSC1,0.255186708
ATF2,RUVBL2,-0.046869124
ATF2,SAFB2,0.043952718
ATF2,SART3,0.632858646
ATF2,SLC25A37,-0.111349593
ATF2,SLC31A1,-0.569189188
ATF2,SLC38A6,0.652592862
ATF2,SMARCA2,0.021535998
ATF2,SNRNP40,0.563798379
ATF2,STAMBP,0.272651162
ATF2,STRBP,0.448818856
ATF2,TAPT1,-0.552900418
ATF2,TNF,0.024825421
ATF2,ZBTB37,0.637736972
ATF2,ZNF711,0.704200872
ATF5,ACBD4,0.265698888
ATF5,ADK,0.804304568
ATF5,ADRA1B,0.256523435
ATF5,CDKL5,-0.282927837
ATF5,CENPE,0.364829397
ATF5,CEP55,0.115792407
ATF5,CIRBP-AS1,-0.055121696
ATF5,COPA,0.005336091
ATF5,DNAJC7,-0.567045208
ATF5,DNAJC9,-0.431056362
ATF5,ENOPH1,-0.556963422
ATF5,FBXO4,-0.405345288
ATF5,FGF13,-0.606989742
ATF5,GGNBP2,-0.492865444
ATF5,HHIP,-0.301949518
ATF5,HNRNPA2B1,-0.702783542
ATF5,HNRNPU,-0.495907697
ATF5,IGF2BP2,-0.529963693
ATF5,JDP2,-0.629332343
ATF5,KAT7,-0.116950435
ATF5,KCNN2,0.408123784
ATF5,KLF13,-0.461275858
ATF5,KLHL12,-0.425449335
ATF5,KRTCAP2,-0.381926137
ATF5,LIG3,0.10254467
ATF5,LOX,-0.482637762
ATF5,LPP,-0.254364462
ATF5,MCAM,0.040756972
ATF5,NEDD1,-0.580305293
ATF5,NPM1,-0.668525283
ATF5,NUDT3,-0.208428599
ATF5,ONECUT2,0.21167811
ATF5,PCDH9,-0.086410556
ATF5,PEX5,0.407133215
ATF5,PFDN6,-0.27333594
ATF5,PHACTR3,-0.401394209
ATF5,RAD51C,-0.238297192
ATF5,RNF44,-0.383305821
ATF5,RPS27,-0.616981239
ATF5,RUSC1,-0.542472816
ATF5,SAFB2,-0.626475613
ATF5,SLC5A7,-0.080171795
ATF5,SND1,0.373548869
ATF5,STAMBP,-0.297132613
ATF5,TAF2,-0.198529604
ATF5,TAPT1,0.278114221
ATF5,TSPYL1,-0.177562429
ATF5,UCK2,0.02037529
ATF5,ZNF711,-0.6491832
ATF5,ZNF746,0.209210755
ATF5,ZWILCH,-0.403562167
